Date,AfricanAmerican,White,na_race,Asian,PacificIslander,Hispanic,Multi_Racial,other_race,unk_race,d_AfricanAmerican,d_White,d_na_race,d_Asian,d_PacificIslander,d_Hispanic,d_multi_race,d_other_race,age_0-17,age_18-24,age_25-44,age_45-64,age_65+,Male,Female,GenderUnknown,Healthcare,NursingHome,Jailed,Positives,Deaths
2020-10-03,18101,49834,232,992,2372,15299,661,5579,8754,279,850,2,16,43,88,7,68,5015,6038,13746,14922,13716,43427,42860,238,6413,4575,8893,86525,1407
2020-10-02,17864,49056,227,985,2358,15200,653,5543,9093,275,836,2,16,43,87,7,68,4967,5978,13649,14822,13595,43067,42453,259,6317,4521,8822,85779,1391
2020-10-01,17684,48378,221,972,2354,15136,642,5498,9072,273,831,2,16,43,87,7,68,4927,5900,13508,14678,13455,42580,41875,366,6231,4447,8753,84821,1384
2020-09-30,17527,47616,220,965,2350,15072,639,5455,8925,268,823,2,16,43,87,7,68,4871,5803,13353,14506,13314,42062,41220,415,6124,4402,8717,83697,1369
2020-09-29,17369,46929,217,949,2343,14988,635,5399,8914,264,809,2,16,43,87,7,67,4811,5717,13221,14353,13197,41595,40738,422,6049,4346,8696,82755,1350
2020-09-28,17234,46314,214,943,2329,14916,633,5351,9031,260,784,2,16,43,85,7,66,4773,5663,13111,14248,13093,41269,40367,413,5962,4245,8680,82049,1329
2020-09-27,17100,45898,214,939,2329,14872,629,5336,8797,255,769,2,16,43,85,7,66,4743,5617,12988,14094,12945,40871,39953,418,5864,4218,8424,81242,1308
2020-09-26,17044,45649,214,938,2329,14840,624,5319,8638,251,757,2,15,43,84,7,64,4720,5580,12920,13989,12876,40622,39701,432,5864,4218,8424,80755,1285
2020-09-25,16825,45136,211,934,2326,14770,620,5277,8617,244,727,2,14,43,80,7,54,4674,5531,12815,13856,12731,40202,39317,427,5812,4145,8282,79946,1266
2020-09-24,16691,44622,208,927,2314,14710,619,5254,8414,241,712,2,13,43,80,7,54,4621,5439,12667,13713,12611,39784,38847,418,5733,4039,8235,79049,1246
2020-09-23,16540,44107,207,915,2311,14647,613,5218,8052,239,699,2,13,43,79,7,54,4581,5346,12465,13563,12469,39300,38280,383,5651,3978,8201,77963,1229
2020-09-22,16340,43548,202,901,2299,14602,608,5198,7885,233,690,2,13,43,78,7,54,4527,5269,12301,13417,12338,38899,37732,350,5560,3940,8193,76981,1209
