"","Date","Age","New_Cases"
"1","2021-12-06","New_Cases_0_10",NA
"2","2021-12-06","New_Cases_0_10",161
"3","2021-12-06","New_Cases_11_17",NA
"4","2021-12-06","New_Cases_11_17",139
"5","2021-12-06","New_Cases_18_24",NA
"6","2021-12-06","New_Cases_18_24",154
"7","2021-12-06","New_Cases_25_34",NA
"8","2021-12-06","New_Cases_25_34",233
"9","2021-12-06","New_Cases_35_44",NA
"10","2021-12-06","New_Cases_35_44",205
"11","2021-12-06","New_Cases_45_54",NA
"12","2021-12-06","New_Cases_45_54",165
"13","2021-12-06","New_Cases_55_64",NA
"14","2021-12-06","New_Cases_55_64",198
"15","2021-12-06","New_Cases_65",NA
"16","2021-12-06","New_Cases_65",235
