"","Date","Age","New_Cases","New_Deaths"
"1","2021-12-06","Age_18_24",NA,NA
"2","2021-12-06","Age_18_24",NA,0
"3","2021-12-06","Age_18_24",154,NA
"4","2021-12-06","Age_18_24",154,0
"5","2021-12-06","Age_25_34",NA,NA
"6","2021-12-06","Age_25_34",NA,1
"7","2021-12-06","Age_25_34",233,NA
"8","2021-12-06","Age_25_34",233,1
"9","2021-12-06","Age_35_44",NA,NA
"10","2021-12-06","Age_35_44",NA,3
"11","2021-12-06","Age_35_44",205,NA
"12","2021-12-06","Age_35_44",205,3
"13","2021-12-06","Age_45_54",NA,NA
"14","2021-12-06","Age_45_54",NA,5
"15","2021-12-06","Age_45_54",165,NA
"16","2021-12-06","Age_45_54",165,5
"17","2021-12-06","Age_55_64",NA,NA
"18","2021-12-06","Age_55_64",NA,8
"19","2021-12-06","Age_55_64",198,NA
"20","2021-12-06","Age_55_64",198,8
"21","2021-12-06","Age_65",NA,NA
"22","2021-12-06","Age_65",NA,36
"23","2021-12-06","Age_65",235,NA
"24","2021-12-06","Age_65",235,36
