"","Date","Age","New_Deaths"
"1","2021-12-06","New_Deaths_0_17",NA
"2","2021-12-06","New_Deaths_0_17",0
"3","2021-12-06","New_Deaths_18_24",NA
"4","2021-12-06","New_Deaths_18_24",0
"5","2021-12-06","New_Deaths_25_34",NA
"6","2021-12-06","New_Deaths_25_34",1
"7","2021-12-06","New_Deaths_35_44",NA
"8","2021-12-06","New_Deaths_35_44",3
"9","2021-12-06","New_Deaths_45_54",NA
"10","2021-12-06","New_Deaths_45_54",5
"11","2021-12-06","New_Deaths_55_64",NA
"12","2021-12-06","New_Deaths_55_64",8
"13","2021-12-06","New_Deaths_65",NA
"14","2021-12-06","New_Deaths_65",36
