"","Date","Cases_Male","Cases_Female","Cases_Gender_Unknown","New_Cases_Male","New_Cases_Female","New_Cases_Gender_Unknown"
"1",2021-11-28,246094,275901,5592,177,189,8
"2:1",2021-11-27,245917,275712,5584,229,251,27
"2:2",2021-11-26,245688,275461,5557,134,175,-6
"2:3",2021-11-25,245554,275286,5563,243,288,48
"2:4",2021-11-24,245311,274998,5515,1602,1898,-2806
"2:5",2021-11-23,243709,273100,8321,79,89,522
"2:6",2021-11-22,243630,273011,7799,100,151,19
"2:7",2021-11-21,243530,272860,7780,123,133,48
"2:8",2021-11-20,243407,272727,7732,139,150,385
"2:9",2021-11-19,243268,272577,7347,135,165,432
"2:10",2021-11-18,243133,272412,6915,46,49,812
"2:11",2021-11-17,243087,272363,6103,43,66,719
"2:12",2021-11-16,243044,272297,5384,367,428,19
"2:13",2021-11-15,242677,271869,5365,65,84,2
"2:14",2021-11-14,242612,271785,5363,144,161,2
"2:15",2021-11-13,242468,271624,5361,272,307,11
"2:16",2021-11-12,242196,271317,5350,250,268,-3
"2:17",2021-11-11,241946,271049,5353,312,351,10
"2:18",2021-11-10,241634,270698,5343,283,364,28
"2:19",2021-11-09,241351,270334,5315,326,420,9
"2:20",2021-11-07,241025,269914,5306,143,127,-4
"2:21",2021-11-06,240882,269787,5310,195,263,-3
"2:22",2021-11-05,240687,269524,5313,241,307,9
"2:23",2021-11-04,240446,269217,5304,212,215,1
"2:24",2021-11-03,240234,269002,5303,271,273,2
"2:25",2021-11-02,239963,268729,5301,309,337,-5
"2:26",2021-11-01,239654,268392,5306,70,70,-3
"2:27",2021-10-31,239584,268322,5309,102,113,6
"2:28",2021-10-30,239482,268209,5303,228,218,18
"2:29",2021-10-29,239254,267991,5285,272,269,5
"2:30",2021-10-28,238982,267722,5280,235,285,-3
"2:31",2021-10-27,238747,267437,5283,234,316,9
"2:32",2021-10-26,238513,267121,5274,215,287,0
"2:33",2021-10-25,238298,266834,5274,56,108,-3
"2:34",2021-10-24,238242,266726,5277,116,123,7
"2:35",2021-10-23,238126,266603,5270,214,225,1
"2:36",2021-10-22,237912,266378,5269,298,307,17
"2:37",2021-10-21,237614,266071,5252,234,299,-27
"2:38",2021-10-20,237380,265772,5279,325,337,10
"2:39",2021-10-19,237055,265435,5269,287,382,-8
"2:40",2021-10-18,236768,265053,5277,78,92,-28
