"","Date","Race","New_Cases"
"1","2021-05-22","New_Cases_African_American",0
"2","2021-05-22","New_Cases_African_American",36
"3","2021-05-22","New_Cases_Asian",0
"4","2021-05-22","New_Cases_Asian",1
"5","2021-05-22","New_Cases_Hispanic",0
"6","2021-05-22","New_Cases_Hispanic",24
"7","2021-05-22","New_Cases_Multi_Racial",0
"8","2021-05-22","New_Cases_Multi_Racial",1
"9","2021-05-22","New_Cases_Native_American",0
"10","2021-05-22","New_Cases_Native_American",2
"11","2021-05-22","New_Cases_Other",NA
"12","2021-05-22","New_Cases_Other",NA
"13","2021-05-22","New_Cases_Race_Or_Ethnicity_Unknown",NA
"14","2021-05-22","New_Cases_Race_Or_Ethnicity_Unknown",NA
"15","2021-05-22","New_Cases_White",0
"16","2021-05-22","New_Cases_White",134
