"","Date","Race","New_Deaths"
"1","2021-05-22","New_Deaths_African_American",0
"2","2021-05-22","New_Deaths_African_American",1
"3","2021-05-22","New_Deaths_Asian",0
"4","2021-05-22","New_Deaths_Asian",0
"5","2021-05-22","New_Deaths_Hispanic",0
"6","2021-05-22","New_Deaths_Hispanic",1
"7","2021-05-22","New_Deaths_Multi_Racial",0
"8","2021-05-22","New_Deaths_Multi_Racial",0
"9","2021-05-22","New_Deaths_Native_American",0
"10","2021-05-22","New_Deaths_Native_American",0
"11","2021-05-22","New_Deaths_Other",NA
"12","2021-05-22","New_Deaths_Other",NA
"13","2021-05-22","New_Deaths_Race_Or_Ethnicity_Unknown",NA
"14","2021-05-22","New_Deaths_Race_Or_Ethnicity_Unknown",NA
"15","2021-05-22","New_Deaths_White",0
"16","2021-05-22","New_Deaths_White",4
