"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recoveries","Total_Tests","Active_Cases","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:2","Arkansas",2021-11-29,60,NA,NA,3536,36417,3461,40148,13,18124,18124,2445,1091,NA,NA,2391,1070,44,16,9,4,24956,15192,2445,22511,1286,13906,3731,36417,-4,0,0,40,19.51,220.44,-2.21,7.17,4.96579121606709,8.85,-10,3521,1.7,98.3,35532,4421
"1:3","Ashley",2021-11-29,49,NA,NA,3222,26196,3163,29547,8,20537,20537,1992,1230,NA,NA,1956,1207,31,18,3,5,23172,6375,1992,21180,1360,5015,3352,26195,0,0,0,4,15.69,143.24,0,3.9,1.46077810780542,10.95,0,3212,1.53,98.47,26262,3156
"1:4","Baxter",2021-11-29,188,NA,NA,6128,39798,5862,46113,76,41219,41219,3809,2319,NA,NA,3624,2239,136,52,48,28,36270,9843,3809,32461,2507,7336,6316,39797,4,15,1,82,14.87,111.42,0.97,18.44,11.6451151168151,13.34,4.88,6050,3.11,96.89,40478,5448
"1:5","Benton",2021-11-29,630,NA,NA,43828,362554,42700,408418,496,258980,258980,30925,12903,NA,NA,30092,12608,477,153,354,142,332178,76240,30925,301253,14956,61284,45881,362537,17,68,1,474,16.92,156.92,0.66,19.15,13.6690091898988,10.78,3.59,43330,1.45,98.55,383026,23356
"1:6","Boone",2021-11-29,131,NA,NA,6446,60907,6231,67628,84,37288,37288,4400,2046,NA,NA,4234,1997,108,23,58,26,47552,20076,4400,43152,2321,17755,6721,60907,5,11,0,64,17.29,180.63,1.34,22.53,15.5546020167346,9.57,7.81,6362,2.06,97.94,62623,4730
"1:7","Bradley",2021-11-29,41,NA,NA,2014,16988,1961,19084,12,10948,10948,1382,632,NA,NA,1345,616,25,16,12,0,10783,8301,1382,9401,714,7587,2096,16988,3,5,0,8,18.4,173.57,2.74,10.96,10.9609061015711,10.6,37.5,2002,2.05,97.95,15713,3289
"1:8","Calhoun",2021-11-29,8,NA,NA,605,5330,591,5982,6,5202,5202,432,173,NA,NA,421,170,5,3,6,0,4878,1104,432,4446,224,880,656,5326,0,1,0,-1,11.63,114.09,0,11.53,11.5340253748558,10.19,0,599,1.34,98.66,5062,873
"1:9","Carroll",2021-11-29,75,NA,NA,4404,35885,4284,40463,45,27887,27887,3435,969,NA,NA,3336,948,65,10,34,11,35741,4722,3435,32306,1143,3579,4578,35885,1,4,0,32,15.79,144.47,0.36,16.14,12.1920608168681,10.93,3.12,4359,1.72,98.28,34745,5544
"1:10","Chicot",2021-11-29,47,NA,NA,2033,26786,1983,28886,3,10826,10826,1716,317,NA,NA,1670,313,44,3,2,1,16243,12643,1716,14527,384,12259,2100,26786,0,0,0,1,18.78,266.2,0,2.77,1.84740439682246,7.05,0,2030,2.32,97.68,25661,3158
"1:11","Clark",2021-11-29,61,NA,NA,3368,45757,3266,49244,39,22385,22385,2789,579,NA,NA,2702,565,52,9,34,5,32834,16410,2789,30045,698,15712,3487,45757,1,3,0,17,15.05,219.45,0.45,17.42,15.1887424614697,6.86,5.88,3327,1.83,98.17,45776,3349
"1:12","Clay",2021-11-29,74,NA,NA,2803,28566,2690,31517,38,15061,15061,2007,796,NA,NA,1936,754,48,26,22,16,20307,11210,2007,18300,944,10266,2951,28566,1,3,0,17,18.61,208.28,0.66,25.23,14.6072637939048,8.94,5.88,2764,2.68,97.32,29299,2070
"1:13","Cleburne",2021-11-29,95,NA,NA,3956,36873,3782,41033,75,25230,25230,2634,1322,NA,NA,2521,1261,67,28,42,33,28896,12137,2634,26262,1528,10609,4162,36871,1,8,0,28,15.68,161.83,0.4,29.73,16.6468489892985,9.69,3.57,3877,2.45,97.55,38871,1958
"1:14","Cleveland",2021-11-29,33,NA,NA,1440,14486,1400,15991,7,8226,8226,785,655,NA,NA,758,642,22,11,5,2,10101,5890,785,9316,720,5170,1505,14486,0,0,0,7,17.51,193.61,0,8.51,6.07828835399951,9.04,0,1433,2.3,97.7,10808,5118
"1:15","Columbia",2021-11-29,75,NA,NA,3411,31220,3332,34888,4,23892,23892,1882,1529,NA,NA,1839,1493,41,34,2,2,20622,14266,1882,18740,1787,12479,3669,31219,1,1,1,20,14.28,144.95,0.42,1.67,0.837100284614097,9.85,5,3407,2.2,97.8,30253,4378
"1:16","Conway",2021-11-29,46,NA,NA,3252,32359,3154,35731,51,20906,20906,2518,734,NA,NA,2442,712,38,8,37,14,26081,9650,2518,23563,854,8796,3372,32359,3,9,0,19,15.56,170.34,1.43,24.39,17.6982684396824,9.13,15.79,3200,1.44,98.56,29928,5683
"1:17","Craighead",2021-11-29,249,NA,NA,22139,197435,21647,220668,241,105701,105701,17491,4648,NA,NA,17092,4556,221,28,177,64,171908,48760,17491,154417,5743,43017,23234,197434,14,23,0,253,20.94,207.73,1.32,22.8,16.7453477261332,10.08,5.53,21896,1.14,98.86,208522,11052
"1:18","Crawford",2021-11-29,179,NA,NA,11034,100905,10775,112256,75,62472,62472,8565,2469,NA,NA,8359,2418,151,28,53,22,94248,18008,8565,85683,2786,15222,11351,100905,4,7,0,170,17.66,179.18,0.64,12.01,8.48380074273274,9.86,2.35,10954,1.63,98.37,103828,8111
"1:19","Crittenden",2021-11-29,180,NA,NA,8993,71987,8751,81432,59,49013,49013,8203,790,NA,NA,7991,760,153,27,56,3,71922,9510,8203,63719,1242,8268,9445,71987,0,12,0,48,18.35,165.22,0,12.04,11.4255401628139,11.11,0,8931,2.02,97.98,73234,7746
"1:20","Cross",2021-11-29,66,NA,NA,3037,24111,2956,27273,15,16998,16998,2075,962,NA,NA,2005,951,58,8,12,3,23280,3993,2075,21205,1096,2897,3171,24102,2,1,0,25,17.87,159.71,1.18,8.82,7.05965407695023,11.19,8,3022,2.18,97.82,25222,1926
"1:21","Dallas",2021-11-29,19,NA,NA,1144,12035,1122,13183,3,7432,7432,975,169,NA,NA,958,164,15,4,2,1,10777,2406,975,9802,207,2199,1182,12001,0,0,0,6,15.39,177.33,0,4.04,2.69106566200215,8.68,0,1141,1.67,98.33,11562,1617
"1:22","Desha",2021-11-29,33,NA,NA,1941,17309,1892,19367,15,11887,11887,1396,545,NA,NA,1365,527,26,7,4,11,13882,5485,1396,12486,662,4823,2058,17309,0,2,0,10,16.33,161.94,0,12.62,3.36502061075124,10.08,0,1925,1.71,98.29,16691,2559
"1:23","Drew",2021-11-29,55,NA,NA,2946,30553,2879,33621,10,18502,18502,2038,908,NA,NA,1996,884,40,15,1,9,22881,10740,2038,20843,1034,9706,3072,30549,0,1,0,12,15.92,181.06,0,5.4,0.540482110042158,8.79,0,2934,1.87,98.13,30237,3262
"1:24","Faulkner",2021-11-29,227,NA,NA,20263,197575,19763,218927,270,122416,122416,14534,5729,NA,NA,14153,5611,189,38,190,80,175554,43373,14534,161020,6819,36554,21353,197574,8,34,0,160,16.55,177.95,0.65,22.06,15.5208469481114,9.3,5,19990,1.14,98.86,186280,31558
"1:25","Franklin",2021-11-29,55,NA,NA,2807,31339,2714,34280,36,17780,17780,1821,986,NA,NA,1759,956,39,16,22,14,26298,7982,1821,24477,1120,6862,2941,31339,1,1,0,16,15.79,192.05,0.56,20.25,12.3734533183352,8.22,6.25,2769,1.99,98.01,29824,4322
"1:26","Fulton",2021-11-29,67,NA,NA,1880,12467,1749,14449,64,12139,12139,1235,645,NA,NA,1155,594,36,31,44,20,9648,4801,1235,8413,747,4054,1982,12467,7,13,0,27,15.49,118.19,5.77,52.72,36.2468078095395,13.1,25.93,1816,3.69,96.31,12647,1700
"1:27","Garland",2021-11-29,399,NA,NA,16173,149051,15716,165806,56,98296,98296,13129,3044,NA,NA,12765,2951,315,84,47,9,129380,36426,13129,116251,3628,32798,16757,149049,0,7,0,67,16.45,168.09,0,5.7,4.78147635712542,9.79,0,16115,2.48,97.52,135624,29600
