"","County_Name","Date","Active_Cases_Total","Total_Positives","Total_Deaths","Pct_Positive_Cumulative","New_Cases_Today","Active_Cases_10k_Pop"
"1","Arkansas_all_counties",2020-09-01,5036,61497,814,8.41,273,16.69
"2","Arkansas_county",2020-09-01,22,284,3,6.54,1,12.14
"3","Ashley",2020-09-01,16,388,7,8.73,0,7.79
"4","Baxter",2020-09-01,26,139,0,4.99,1,6.31
"5","Benton",2020-09-01,241,5394,54,8.52,30,9.31
"6","Boone",2020-09-01,107,369,3,5.37,4,28.7
"7","Bradley",2020-09-01,39,295,6,8.95,0,35.62
"8","Calhoun",2020-09-01,2,24,0,1.89,0,3.84
"9","Carroll",2020-09-01,38,470,7,7.76,1,13.63
"10","Chicot",2020-09-01,25,962,11,18.61,0,23.09
"11","Clark",2020-09-01,30,236,3,4.8,3,13.4
"12","Clay",2020-09-01,29,182,5,5.72,0,19.26
"13","Cleburne",2020-09-01,19,259,7,5.58,0,7.53
"14","Cleveland",2020-09-01,9,137,4,6.94,1,10.94
"15","Columbia",2020-09-01,26,297,15,7.62,2,10.88
"16","Conway",2020-09-01,24,210,3,4.26,4,11.48
"17","Craighead",2020-09-01,245,1881,15,7.38,12,23.18
"18","Crawford",2020-09-01,118,931,9,6.36,10,18.89
"19","Crittenden",2020-09-01,59,1648,34,12.35,5,12.04
"20","Cross",2020-09-01,39,280,5,7.89,1,22.94
"21","Dallas",2020-09-01,49,127,2,8.02,0,65.93
"22","Desha",2020-09-01,25,243,5,7.6,0,21.03
"23","Drew",2020-09-01,23,305,5,6.29,1,12.43
"24","Faulkner",2020-09-01,183,1703,9,5.93,10,14.95
"25","Franklin",2020-09-01,18,168,2,3.94,2,10.12
"26","Fulton",2020-09-01,15,71,0,7.4,1,12.36
"27","Garland",2020-09-01,133,1434,29,6.35,6,13.53
"28","Grant",2020-09-01,25,191,1,5.16,-1,13.82
"29","Greene",2020-09-01,57,635,4,6.26,1,12.77
"30","Hempstead",2020-09-01,20,330,3,8.72,0,9.08
"31","HotSpring",2020-09-01,37,1719,21,16.95,2,11.04
"32","Howard",2020-09-01,32,425,5,11.86,0,23.9
"33","Independence",2020-09-01,85,770,6,8.95,5,22.81
"34","Izard",2020-09-01,25,105,0,3.65,3,18.44
"35","Jackson",2020-09-01,28,184,1,3.85,1,16.26
"36","Jefferson",2020-09-01,289,2112,50,9.14,8,41.04
"37","Johnson",2020-09-01,16,765,4,11.99,0,6.09
"38","Lafayette",2020-09-01,5,70,2,8.14,2,7.23
"39","Lawrence",2020-09-01,14,250,10,8.43,1,8.4
"40","Lee",2020-09-01,19,1004,11,23.35,1,20.22
"41","Lincoln",2020-09-01,229,1608,13,23.37,4,167.21
"42","LittleRiver",2020-09-01,16,284,15,16.4,3,12.89
"43","Logan",2020-09-01,26,365,1,6.46,0,11.95
"44","Lonoke",2020-09-01,101,728,4,5.42,2,13.99
"45","Madison",2020-09-01,6,296,2,8.05,0,3.73
"46","Marion",2020-09-01,7,46,0,2.66,1,4.26
"47","Miller",2020-09-01,37,612,9,10.68,10,8.46
"48","MissingCountyInfo",2020-09-01,175,897,0,4.98,-7,NA
"49","Mississippi",2020-09-01,88,1352,22,12.55,3,20.55
"50","Monroe",2020-09-01,8,95,0,5.05,1,11.04
"51","Montgomery",2020-09-01,41,104,3,7.28,3,45.59
"52","Nevada",2020-09-01,12,162,12,6.86,0,14.22
"53","Newton",2020-09-01,11,120,15,8.91,0,14.02
"54","Ouachita",2020-09-01,29,158,4,3.62,0,12.03
"55","Perry",2020-09-01,3,63,1,2.93,0,2.91
"56","Phillips",2020-09-01,26,407,10,7.4,2,13.66
"57","Pike",2020-09-01,10,177,1,9.22,1,9.25
"58","Poinsett",2020-09-01,97,489,6,8.17,0,40.33
"59","Polk",2020-09-01,15,225,3,6.74,1,7.44
"60","Pope",2020-09-01,149,1776,16,9.94,2,23.41
"61","Prairie",2020-09-01,2,115,0,6.92,0,2.43
"62","Pulaski",2020-09-01,621,7121,109,7.05,49,15.78
"63","Randolph",2020-09-01,12,311,12,7.9,0,6.82
"64","Saline",2020-09-01,199,1591,13,7.35,15,16.86
"65","Scott",2020-09-01,3,86,0,5.61,0,2.87
"66","Searcy",2020-09-01,53,101,0,6.26,1,66.89
"67","Sebastian",2020-09-01,254,2900,34,8.37,23,19.93
"68","Sevier",2020-09-01,22,1159,12,17.24,2,12.8
"69","Sharp",2020-09-01,16,149,5,5.03,0,9.39
"70","St.Francis",2020-09-01,89,1348,4,12.08,3,33.85
"71","Stone",2020-09-01,43,196,3,7.65,3,34.55
"72","Union",2020-09-01,73,692,20,9.03,1,18.37
"73","VanBuren",2020-09-01,32,120,2,4.09,2,19.18
"74","Washington",2020-09-01,212,6921,68,10.65,21,9.28
"75","White",2020-09-01,73,533,11,5.02,5,9.26
"76","Woodruff",2020-09-01,1,27,0,2.01,0,1.5
"77","Yell",2020-09-01,33,1166,23,13.35,4,15.17
"78","Arkansas_all_counties",2020-09-02,5010,62490,841,8.42,615,16.6
"79","Arkansas_county",2020-09-02,22,286,3,6.54,2,12.14
"80","Ashley",2020-09-02,15,388,7,8.71,0,7.3
"81","Baxter",2020-09-02,24,140,0,4.99,1,5.82
"82","Benton",2020-09-02,275,5453,57,8.56,59,10.62
"83","Boone",2020-09-02,105,374,3,5.42,5,28.16
"84","Bradley",2020-09-02,34,296,6,8.97,1,31.06
"85","Calhoun",2020-09-02,0,23,0,1.81,-1,0
"86","Carroll",2020-09-02,37,474,7,7.79,4,13.27
"87","Chicot",2020-09-02,25,963,11,18.59,1,23.09
"88","Clark",2020-09-02,28,239,4,4.83,3,12.51
"89","Clay",2020-09-02,31,185,5,5.78,3,20.58
"90","Cleburne",2020-09-02,15,257,7,5.49,-2,5.95
"91","Cleveland",2020-09-02,7,138,5,6.78,1,8.51
"92","Columbia",2020-09-02,25,303,15,7.74,6,10.46
"93","Conway",2020-09-02,22,212,3,4.29,2,10.52
"94","Craighead",2020-09-02,261,1932,15,7.5,51,24.69
"95","Crawford",2020-09-02,104,939,9,6.38,8,16.65
"96","Crittenden",2020-09-02,60,1659,35,12.38,11,12.24
"97","Cross",2020-09-02,38,283,5,7.93,3,22.36
"98","Dallas",2020-09-02,50,128,2,8,1,67.28
"99","Desha",2020-09-02,24,244,5,7.6,1,20.19
"100","Drew",2020-09-02,16,308,5,6.33,3,8.65
"101","Faulkner",2020-09-02,182,1719,9,5.95,16,14.87
"102","Franklin",2020-09-02,20,174,2,4.06,6,11.25
"103","Fulton",2020-09-02,14,72,0,7.45,1,11.53
"104","Garland",2020-09-02,140,1458,30,6.43,24,14.24
"105","Grant",2020-09-02,25,193,1,5.19,2,13.82
"106","Greene",2020-09-02,61,648,5,6.33,13,13.67
"107","Hempstead",2020-09-02,15,334,3,8.8,4,6.81
"108","HotSpring",2020-09-02,43,1728,21,16.95,9,12.83
"109","Howard",2020-09-02,31,427,5,11.89,2,23.15
"110","Independence",2020-09-02,88,788,7,9.01,18,23.62
"111","Izard",2020-09-02,26,106,0,3.66,1,19.18
"112","Jackson",2020-09-02,28,187,1,3.63,3,16.26
"113","Jefferson",2020-09-02,244,2129,51,9.18,17,34.65
"114","Johnson",2020-09-02,15,766,4,11.97,1,5.71
"115","Lafayette",2020-09-02,6,72,2,8.31,2,8.68
"116","Lawrence",2020-09-02,12,253,11,8.47,3,7.2
"117","Lee",2020-09-02,15,1006,11,23.36,2,15.96
"118","Lincoln",2020-09-02,228,1610,13,23.37,2,166.48
"119","LittleRiver",2020-09-02,17,287,15,16.53,3,13.69
"120","Logan",2020-09-02,16,365,1,6.44,0,7.35
"121","Lonoke",2020-09-02,98,740,4,5.47,12,13.57
"122","Madison",2020-09-02,7,299,2,8.11,3,4.35
"123","Marion",2020-09-02,6,46,0,2.66,0,3.65
"124","Miller",2020-09-02,38,621,9,10.81,9,8.68
"125","MissingCountyInfo",2020-09-02,200,956,0,4.9,59,NA
"126","Mississippi",2020-09-02,100,1374,22,12.7,22,23.35
"127","Monroe",2020-09-02,8,96,0,5.08,1,11.04
"128","Montgomery",2020-09-02,41,104,3,7.22,0,45.59
"129","Nevada",2020-09-02,12,162,12,6.84,0,14.22
"130","Newton",2020-09-02,11,121,15,8.94,1,14.02
"131","Ouachita",2020-09-02,30,159,4,3.64,1,12.45
"132","Perry",2020-09-02,3,63,1,2.91,0,2.91
"133","Phillips",2020-09-02,19,407,10,7.39,0,9.98
"134","Pike",2020-09-02,9,177,1,9.16,0,8.33
"135","Poinsett",2020-09-02,99,493,6,8.18,4,41.16
"136","Polk",2020-09-02,13,226,4,6.74,1,6.45
"137","Pope",2020-09-02,146,1787,18,9.94,11,22.94
"138","Prairie",2020-09-02,2,115,0,6.89,0,2.43
"139","Pulaski",2020-09-02,626,7182,112,7.03,61,15.91
"140","Randolph",2020-09-02,9,311,12,7.87,0,5.11
"141","Saline",2020-09-02,211,1617,13,7.41,26,17.88
"142","Scott",2020-09-02,2,87,0,5.65,1,1.92
"143","Searcy",2020-09-02,46,101,0,6.23,0,58.06
"144","Sebastian",2020-09-02,217,2910,35,8.37,10,17.02
"145","Sevier",2020-09-02,22,1160,13,17.24,1,12.8
"146","Sharp",2020-09-02,11,149,5,4.94,0,6.45
"147","St.Francis",2020-09-02,85,1350,4,12.07,2,32.33
"148","Stone",2020-09-02,44,202,3,7.8,6,35.35
"149","Union",2020-09-02,68,698,20,9.09,6,17.11
"150","VanBuren",2020-09-02,33,126,2,4.28,6,19.78
"151","Washington",2020-09-02,247,6991,73,10.68,70,10.81
"152","White",2020-09-02,75,542,12,5.09,9,9.52
"153","Woodruff",2020-09-02,0,27,0,2,0,0
"154","Yell",2020-09-02,28,1167,25,13.31,1,12.87
"155","Arkansas_all_counties",2020-09-03,5331,63504,861,8.44,1014,17.67
"156","Arkansas_county",2020-09-03,21,287,3,6.52,1,11.59
"157","Ashley",2020-09-03,13,388,7,8.63,0,6.33
"158","Baxter",2020-09-03,25,144,0,5.02,4,6.07
"159","Benton",2020-09-03,289,5503,58,8.51,50,11.16
"160","Boone",2020-09-03,113,388,3,5.51,14,30.3
"161","Bradley",2020-09-03,28,300,6,8.96,4,25.58
"162","Calhoun",2020-09-03,0,23,0,1.79,0,0
"163","Carroll",2020-09-03,39,479,7,7.76,5,13.99
"164","Chicot",2020-09-03,26,964,11,18.51,1,24.02
"165","Clark",2020-09-03,28,243,4,4.88,4,12.51
"166","Clay",2020-09-03,30,190,5,5.86,5,19.92
"167","Cleburne",2020-09-03,13,259,7,5.48,2,5.15
"168","Cleveland",2020-09-03,9,139,5,6.66,1,10.94
"169","Columbia",2020-09-03,27,311,15,7.87,8,11.3
"170","Conway",2020-09-03,19,213,3,4.27,1,9.09
"171","Craighead",2020-09-03,275,1958,16,7.46,26,26.02
"172","Crawford",2020-09-03,97,952,9,6.39,13,15.53
"173","Crittenden",2020-09-03,65,1685,35,12.47,26,13.26
"174","Cross",2020-09-03,41,289,5,7.92,6,24.12
"175","Dallas",2020-09-03,41,132,2,8.08,4,55.17
"176","Desha",2020-09-03,28,249,5,7.62,5,23.56
"177","Drew",2020-09-03,16,309,5,6.29,1,8.65
"178","Faulkner",2020-09-03,191,1747,9,5.97,28,15.6
"179","Franklin",2020-09-03,22,178,2,4.12,4,12.37
"180","Fulton",2020-09-03,18,77,0,7.75,5,14.83
"181","Garland",2020-09-03,148,1479,30,6.42,21,15.06
"182","Grant",2020-09-03,28,197,1,5.16,4,15.48
"183","Greene",2020-09-03,57,652,5,6.28,4,12.77
"184","Hempstead",2020-09-03,11,335,3,8.77,1,5
"185","HotSpring",2020-09-03,41,1731,21,16.85,3,12.23
"186","Howard",2020-09-03,32,429,5,11.84,2,23.9
"187","Independence",2020-09-03,82,791,7,8.94,3,22.01
"188","Izard",2020-09-03,25,108,0,3.7,2,18.44
"189","Jackson",2020-09-03,29,191,1,3.61,4,16.84
"190","Jefferson",2020-09-03,253,2166,51,9.17,37,35.93
"191","Johnson",2020-09-03,15,770,4,11.98,4,5.71
"192","Lafayette",2020-09-03,7,75,2,8.58,3,10.12
"193","Lawrence",2020-09-03,16,258,11,8.51,5,9.6
"194","Lee",2020-09-03,16,1007,11,23.33,1,17.02
"195","Lincoln",2020-09-03,232,1617,13,23.28,7,169.4
"196","LittleRiver",2020-09-03,22,296,15,16.89,9,17.72
"197","Logan",2020-09-03,17,367,1,6.43,2,7.81
"198","Lonoke",2020-09-03,98,749,4,5.49,9,13.57
"199","Madison",2020-09-03,9,302,2,8.13,3,5.6
"200","Marion",2020-09-03,8,48,0,2.73,2,4.87
"201","Miller",2020-09-03,51,638,9,10.98,17,11.65
"202","Mississippi",2020-09-03,104,1388,31,12.71,14,24.28
"203","Monroe",2020-09-03,7,96,0,5.03,0,9.66
"204","Montgomery",2020-09-03,48,116,4,7.72,12,53.37
"205","Nevada",2020-09-03,8,162,12,6.83,0,9.48
"206","Newton",2020-09-03,25,134,15,9.49,13,31.86
"207","Ouachita",2020-09-03,38,173,4,3.88,14,15.76
"208","Perry",2020-09-03,3,62,0,2.84,-1,2.91
"209","Phillips",2020-09-03,16,409,10,7.38,2,8.41
"210","Pike",2020-09-03,8,179,1,9.14,2,7.4
"211","Poinsett",2020-09-03,90,503,6,8.04,10,37.42
"212","Polk",2020-09-03,15,230,4,6.76,4,7.44
"213","Pope",2020-09-03,142,1806,19,9.92,19,22.31
"214","Prairie",2020-09-03,3,118,1,7,3,3.64
"215","Pulaski",2020-09-03,652,7276,112,7.02,94,16.57
"216","Randolph",2020-09-03,9,312,13,7.83,1,5.11
"217","Saline",2020-09-03,229,1653,13,7.46,36,19.41
"218","Scott",2020-09-03,1,88,0,5.68,1,0.96
"219","Searcy",2020-09-03,52,111,0,6.75,10,65.63
"220","Sebastian",2020-09-03,219,2946,35,8.37,36,17.18
"221","Sevier",2020-09-03,14,1163,13,17.18,3,8.14
"222","Sharp",2020-09-03,12,152,5,4.97,3,7.04
"223","St.Francis",2020-09-03,84,1357,4,12.06,7,31.95
"224","Stone",2020-09-03,45,211,3,7.96,9,36.16
"225","Union",2020-09-03,63,707,21,9.07,9,15.86
"226","VanBuren",2020-09-03,32,136,2,4.55,10,19.18
"227","Washington",2020-09-03,381,7203,78,10.8,212,16.67
"228","White",2020-09-03,77,551,12,5.13,9,9.77
"229","Woodruff",2020-09-03,1,28,0,2.07,1,1.5
"230","Yell",2020-09-03,26,1169,25,13.26,2,11.95
"231","Arkansas_all_counties",2020-09-04,5755,64678,873,8.46,1174,19.07
"232","Arkansas_county",2020-09-04,25,293,3,6.62,6,13.79
"233","Ashley",2020-09-04,9,389,7,8.61,1,4.38
"234","Baxter",2020-09-04,25,147,1,5,3,6.07
"235","Benton",2020-09-04,321,5564,58,8.55,61,12.39
"236","Boone",2020-09-04,112,392,3,5.53,4,30.04
"237","Bradley",2020-09-04,25,300,6,8.91,0,22.84
"238","Calhoun",2020-09-04,0,23,0,1.78,0,0
"239","Carroll",2020-09-04,37,482,8,7.72,3,13.27
"240","Chicot",2020-09-04,28,968,11,18.42,4,25.86
"241","Clark",2020-09-04,35,253,4,5.04,10,15.64
"242","Clay",2020-09-04,31,198,5,6.03,8,20.58
"243","Cleburne",2020-09-04,10,260,7,5.45,1,3.96
"244","Cleveland",2020-09-04,8,140,6,6.64,1,9.73
"245","Columbia",2020-09-04,22,312,15,7.82,1,9.21
"246","Conway",2020-09-04,16,213,3,4.24,0,7.65
"247","Craighead",2020-09-04,286,2009,16,7.54,51,27.06
"248","Crawford",2020-09-04,104,966,9,6.4,14,16.65
"249","Crittenden",2020-09-04,69,1693,35,12.44,8,14.08
"250","Cross",2020-09-04,47,296,5,8.07,7,27.65
"251","Dallas",2020-09-04,38,132,2,8.04,0,51.13
"252","Desha",2020-09-04,26,252,5,7.62,3,21.87
"253","Drew",2020-09-04,14,309,5,6.26,0,7.57
"254","Faulkner",2020-09-04,182,1758,9,5.95,11,14.87
"255","Franklin",2020-09-04,26,182,2,4.18,4,14.62
"256","Fulton",2020-09-04,15,80,1,7.93,3,12.36
"257","Garland",2020-09-04,154,1499,31,6.47,20,15.67
"258","Grant",2020-09-04,25,199,1,5.18,2,13.82
"259","Greene",2020-09-04,58,658,5,6.25,6,13
"260","Hempstead",2020-09-04,10,335,3,8.74,0,4.54
"261","HotSpring",2020-09-04,45,1736,21,16.8,5,13.42
"262","Howard",2020-09-04,33,431,5,11.82,2,24.65
"263","Independence",2020-09-04,88,803,8,9.01,12,23.62
"264","Izard",2020-09-04,20,109,0,3.71,1,14.75
"265","Jackson",2020-09-04,23,194,1,3.66,3,13.35
"266","Jefferson",2020-09-04,261,2191,51,9.22,25,37.06
"267","Johnson",2020-09-04,16,775,4,11.97,5,6.09
"268","Lafayette",2020-09-04,4,74,2,8.45,-1,5.78
"269","Lawrence",2020-09-04,20,262,11,8.56,4,12
"270","Lee",2020-09-04,17,1009,11,23.34,2,18.09
"271","Lincoln",2020-09-04,348,1737,13,23.98,120,254.11
"272","LittleRiver",2020-09-04,22,299,15,16.94,3,17.72
"273","Logan",2020-09-04,14,367,1,6.36,0,6.43
"274","Lonoke",2020-09-04,92,762,4,5.54,13,12.74
"275","Madison",2020-09-04,9,308,2,8.22,6,5.6
"276","Marion",2020-09-04,10,51,0,2.86,3,6.08
"277","Miller",2020-09-04,46,642,9,10.88,4,10.51
"278","MissingCountyInfo",2020-09-04,312,1230,0,5.22,201,NA
"279","Mississippi",2020-09-04,101,1401,32,12.71,13,23.58
"280","Monroe",2020-09-04,7,97,0,5.07,1,9.66
"281","Montgomery",2020-09-04,46,118,4,7.8,2,51.15
"282","Nevada",2020-09-04,7,165,12,6.9,3,8.29
"283","Newton",2020-09-04,26,136,15,9.58,2,33.13
"284","Ouachita",2020-09-04,40,175,5,3.9,2,16.59
"285","Perry",2020-09-04,3,62,0,2.82,0,2.91
"286","Phillips",2020-09-04,20,414,10,7.44,5,10.51
