"","county_nam","Date","Deaths","Positive","active_cases","Cases_Population"
"1:1","Arkansas_all_counties",2021-11-29,8655,527794,5365,17.8
"1:2","Arkansas_county",2021-11-29,60,3536,13,19.51
"1:3","Ashley",2021-11-29,49,3222,8,15.69
"1:4","Baxter",2021-11-29,188,6128,76,14.87
"1:5","Benton",2021-11-29,630,43828,496,16.92
"1:6","Boone",2021-11-29,131,6446,84,17.29
"1:7","Bradley",2021-11-29,41,2014,12,18.4
"1:8","Calhoun",2021-11-29,8,605,6,11.63
"1:9","Carroll",2021-11-29,75,4404,45,15.79
"1:10","Chicot",2021-11-29,47,2033,3,18.78
"1:11","Clark",2021-11-29,61,3368,39,15.05
"1:12","Clay",2021-11-29,74,2803,38,18.61
"1:13","Cleburne",2021-11-29,95,3956,75,15.68
"1:14","Cleveland",2021-11-29,33,1440,7,17.51
"1:15","Columbia",2021-11-29,75,3411,4,14.28
"1:16","Conway",2021-11-29,46,3252,51,15.56
"1:17","Craighead",2021-11-29,249,22139,241,20.94
"1:18","Crawford",2021-11-29,179,11034,75,17.66
"1:19","Crittenden",2021-11-29,180,8993,59,18.35
"1:20","Cross",2021-11-29,66,3037,15,17.87
"1:21","Dallas",2021-11-29,19,1144,3,15.39
"1:22","Desha",2021-11-29,33,1941,15,16.33
"1:23","Drew",2021-11-29,55,2946,10,15.92
"1:24","Faulkner",2021-11-29,227,20263,270,16.55
"1:25","Franklin",2021-11-29,55,2807,36,15.79
"1:26","Fulton",2021-11-29,67,1880,64,15.49
"1:27","Garland",2021-11-29,399,16173,56,16.45
"1:28","Grant",2021-11-29,50,2910,14,16.09
"1:29","Greene",2021-11-29,125,10382,90,23.27
"1:30","Hempstead",2021-11-29,41,3007,18,13.66
"1:31","HotSpring",2021-11-29,109,7766,37,23.17
"1:32","Howard",2021-11-29,38,2528,25,18.88
"1:33","Independence",2021-11-29,161,6858,203,18.4
"1:34","Izard",2021-11-29,55,2704,64,19.94
"1:35","Jackson",2021-11-29,46,4552,90,26.43
"1:36","Jefferson",2021-11-29,228,12453,47,17.68
"1:37","Johnson",2021-11-29,58,4681,27,17.8
"1:38","Lafayette",2021-11-29,28,863,3,12.48
"1:39","Lawrence",2021-11-29,62,3474,38,20.84
"1:40","Lee",2021-11-29,52,2185,28,23.25
"1:41","Lincoln",2021-11-29,57,3679,10,26.86
"1:42","LittleRiver",2021-11-29,81,2124,9,17.11
"1:43","Logan",2021-11-29,51,3730,26,17.14
"1:44","Lonoke",2021-11-29,176,12347,137,17.1
"1:45","Madison",2021-11-29,40,2619,70,16.29
"1:46","Marion",2021-11-29,62,2283,43,13.89
"1:47","Miller",2021-11-29,144,6653,48,15.2
"1:48","MissingCountyInfo",2021-11-29,0,5497,257,NA
"1:49","Mississippi",2021-11-29,149,8643,120,20.18
"1:50","Monroe",2021-11-29,25,1204,2,16.61
"1:51","Montgomery",2021-11-29,46,1159,7,12.89
"1:52","Nevada",2021-11-29,40,1412,13,16.73
"1:53","Newton",2021-11-29,39,1215,20,15.48
"1:54","Ouachita",2021-11-29,86,3455,16,14.33
"1:55","Perry",2021-11-29,22,1582,21,15.33
"1:56","Phillips",2021-11-29,77,3234,8,16.99
"1:57","Pike",2021-11-29,37,1750,7,16.19
"1:58","Poinsett",2021-11-29,102,5089,73,21.16
"1:59","Polk",2021-11-29,112,3009,7,14.92
"1:60","Pope",2021-11-29,158,12271,120,19.28
"1:61","Prairie",2021-11-29,29,1288,0,15.62
"1:62","Pulaski",2021-11-29,934,60138,530,15.28
"1:63","Randolph",2021-11-29,64,3452,49,19.61
"1:64","SaintFrancis",2021-11-29,69,4883,19,NA
"1:65","Saline",2021-11-29,246,18916,119,16.03
"1:66","Scott",2021-11-29,31,1759,13,16.85
"1:67","Searcy",2021-11-29,25,1308,22,16.51
