"","County_Name","New_Deaths_Today"
"1:62","Pulaski",6
"1:5","Benton",4
"1:74","Washington",3
"1:13","Cleburne",2
"1:24","Faulkner",2
"1:27","Garland",2
"1:34","Izard",2
"1:36","Jefferson",2
"1:63","Randolph",2
"1:69","Sharp",2
"1:7","Bradley",1
"1:10","Chicot",1
"1:11","Clark",1
"1:15","Columbia",1
"1:18","Crawford",1
"1:19","Crittenden",1
"1:23","Drew",1
"1:29","Greene",1
"1:30","Hempstead",1
"1:37","Johnson",1
"1:47","Miller",1
"1:64","Saline",1
"1:67","Sebastian",1
"1:68","Sevier",1
"1:72","Union",1
