"","Date","County_Name","Confirmed_Active","Probable_Active","Confirmed_Death","Probable_Death","Confirmed_Positive","Probable_Positive"
"1",2020-09-13,"Arkansas_all_counties",5827,344,976,5,69050,1169
"2",2020-09-14,"Arkansas_all_counties",5719,311,986,6,69449,1178
"3",2020-09-15,"Arkansas_all_counties",5703,298,1003,7,70125,1232
"4",2020-09-16,"Arkansas_all_counties",5572,339,1010,147,70731,1488
"5",2020-09-17,"Arkansas_all_counties",5726,374,1018,148,71614,1597
"6",2020-09-18,"Arkansas_all_counties",5767,391,1025,148,72338,1744
"7",2020-09-19,"Arkansas_all_counties",6101,456,1033,148,73141,2019
"8",2020-09-20,"Arkansas_all_counties",6256,429,1033,148,73690,2033
"9",2020-09-21,"Arkansas_all_counties",6299,407,1048,149,74286,2078
"10",2020-09-22,"Arkansas_all_counties",6188,395,1060,149,74772,2209
"11",2020-09-23,"Arkansas_all_counties",6383,394,1080,149,75646,2317
"12",2020-09-24,"Arkansas_all_counties",6672,389,1097,149,76676,2373
"13",2020-09-25,"Arkansas_all_counties",6830,419,1116,150,77472,2474
"14",2020-09-26,"Arkansas_all_counties",7027,387,1137,148,78260,2495
"15",2020-09-27,"Arkansas_all_counties",6965,362,1160,148,78735,2507
"16",2020-09-28,"Arkansas_all_counties",6824,318,1183,146,79521,2528
"17",2020-09-29,"Arkansas_all_counties",6529,431,1204,146,80003,2752
"18",2020-09-30,"Arkansas_all_counties",6373,636,1223,146,80610,3087
"19",2020-10-01,"Arkansas_all_counties",6552,692,1238,146,81531,3290
"20",2020-10-02,"Arkansas_all_counties",6583,747,1245,146,82309,3470
"21",2020-10-03,"Arkansas_all_counties",6491,847,1260,147,82851,3674
"22",2020-10-04,"Arkansas_all_counties",6405,817,1278,147,83306,3707
"23",2020-10-05,"Arkansas_all_counties",6186,736,1299,148,83698,3732
"24",2020-10-06,"Arkansas_all_counties",5970,738,1321,148,84230,3841
"25",2020-10-07,"Arkansas_all_counties",5908,778,1337,145,84914,3966
"26",2020-10-08,"Arkansas_all_counties",6207,863,1359,144,85980,4165
"27",2020-10-09,"Arkansas_all_counties",6554,914,1385,145,86960,4352
"28",2020-10-10,"Arkansas_all_counties",6793,942,1405,147,87748,4472
"29",2020-10-11,"Arkansas_all_counties",6867,934,1421,148,88302,4531
"30",2020-10-12,"Arkansas_all_counties",6929,910,1438,148,88870,4617
"31",2020-10-13,"Arkansas_all_counties",6744,1000,1463,148,89351,4816
"32",2020-10-14,"Arkansas_all_counties",6924,1083,1484,150,90235,5011
"33",2020-10-15,"Arkansas_all_counties",7272,1152,1494,151,91303,5221
"34",2020-10-16,"Arkansas_all_counties",7420,1189,1514,151,92117,5422
"35",2020-10-17,"Arkansas_all_counties",7555,1255,1533,151,92827,5595
"36",2020-10-18,"Arkansas_all_counties",7621,1283,1552,152,93356,5710
"37",2020-10-19,"Arkansas_all_counties",7450,1208,1562,152,93790,5807
"38",2020-10-20,"Arkansas_all_counties",7159,1263,1576,152,94418,6023
"39",2020-10-21,"Arkansas_all_counties",7272,1248,1599,152,95399,6197
"40",2020-10-22,"Arkansas_all_counties",7357,1373,1616,156,96292,6506
"41",2020-10-23,"Arkansas_all_counties",7667,1462,1626,156,97339,6796
"42",2020-10-24,"Arkansas_all_counties",7912,1623,1640,157,98213,7105
"43",2020-10-25,"Arkansas_all_counties",8113,1653,1655,157,98880,7235
"44",2020-10-26,"Arkansas_all_counties",7995,1576,1676,157,99410,7317
"45",2020-10-27,"Arkansas_all_counties",7796,1694,1696,161,100061,7618
"46",2020-10-28,"Arkansas_all_counties",7584,1719,1714,161,100751,7889
"47",2020-10-29,"Arkansas_all_counties",7672,1794,1732,162,101588,8124
"48",2020-10-30,"Arkansas_all_counties",7829,1967,1737,163,102405,8469
"49",2020-10-31,"Arkansas_all_counties",8158,2027,1758,167,103482,8708
"50",2020-11-01,"Arkansas_all_counties",8404,2016,1791,167,104239,8818
"51",2020-11-02,"Arkansas_all_counties",8209,1926,1817,168,104703,8938
"52",2020-11-03,"Arkansas_all_counties",7814,2022,1833,170,105223,9296
"53",2020-11-04,"Arkansas_all_counties",7837,2173,1854,172,106137,9675
"54",2020-11-05,"Arkansas_all_counties",8140,2353,1863,174,107292,10068
"55",2020-11-06,"Arkansas_all_counties",8850,2564,1878,178,108738,10492
"56",2020-11-07,"Arkansas_all_counties",9470,2682,1890,178,110016,10812
"57",2020-11-08,"Arkansas_all_counties",9833,2647,1907,178,110932,10934
"58",2020-11-09,"Arkansas_all_counties",9957,2531,1930,178,111761,11050
"59",2020-11-10,"Arkansas_all_counties",10105,2769,1934,178,112736,11499
"60",2020-11-11,"Arkansas_all_counties",10399,3292,1947,179,113943,12254
"61",2020-11-12,"Arkansas_all_counties",10896,3595,1964,180,115228,12778
"62",2020-11-13,"Arkansas_all_counties",11655,4118,1968,180,116787,13531
"63",2020-11-14,"Arkansas_all_counties",12147,4406,1979,180,118136,14030
"64",2020-11-15,"Arkansas_all_counties",12203,4328,2000,183,118843,14197
"65",2020-11-16,"Arkansas_all_counties",12490,3995,2038,187,120008,14340
