"","Date","Doses_Given","Doses_Received","Long_Term_Care_Doses","Long_Term_Care_Given","All_Doses_Received","All_Doses_Given","New_Doses_Today","Pct_Doses_Total"
"1","12/30/20",25679,97025,24700,84,121725,25763,NA,21.2%
"2","12/31/20",28841,124325,24700,178,149025,29019,3256,19.5%
"3","1/1/21",31574,124325,24700,580,149025,32154,3135,21.6%
"4","1/2/21",32537,124325,24700,1017,149025,33554,1400,22.5%
"5","1/3/21",33835,124325,24700,1017,149025,34852,1298,23.4%
"6","1/4/21",34962,124325,24700,1324,149025,36286,1434,24.3%
"7","1/5/21",37884,134425,24700,1324,159125,39208,2922,24.6%
"8","1/6/21",50679,152075,24700,1533,176775,52212,13004,29.5%
"9","1/7/21",58914,169625,24700,2374,194325,61288,9076,31.5%
"10","1/8/21",65991,190100,24700,2474,214800,68465,7177,31.9%
"11","1/9/21",74663,202400,24700,2931,227100,77594,9129,34.2%
"12","1/10/21",77854,203375,24700,3423,228075,81277,3683,35.6%
"13","1/11/21",80796,203375,24700,3774,228075,84570,3293,37.1%
"14","1/12/21",89449,227500,24700,3884,252200,93333,8763,37.0%
"15","1/13/21",102657,251600,24700,4169,276300,106826,13493,38.7%
"16","1/14/21",112238,275000,49400,4534,324400,116772,9946,36.0%
"17","1/15/21",119065,275000,49400,5091,324400,124156,7384,38.3%
"18","1/16/21",125789,275000,49400,5601,324400,131390,7234,40.5%
"19","1/17/21",131022,275000,49400,6285,324400,137307,5917,42.3%
"20","1/18/21",133962,275000,49400,6597,324400,140559,3252,43.3%
"21","1/19/21",147609,310275,49400,6626,359675,154235,13676,42.9%
"22","1/20/21",164699,312225,49400,6816,361625,171515,17280,47.4%
"23","1/21/21",179127,330750,49400,6978,380150,186105,14590,49.0%
"24","1/22/21",193831,332250,49400,6982,381650,200813,14708,52.6%
"25","1/23/21",205089,337350,49400,6983,386750,212072,11259,54.8%
"26","1/24/21",211968,337350,49400,6983,386750,218951,6879,56.6%
"27","1/25/21",214617,337350,49400,6985,386750,221602,2651,57.3%
"28","1/26/21",227074,410175,49400,7046,459575,234120,12518,50.9%
"29","1/27/21",241466,422875,49400,9630,472275,251096,16976,53.2%
"30","1/28/21",255274,470200,49400,12408,519600,267682,16586,51.5%
"31","1/29/21",270332,470400,49400,14596,519800,284928,17246,54.8%
"32","1/30/21",284022,470600,49400,15916,520000,299938,15010,57.7%
"33","1/31/21",290886,470600,49400,16672,520000,307558,7620,59.1%
"34","2/1/21",293570,470600,49400,16943,520000,310513,2955,59.7%
"35","2/2/21",301291,486500,49400,17117,535900,318408,7895,59.4%
"36","2/3/21",316484,519225,49400,17539,568625,334023,15615,58.7%
"37","2/4/21",329521,536825,49400,18285,586225,347806,13783,59.3%
"38","2/5/21",351485,555850,49400,18777,605250,370262,22456,61.2%
"39","2/6/21",369898,559750,49400,19026,609150,388924,18662,63.8%
"40","2/7/21",377678,561150,49400,19441,610550,397119,8195,65.0%
"41","2/8/21",379624,561150,49400,19937,610550,399561,2442,65.4%
"42","2/9/21",392212,601875,49400,20904,651275,413116,13555,63.4%
"43","2/10/21",404695,602075,49400,21178,651475,425873,12757,65.4%
"44","2/11/21",420570,621075,49400,21564,670475,442134,16261,65.9%
"45","2/12/21",430228,657200,61000,21980,718200,452208,10074,63.0%
"46","2/13/21",445040,658000,61000,22197,719000,467237,15029,65.0%
"47","2/14/21",451914,658000,61000,22689,719000,474603,7366,66.0%
"48","2/15/21",455089,658000,61000,22959,719000,478048,3445,66.5%
"49","2/16/21",458431,658000,61000,23080,719000,481511,3463,67.0%
"50","2/17/21",462141,676525,61000,27498,737525,489639,8128,66.4%
"51","2/18/21",466216,691525,61000,27560,752525,493776,4137,65.6%
"52","2/19/21",469440,691525,61000,28718,752525,498158,4382,66.2%
"53","2/20/21",476828,691525,61000,28777,752525,505605,7447,67.2%
"54","2/21/21",483224,691525,61000,31959,752525,515183,9578,68.5%
"55","2/22/21",487212,691525,61000,32028,752525,519240,4057,69.0%
"56","2/23/21",500914,794230,61000,33565,855230,534479,15239,62.5%
"57","2/24/21",517445,816730,70360,35559,887090,553004,18525,62.3%
"58","2/25/21",540038,835590,70360,38481,905950,578519,25515,63.9%
"59","2/26/21",560854,870590,79460,41805,950050,602659,24140,63.4%
"60","2/27/21",586071,902020,87560,42951,989580,629022,26363,63.6%
"61","2/28/21",585785,902020,87560,41948,989580,627733,-1289,63.4%
"62","3/1/21",593908,902020,87560,42692,989580,636600,8867,64.3%
"63","3/2/21",609055,975910,91070,43647,1066980,652702,16102,61.2%
"64","3/3/21",622719,977710,91070,46060,1068780,668779,16077,62.6%
"65","3/4/21",636290,999240,119170,50907,1118410,687197,18418,61.4%
"66","3/5/21",653245,1064920,135550,53454,1200470,706699,19502,58.9%
"67","3/6/21",671389,1088150,135550,55258,1223700,726647,19948,59.4%
"68","3/7/21",677424,1088150,135550,56557,1223700,733981,7334,60.0%
"69","3/8/21",684280,1088150,135550,57924,1223700,742204,8223,60.7%
"70","3/9/21",697452,1158630,135550,59599,1294180,757051,14847,58.5%
"71","3/10/21",709581,1162330,135550,62295,1297880,771876,14825,59.5%
"72","3/11/21",724976,1209300,152150,64818,1361450,789794,17918,58.0%
"73","3/12/21",743791,1217310,165020,72606,1382330,816397,26603,59.1%
"74","3/13/21",759646,1244220,165020,76826,1409240,836472,20075,59.4%
"75","3/14/21",765768,1244220,165020,79015,1409240,844783,8311,59.9%
"76","3/15/21",768923,1244220,165020,80060,1409240,848983,4200,60.2%
"77","3/16/21",781348,1325200,174380,82532,1499580,863880,14897,57.6%
"78","3/17/21",795387,1329170,174380,84963,1503550,880350,16470,58.6%
"79","3/18/21",815030,1360780,194080,87951,1554860,902981,22631,58.1%
"80","3/19/21",831035,1398920,209690,93491,1608610,924526,21545,57.5%
"81","3/20/21",850488,1458550,209690,97509,1668240,947997,23471,56.8%
"82","3/21/21",857179,1458550,209690,98897,1668240,956076,8079,57.3%
"83","3/22/21",859907,1458550,209690,99884,1668240,959791,3715,57.5%
"84","3/23/21",874294,1527220,229580,104490,1756800,978784,18993,55.7%
"85","3/24/21",893325,1529320,230580,108094,1759900,1001419,22635,56.9%
"86","3/25/21",918490,1567660,246480,111887,1814140,1030377,28958,56.8%
"87","3/26/21",939908,1599810,268430,116479,1868240,1056387,26010,56.5%
"88","3/27/21",961713,1654450,268430,120494,1922880,1082207,25820,56.3%
"89","3/28/21",967914,1654450,268430,122948,1922880,1090862,8655,56.7%
"90","3/29/21",971620,1654450,268430,124514,1922880,1096134,5272,57.0%
"91","3/30/21",990108,1736160,268430,128167,2004590,1118275,22141,55.8%
"92","3/31/21",1010188,1755140,280130,132704,2035270,1142892,24617,56.2%
"93","4/1/21",1037549,1422550,310610,138048,1733160,1175597,32705,67.8%
"94","4/2/21",1061409,1432150,324650,143579,1756800,1204988,29391,68.6%
"95","4/3/21",1086242,1493760,325350,148089,1819110,1234331,29343,67.9%
"96","4/4/21",1091816,1493760,325350,151026,1819110,1242842,8511,68.3%
"97","4/5/21",1099355,1498430,325450,152246,1823880,1251601,8759,68.6%
"98","4/6/21",1120004,1542210,339690,156671,1881900,1276675,25074,67.8%
"99","4/7/21",1143188,1585010,340590,160845,1925600,1304033,27358,67.7%
"100","4/8/21",1163264,1585810,350290,166129,1936100,1329393,25360,68.7%
"101","4/9/21",1189295,1652590,368810,173076,2021400,1362371,32978,67.4%
"102","4/10/21",1211785,1658990,377010,178131,2036000,1389916,27545,68.3%
"103","4/11/21",1216254,1659790,379010,182300,2038800,1398554,8638,68.6%
"104","4/12/21",1219654,1659790,379010,184222,2038800,1403876,5322,68.9%
"105","4/13/21",1238723,1659790,379010,188373,2038800,1427096,23220,70.0%
"106","4/14/21",1260160,1730740,406730,192662,2137470,1452822,25726,68.0%
