"","County_Name","Date","County_Vax_Total","Partial_Vax","Fully_Vax","Unk_Dose","Population","Full_Pct"
"1","Missing",2021-09-08,329741,74187,132005,167,0,Inf
"2","Howard",2021-09-08,11078,1477,5091,0,10888,46.8%
"3","Pulaski",2021-09-08,349459,27604,164498,90,330989,49.7%
"4","Lonoke",2021-09-08,59637,4925,28045,11,61242,45.8%
"5","Prairie",2021-09-08,5951,860,2645,3,6949,38.1%
"6","Desha",2021-09-08,10825,1250,4956,9,9520,52.1%
"7","Phillips",2021-09-08,14104,1604,6450,0,14714,43.8%
"8","Searcy",2021-09-08,5441,394,2550,1,6887,37.0%
"9","Independence",2021-09-08,26638,2836,12256,16,31722,38.6%
"10","Jackson",2021-09-08,11312,1075,5189,3,14500,35.8%
"11","Mississippi",2021-09-08,25993,3167,11828,5,33683,35.1%
"12","Greene",2021-09-08,33899,3262,15546,5,38118,40.8%
"13","Clay",2021-09-08,11201,934,5221,2,12543,41.6%
"14","Randolph",2021-09-08,12467,1645,5662,0,15146,37.4%
"15","Lawrence",2021-09-08,12771,1542,5735,1,14051,40.8%
"16","Baxter",2021-09-08,32447,2574,15229,5,37221,40.9%
"17","Marion",2021-09-08,9542,834,4536,0,14723,30.8%
"18","Perry",2021-09-08,9382,771,4397,2,8917,49.3%
"19","Jefferson",2021-09-08,49570,9113,20604,82,57304,36.0%
"20","Washington",2021-09-08,211900,22916,98771,29,200760,49.2%
"21","Crawford",2021-09-08,46814,4543,22004,6,53333,41.3%
"22","Little River",2021-09-08,6034,623,2838,0,10486,27.1%
"23","Miller",2021-09-08,10119,1592,4426,2,36531,12.1%
"24","Lafayette",2021-09-08,3924,433,1794,0,5854,30.6%
"25","Columbia",2021-09-08,17572,2355,7794,3,20211,38.6%
"26","Union",2021-09-08,24462,2917,11172,0,32555,34.3%
"27","Ashley",2021-09-08,16184,1572,7461,2,16780,44.5%
"28","Chicot",2021-09-08,8483,886,3945,15,8680,45.4%
"29","Benton",2021-09-08,241770,23148,112787,25,231247,48.8%
"30","Carroll",2021-09-08,20227,2488,9423,1,24422,38.6%
"31","Madison",2021-09-08,11851,1286,5489,1,14093,38.9%
"32","Sebastian",2021-09-08,95361,10016,44488,10,107538,41.4%
"33","Polk",2021-09-08,11198,1519,5178,0,17073,30.3%
"34","Sevier",2021-09-08,11100,1105,5225,0,13767,38.0%
"35","Garland",2021-09-08,82643,9010,36849,9,86444,42.6%
"36","Saline",2021-09-08,100199,8491,46796,28,104254,44.9%
"37","Franklin",2021-09-08,14817,1235,7043,0,15200,46.3%
"38","Scott",2021-09-08,7193,908,3423,0,8746,39.1%
"39","Logan",2021-09-08,16899,1459,7969,1,18547,43.0%
"40","Yell",2021-09-08,16372,1594,7895,3,18012,43.8%
"41","Montgomery",2021-09-08,5188,399,2701,1,7929,34.1%
"42","Pike",2021-09-08,6569,855,2916,3,9246,31.5%
"43","Hempstead",2021-09-08,11861,1983,5183,9,17816,29.1%
"44","Drew",2021-09-08,15520,1515,7161,2,15607,45.9%
"45","Bradley",2021-09-08,10042,1015,4942,5,9068,54.5%
"46","Calhoun",2021-09-08,3205,254,1491,0,4546,32.8%
"47","Ouachita",2021-09-08,21399,1783,10053,1,20023,50.2%
"48","Nevada",2021-09-08,5431,994,2386,1,7050,33.8%
"49","Clark",2021-09-08,19317,1498,9013,2,19472,46.3%
"50","Dallas",2021-09-08,7079,576,3297,1,6069,54.3%
"51","Cleveland",2021-09-08,7388,701,3410,7,6927,49.2%
"52","Lincoln",2021-09-08,7438,805,3481,4,11689,29.8%
"53","Arkansas",2021-09-08,16837,1647,7911,16,14786,53.5%
"54","Grant",2021-09-08,14154,1318,6598,7,15720,42.0%
"55","Monroe",2021-09-08,6425,762,2925,1,5758,50.8%
"56","Lee",2021-09-08,4998,538,2352,1,7777,30.2%
"57","Hot Spring",2021-09-08,25506,2039,11867,6,29427,40.3%
"58","St. Francis",2021-09-08,16157,1835,7632,2,21496,35.5%
"59","Crittenden",2021-09-08,29372,4352,13694,6,39319,34.8%
"60","Cross",2021-09-08,14359,1523,6630,3,13912,47.7%
"61","Woodruff",2021-09-08,6148,495,2872,3,5426,52.9%
"62","White",2021-09-08,60653,4845,28209,3,67007,42.1%
"63","Faulkner",2021-09-08,109548,8661,51252,5,107247,47.8%
"64","Conway",2021-09-08,19011,1299,9164,1,17726,51.7%
"65","Newton",2021-09-08,4432,537,1970,1,6827,28.9%
"66","Pope",2021-09-08,50749,4247,24842,9,54387,45.7%
"67","Johnson",2021-09-08,19240,2372,9042,2,22287,40.6%
"68","Van Buren",2021-09-08,12104,839,5712,0,14547,39.3%
"69","Cleburne",2021-09-08,18994,1627,8951,3,21965,40.8%
"70","Poinsett",2021-09-08,17521,2350,7709,6,19810,38.9%
"71","Craighead",2021-09-08,85633,10730,38225,34,91830,41.6%
"72","Sharp",2021-09-08,11040,1391,4905,0,15166,32.3%
"73","Izard",2021-09-08,8560,890,3919,2,12084,32.4%
"74","Fulton",2021-09-08,6227,656,2889,1,10804,26.7%
"75","Stone",2021-09-08,8006,500,3816,2,10998,34.7%
"76","Boone",2021-09-08,24988,2830,11097,3,31850,34.8%
"77","Out of State",2021-09-08,54528,12393,22579,22,0,Inf
