"","Date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct","Full_Pct"
"1",2021-08-27,"Missing",322584,203052,118583,160,74666,128386,211966,0,43110,0,1185,6718,0,969,38875,19761,21119,0,0,0,0,0,0,0,0,0,0,Inf
"2",2021-08-27,"Howard",10457,6358,4090,0,1659,4699,6706,36.4,1886,38.3,43,44,13.1,9,1065,704,665,11,24.3,10888,58.4,37.6,10.7,12,6.9,7,33.3,43.2%
"3",2021-08-27,"Pulaski",339758,188932,148919,76,29967,158965,191986,46.1,90194,34.1,1183,8526,32.3,324,23290,24255,16964,12,44.7,330989,57.1,45,6.7,7.3,7.2,7,50.3,48.0%
"4",2021-08-27,"Lonoke",56977,32085,24743,8,5752,26333,46190,38.4,3380,39,124,575,11.6,48,4684,1976,1977,6,37.3,61242,52.4,40.4,7.7,9.3,3.1,6,39.3,43.0%
"5",2021-08-27,"Prairie",5640,3398,2215,2,956,2442,4551,32.7,661,35.6,5,12,7.1,2,301,108,120,15,49.1,6949,48.9,31.9,11.5,15.2,7.1,11,33.3,35.1%
"6",2021-08-27,"Desha",10331,6009,4265,8,1349,4660,5220,49,4153,40.6,19,68,25,4,401,466,571,16,46.2,9520,63.1,44.8,11.4,14.1,0,6,44.2,48.9%
"7",2021-08-27,"Phillips",13355,7741,5589,0,1729,6012,5010,41.3,7296,36.3,8,44,4.5,2,669,326,262,15,44.7,14714,52.6,38,9.7,10.4,3,7,26.7,40.9%
"8",2021-08-27,"Searcy",5255,2906,2336,0,484,2422,4378,30.6,22,22.9,7,3,2.5,2,700,143,183,34,33.9,6887,42.2,33.9,5.1,2.1,0.8,4,7.1,35.2%
"9",2021-08-27,"Independence",25528,14764,10625,15,3275,11489,23120,34.6,416,21.7,62,330,11,28,726,846,978,11,24.4,31722,46.5,33.5,9.2,8.4,3.7,15,41.2,36.2%
"10",2021-08-27,"Jackson",10860,6076,4752,3,1139,4937,8800,34.2,1300,23.3,20,29,8,14,438,259,280,12,31.1,14500,41.9,32.8,7.6,5.3,2.7,5,18.9,34.0%
"11",2021-08-27,"Mississippi",24807,14485,10262,5,3321,11164,14958,31.6,6798,25.7,41,155,10.4,12,2236,607,763,10,25.3,33683,43,30.5,7.9,8.6,5.8,4,45.6,33.1%
"12",2021-08-27,"Greene",32472,18326,14063,5,3714,14612,28773,35.3,326,20.2,30,137,5.3,45,1956,1205,683,14,27.7,38118,48.1,36.9,8.2,10.4,2.8,14,26.7,38.3%
"13",2021-08-27,"Clay",10869,6010,4824,1,962,5048,9477,36,54,20.2,4,11,4.2,1,1046,276,108,6,19.1,12543,47.9,38.5,6.3,3.2,0,5,15,40.2%
"14",2021-08-27,"Randolph",11891,7066,4794,0,1755,5311,10416,32.4,82,17.9,10,54,5,88,443,798,189,10,30,15146,46.7,31.7,9.3,6.8,2,12,22.7,35.1%
"15",2021-08-27,"Lawrence",12123,7029,5058,1,1688,5341,11172,36.2,95,20.5,18,35,7.4,8,649,146,169,13,34.6,14051,50,36,10.5,6.5,4.2,15,39.6,38.0%
"16",2021-08-27,"Baxter",31484,17499,13907,6,2922,14577,26899,34.4,87,17.8,69,185,10.2,13,3635,596,662,5,36.7,37221,47,37.4,6.1,4.6,1.9,8,43.1,39.2%
"17",2021-08-27,"Marion",9175,5235,3921,0,930,4305,7677,25.3,20,8.4,16,16,4.9,5,1280,161,217,4,33.8,14723,35.6,26.6,4.8,1.9,0.6,6,10.1,29.2%
"18",2021-08-27,"Perry",9120,5064,4025,3,813,4251,8089,44.2,167,38.5,7,14,3.8,1,661,181,153,8,28.3,8917,56.8,45.1,7.7,6.7,1.3,7,15.9,47.7%
"19",2021-08-27,"Jefferson",47458,28787,18134,75,9340,19447,20908,36.8,22844,28.2,157,547,20.6,53,1573,1376,883,14,34.8,57304,50.2,31.6,14.8,15.1,21.8,15,44.8,33.9%
"20",2021-08-27,"Washington",203068,118303,84081,26,24652,93651,151779,39.4,5145,29.8,1391,4659,18.3,4113,14188,21793,34394,16,48.7,200760,58.9,41.9,9.1,9,4.8,15,35.2,46.6%
"21",2021-08-27,"Crawford",44917,25790,19036,5,4866,20924,36979,34.8,571,25.3,274,796,7.2,15,4136,2146,2413,9,27.1,53333,48.4,35.7,7.5,5.5,4.2,8,39.3,39.2%
"22",2021-08-27,"Little River",5733,3342,2389,0,684,2658,3772,21.5,1130,23.9,22,121,5,2,583,103,286,6,40.6,10486,31.9,22.8,4.9,7.8,2.2,5,116.1,25.3%
