"","County_Name","Partial_Vax","Fully_Vax","Full_Pct","Unk_Dose","Population","Date"
"1","Missing",71863,137852,Inf,214,0,2021-10-22
"2","Howard",905,6163,56.6%,0,10888,2021-10-22
"3","Pulaski",25556,176606,53.4%,186,330989,2021-10-22
"4","Lonoke",4131,30406,49.6%,15,61242,2021-10-22
"5","Prairie",722,2897,41.7%,6,6949,2021-10-22
"6","Desha",1097,5453,57.3%,9,9520,2021-10-22
"7","Phillips",1206,7377,50.1%,0,14714,2021-10-22
"8","Searcy",328,2739,39.8%,2,6887,2021-10-22
"9","Independence",2545,13501,42.6%,17,31722,2021-10-22
"10","Jackson",1019,5643,38.9%,5,14500,2021-10-22
"11","Mississippi",2532,13588,40.3%,11,33683,2021-10-22
"12","Greene",2651,17193,45.1%,11,38118,2021-10-22
"13","Clay",682,5820,46.4%,5,12543,2021-10-22
"14","Randolph",1448,6306,41.6%,4,15146,2021-10-22
"15","Lawrence",1324,6634,47.2%,2,14051,2021-10-22
"16","Baxter",2023,16781,45.1%,15,37221,2021-10-22
"17","Marion",648,5059,34.4%,0,14723,2021-10-22
"18","Perry",609,4798,53.8%,2,8917,2021-10-22
"19","Jefferson",8428,23710,41.4%,146,57304,2021-10-22
"20","Washington",19512,109391,54.5%,87,200760,2021-10-22
"21","Crawford",3643,24553,46.0%,10,53333,2021-10-22
"22","Little River",530,3242,30.9%,0,10486,2021-10-22
"23","Miller",1408,5386,14.7%,2,36531,2021-10-22
"24","Lafayette",288,2078,35.5%,0,5854,2021-10-22
"25","Columbia",2025,8731,43.2%,6,20211,2021-10-22
"26","Union",2466,12774,39.2%,0,32555,2021-10-22
"27","Ashley",1273,8362,49.8%,5,16780,2021-10-22
"28","Chicot",769,4373,50.4%,20,8680,2021-10-22
"29","Benton",18421,125235,54.2%,53,231247,2021-10-22
"30","Carroll",1893,10924,44.7%,2,24422,2021-10-22
"31","Madison",1016,6203,44.0%,4,14093,2021-10-22
"32","Sebastian",8997,49445,46.0%,18,107538,2021-10-22
"33","Polk",1196,5972,35.0%,1,17073,2021-10-22
"34","Sevier",865,6223,45.2%,0,13767,2021-10-22
"35","Garland",7172,40895,47.3%,20,86444,2021-10-22
"36","Saline",7026,50934,48.9%,48,104254,2021-10-22
"37","Franklin",868,7817,51.4%,0,15200,2021-10-22
"38","Scott",754,4159,47.6%,0,8746,2021-10-22
"39","Logan",1225,8739,47.1%,2,18547,2021-10-22
"40","Yell",1166,8932,49.6%,6,18012,2021-10-22
"41","Montgomery",378,2862,36.1%,1,7929,2021-10-22
"42","Pike",595,3416,36.9%,4,9246,2021-10-22
"43","Hempstead",1568,6258,35.1%,17,17816,2021-10-22
"44","Drew",1251,7841,50.2%,5,15607,2021-10-22
"45","Bradley",788,5439,60.0%,5,9068,2021-10-22
"46","Calhoun",252,1637,36.0%,1,4546,2021-10-22
"47","Ouachita",1462,11044,55.2%,3,20023,2021-10-22
"48","Nevada",848,2791,39.6%,2,7050,2021-10-22
"49","Clark",1458,9690,49.8%,3,19472,2021-10-22
"50","Dallas",425,3632,59.8%,2,6069,2021-10-22
"51","Cleveland",600,3714,53.6%,10,6927,2021-10-22
"52","Lincoln",645,3948,33.8%,6,11689,2021-10-22
"53","Arkansas",1359,8628,58.4%,17,14786,2021-10-22
"54","Grant",1197,7184,45.7%,9,15720,2021-10-22
"55","Monroe",672,3200,55.6%,3,5758,2021-10-22
"56","Lee",567,2534,32.6%,1,7777,2021-10-22
"57","Hot Spring",1592,12975,44.1%,9,29427,2021-10-22
"58","St. Francis",1499,8629,40.1%,3,21496,2021-10-22
"59","Crittenden",3640,15592,39.7%,10,39319,2021-10-22
"60","Cross",1206,7493,53.9%,6,13912,2021-10-22
"61","Woodruff",426,3074,56.7%,3,5426,2021-10-22
"62","White",3900,29518,44.1%,9,67007,2021-10-22
"63","Faulkner",7076,55062,51.3%,18,107247,2021-10-22
"64","Conway",1025,9852,55.6%,2,17726,2021-10-22
"65","Newton",457,2176,31.9%,2,6827,2021-10-22
"66","Pope",3043,27611,50.8%,12,54387,2021-10-22
"67","Johnson",1624,10540,47.3%,2,22287,2021-10-22
"68","Van Buren",643,6130,42.1%,1,14547,2021-10-22
"69","Cleburne",1257,9732,44.3%,4,21965,2021-10-22
"70","Poinsett",1931,8788,44.4%,8,19810,2021-10-22
"71","Craighead",9009,43200,47.0%,75,91830,2021-10-22
"72","Sharp",1322,5297,34.9%,1,15166,2021-10-22
"73","Izard",708,4330,35.8%,4,12084,2021-10-22
"74","Fulton",509,3226,29.9%,1,10804,2021-10-22
"75","Stone",542,4046,36.8%,3,10998,2021-10-22
"76","Boone",2341,12264,38.5%,9,31850,2021-10-22
"77","Out of State",12972,26669,Inf,27,0,2021-10-22
