"","week","Weekly_Total_New_Cases","Year","Week_Beginning"
"1",33,11700,"2021",2021-08-16
"2",32,15530,"2021",2021-08-09
"3",31,15841,"2021",2021-08-02
"4",30,13086,"2021",2021-07-26
"5",29,10761,"2021",2021-07-19
"6",28,7404,"2021",2021-07-12
"7",27,7323,"2021",2021-07-05
"8",26,3643,"2021",2021-06-28
"9",25,2339,"2021",2021-06-21
"10",24,1641,"2021",2021-06-14
"11",23,1531,"2021",2021-06-07
"12",22,1082,"2021",2021-05-31
"13",21,1214,"2021",2021-05-24
"14",20,1355,"2021",2021-05-17
"15",19,1272,"2021",2021-05-10
"16",18,1405,"2021",2021-05-03
"17",17,1399,"2021",2021-04-26
"18",16,1254,"2021",2021-04-19
"19",15,1299,"2021",2021-04-12
"20",14,1099,"2021",2021-04-05
"21",13,1125,"2021",2021-03-29
"22",12,1274,"2021",2021-03-22
"23",11,1712,"2021",2021-03-15
"24",10,2125,"2021",2021-03-08
"25",9,2403,"2021",2021-03-01
"26",8,6901,"2021",2021-02-22
"27",7,2486,"2021",2021-02-15
"28",6,6292,"2021",2021-02-08
"29",5,11468,"2021",2021-02-01
"30",4,11202,"2021",2021-01-25
"31",3,12912,"2021",2021-01-18
"32",2,16078,"2021",2021-01-11
"33",53,18598,"2020",2020-12-28
"34",52,13227,"2020",2020-12-21
"35",51,15948,"2020",2020-12-14
"36",50,14778,"2020",2020-12-07
"37",49,14677,"2020",2020-11-30
"38",48,11074,"2020",2020-11-23
"39",47,12133,"2020",2020-11-16
"40",46,11174,"2020",2020-11-09
"41",45,8809,"2020",2020-11-02
"42",44,6942,"2020",2020-10-26
"43",43,7049,"2020",2020-10-19
"44",42,6233,"2020",2020-10-12
"45",41,5820,"2020",2020-10-05
"46",40,5771,"2020",2020-09-28
"47",39,5519,"2020",2020-09-21
"48",38,5504,"2020",2020-09-14
"49",37,4295,"2020",2020-09-07
"50",36,4690,"2020",2020-08-31
"51",35,4282,"2020",2020-08-24
"52",34,3909,"2020",2020-08-17
"53",33,4533,"2020",2020-08-10
"54",32,5573,"2020",2020-08-03
"55",31,5187,"2020",2020-07-27
"56",30,5395,"2020",2020-07-20
"57",29,4861,"2020",2020-07-13
"58",28,4553,"2020",2020-07-06
"59",27,3996,"2020",2020-06-29
"60",26,4257,"2020",2020-06-22
"61",25,3060,"2020",2020-06-15
"62",24,3075,"2020",2020-06-08
"63",23,2173,"2020",2020-06-01
"64",22,1331,"2020",2020-05-25
"65",21,1163,"2020",2020-05-18
"66",20,747,"2020",2020-05-11
"67",19,581,"2020",2020-05-04
"68",18,490,"2020",2020-04-27
"69",17,1160,"2020",2020-04-20
"70",16,501,"2020",2020-04-13
"71",15,450,"2020",2020-04-06
"72",14,404,"2020",2020-03-30
"73",13,42,"2020",2020-03-23
