"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recoveries","Total_Tests","Oran_case_ko_rej_active","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Case_ko_rokaal_rainin","Recovered_Since_Yesterday","Armej_ro_rej_kab_mej_rainin","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Keej_ko_rej_Active_iaan_10K_armej","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:2","Arkansas",2021-11-21,59,NA,NA,3524,36181,3450,39900,13,18124,18124,2436,1088,NA,NA,2385,1065,43,16,7,6,24778,15122,2436,22342,1283,13839,3719,36181,1,0,0,16,19.44,219.07,0.55,7.17,3.86228205694107,8.88,6.25,3509,1.68,98.32,35284,4421
"1:3","Ashley",2021-11-21,50,NA,NA,3215,26084,3155,29428,9,20537,20537,1991,1224,NA,NA,1955,1200,32,18,3,6,23111,6317,1991,21120,1354,4963,3345,26083,0,2,0,10,15.65,142.66,0,4.38,1.46077810780542,10.97,0,3205,1.56,98.44,26146,3153
"1:4","Baxter",2021-11-21,186,NA,NA,6075,39411,5778,45674,109,41219,41219,3780,2295,NA,NA,3580,2199,135,51,64,45,35902,9772,3780,32122,2484,7288,6264,39410,4,4,0,53,14.74,110.35,0.97,26.44,15.5268201557534,13.36,7.55,5964,3.12,96.88,40083,5403
"1:5","Benton",2021-11-21,624,NA,NA,43464,359154,42234,404659,604,258980,258980,30698,12766,NA,NA,29861,12373,475,149,360,244,329452,75207,30698,298754,14824,60383,45522,359137,39,38,0,347,16.78,155.46,1.51,23.32,13.9006873117615,10.8,11.24,42858,1.46,98.54,379280,23338
"1:6","Boone",2021-11-21,130,NA,NA,6375,60391,6165,67043,80,37288,37288,4346,2029,NA,NA,4205,1960,108,22,33,47,47191,19852,4346,42845,2306,17546,6652,60391,2,5,0,39,17.1,179.05,0.54,21.45,8.85003218193521,9.55,5.13,6295,2.07,97.93,62045,4721
"1:7","Bradley",2021-11-21,41,NA,NA,1998,16916,1946,18996,11,10948,10948,1369,629,NA,NA,1335,611,25,16,9,2,10729,8267,1369,9360,711,7556,2080,16916,0,1,0,9,18.25,172.76,0,10.05,8.2206795761783,10.56,0,1987,2.06,97.94,15631,3283
"1:8","Calhoun",2021-11-21,8,NA,NA,600,5313,587,5961,5,5202,5202,427,173,NA,NA,418,169,5,3,4,1,4860,1101,427,4433,224,877,651,5310,0,1,0,5,11.53,113.67,0,9.61,7.68935024990388,10.15,0,595,1.34,98.66,5041,872
"1:9","Carroll",2021-11-21,75,NA,NA,4369,35622,4257,40165,37,27887,27887,3407,962,NA,NA,3325,932,65,10,17,20,35483,4682,3407,32076,1136,3546,4543,35622,4,4,0,38,15.67,143.4,1.43,13.27,6.09603040843404,10.92,10.53,4332,1.73,98.27,34451,5540
"1:10","Chicot",2021-11-21,47,NA,NA,2033,26747,1979,28847,7,10826,10826,1716,317,NA,NA,1667,312,44,3,5,2,16215,12632,1716,14499,384,12248,2100,26747,1,0,0,5,18.78,265.84,0.92,6.47,4.61851099205616,7.06,20,2026,2.32,97.68,25624,3156
"1:11","Clark",2021-11-21,60,NA,NA,3341,45145,3239,48605,40,22385,22385,2766,575,NA,NA,2676,564,51,9,38,2,32627,15978,2766,29861,694,15284,3460,45145,6,7,0,31,14.93,216.6,2.68,17.87,16.9756533392897,6.89,19.35,3299,1.82,98.18,45142,3344
"1:12","Clay",2021-11-21,74,NA,NA,2779,28374,2662,31301,42,15061,15061,1992,787,NA,NA,1920,742,48,26,23,19,20186,11115,1992,18194,935,10180,2927,28374,2,3,0,9,18.45,206.85,1.33,27.89,15.2712303299914,8.92,22.22,2736,2.7,97.3,29084,2069
"1:13","Cleburne",2021-11-21,94,NA,NA,3896,36569,3717,40670,81,25230,25230,2600,1296,NA,NA,2484,1233,67,27,45,36,28661,12009,2600,26061,1503,10506,4103,36567,2,3,0,17,15.44,160.38,0.79,32.1,17.8359096313912,9.63,11.76,3811,2.47,97.53,38511,1954
"1:14","Cleveland",2021-11-21,33,NA,NA,1435,14440,1398,15940,4,8226,8226,782,653,NA,NA,757,641,22,11,3,1,10067,5873,782,9285,718,5155,1500,14440,0,0,0,1,17.44,192.99,0,4.86,3.64697301239971,9.04,0,1431,2.31,97.69,10758,5117
"1:15","Columbia",2021-11-21,74,NA,NA,3409,31069,3321,34736,14,23892,23892,1882,1527,NA,NA,1833,1488,41,33,8,6,20568,14168,1882,18686,1786,12382,3668,31068,-2,0,0,9,14.27,144.31,-0.84,5.86,3.34840113845639,9.89,-22.22,3395,2.18,97.82,30107,4371
"1:16","Conway",2021-11-21,46,NA,NA,3216,32101,3131,35437,38,20906,20906,2494,722,NA,NA,2425,706,38,8,30,8,25864,9573,2494,23370,842,8731,3336,32101,2,0,0,31,15.38,168.93,0.96,18.18,14.3499473835263,9.11,6.45,3177,1.45,98.55,29640,5677
"1:17","Craighead",2021-11-21,248,NA,NA,21986,195514,21481,218595,255,105701,105701,17380,4606,NA,NA,16978,4504,221,27,180,75,170254,48341,17380,152874,5702,42639,23082,195513,13,22,0,285,20.8,205.77,1.23,24.12,17.0291671791185,10.11,4.56,21729,1.14,98.86,206451,11049
"1:18","Crawford",2021-11-21,179,NA,NA,10981,99937,10696,111235,101,62472,62472,8529,2452,NA,NA,8313,2385,151,28,63,38,93790,17445,8529,85261,2769,14676,11298,99937,4,4,0,53,17.58,177.55,0.64,16.17,10.0845178640031,9.9,7.55,10875,1.65,98.35,102814,8104
"1:19","Crittenden",2021-11-21,180,NA,NA,8949,71247,8681,80648,85,49013,49013,8165,784,NA,NA,7936,745,153,27,73,12,71310,9338,8165,63145,1236,8102,9401,71247,2,4,0,95,18.26,163.62,0.41,17.34,14.8940077122396,11.16,2.11,8861,2.03,97.97,72466,7730
"1:20","Cross",2021-11-21,66,NA,NA,3028,23951,2939,27104,23,16998,16998,2069,959,NA,NA,1999,940,58,8,12,11,23153,3951,2069,21084,1093,2858,3162,23942,0,2,1,19,17.81,158.72,0,13.53,7.05965407695023,11.22,0,3005,2.2,97.8,25054,1925
"1:21","Dallas",2021-11-21,19,NA,NA,1142,11977,1121,13123,2,7432,7432,974,168,NA,NA,957,164,15,4,2,0,10725,2398,974,9751,206,2192,1180,11943,0,0,0,6,15.37,176.52,0,2.69,2.69106566200215,8.7,0,1140,1.67,98.33,11502,1617
"1:22","Desha",2021-11-21,33,NA,NA,1934,17220,1887,19271,13,11887,11887,1393,541,NA,NA,1362,525,26,7,4,9,13836,5435,1393,12443,658,4777,2051,17220,1,0,0,5,16.27,161.13,0.84,10.94,3.36502061075124,10.1,20,1920,1.72,98.28,16595,2559
"1:23","Drew",2021-11-21,55,NA,NA,2942,30305,2856,33369,29,18502,18502,2038,904,NA,NA,1989,868,40,15,8,21,22817,10552,2038,20779,1030,9522,3068,30301,1,2,0,12,15.9,179.69,0.54,15.67,4.32385688033726,8.85,8.33,2911,1.89,98.11,29989,3258
"1:24","Faulkner",2021-11-21,227,NA,NA,20077,195646,19513,216813,334,122416,122416,14411,5666,NA,NA,14004,5510,189,38,216,118,173974,42839,14411,159563,6757,36082,21168,195645,14,21,0,205,16.4,176.22,1.14,27.28,17.6447523199582,9.31,6.83,19740,1.15,98.85,184194,31529
"1:25","Franklin",2021-11-21,55,NA,NA,2787,31122,2695,34043,35,17780,17780,1810,977,NA,NA,1754,942,39,16,16,19,26159,7884,1810,24349,1111,6773,2921,31122,3,2,0,16,15.67,190.71,1.69,19.69,8.99887514060742,8.22,18.75,2750,2,98,29593,4316
"1:26","Fulton",2021-11-21,67,NA,NA,1838,12359,1687,14299,84,12139,12139,1211,627,NA,NA,1129,558,36,31,46,38,9547,4752,1211,8336,729,4023,1940,12359,2,7,0,9,15.14,116.95,1.65,69.2,37.8943899827004,12.95,22.22,1754,3.82,96.18,12504,1693
"1:27","Garland",2021-11-21,399,NA,NA,16146,147796,15653,164524,92,98296,98296,13105,3041,NA,NA,12724,2929,315,84,64,28,128661,35863,13105,115556,3625,32238,16730,147794,7,8,0,89,16.43,166.78,0.71,9.36,6.51094652885163,9.85,7.87,16052,2.49,97.51,134342,29600
"1:28","Grant",2021-11-21,50,NA,NA,2900,24372,2835,27403,15,18086,18086,1932,968,NA,NA,1882,953,42,8,8,7,19165,8238,1932,17233,1099,7139,3031,24372,1,1,0,13,16.03,150.79,0.55,8.29,4.42331084816986,10.63,7.69,2885,1.73,98.27,23038,4234
"1:29","Greene",2021-11-21,124,NA,NA,10310,84785,10066,95642,119,44623,44623,7396,2914,NA,NA,7216,2851,104,20,76,43,75296,20346,7396,67900,3461,16885,10857,84785,6,5,0,142,23.1,213.11,1.34,26.67,17.0315756448468,10.84,4.23,10190,1.22,98.78,87118,7977
"1:30","Hempstead",2021-11-21,41,NA,NA,2997,28344,2936,31479,20,22018,22018,2082,915,NA,NA,2043,893,25,16,14,6,25579,5900,2082,23497,1053,4847,3135,28344,0,2,0,6,13.61,142.34,0,9.08,6.35843400853847,9.56,0,2977,1.38,98.62,26913,4428
"1:31","Hot Spring",2021-11-21,107,NA,NA,7741,94654,7578,102598,53,33520,33520,6664,1077,NA,NA,6532,1046,88,19,41,12,69407,33191,6664,62743,1282,31909,7946,94652,2,2,0,76,23.09,305.47,0.6,15.81,12.2315035799523,7.56,2.63,7685,1.39,98.61,70797,31598
"1:32","Howard",2021-11-21,38,NA,NA,2512,20570,2444,23214,30,13389,13389,1610,902,NA,NA,1564,880,30,8,16,14,16213,7001,1610,14603,1034,5967,2644,20570,0,1,0,8,18.76,172.4,0,22.41,11.9501082978564,10.88,0,2482,1.53,98.47,20082,3000
"1:33","Independence",2021-11-21,160,NA,NA,6734,78690,6335,85829,239,37264,37264,3790,2944,NA,NA,3561,2774,115,45,114,125,49871,35958,3790,46081,3353,32605,7143,78686,13,17,0,175,18.07,229.24,3.49,64.14,30.5925289823959,7.88,7.43,6495,2.46,97.54,80068,5356
"1:34","Izard",2021-11-21,55,NA,NA,2668,29892,2526,32750,87,13559,13559,1802,866,NA,NA,1722,804,40,15,40,47,18141,14609,1802,16339,1056,13553,2858,29892,2,5,0,11,19.68,240.14,1.48,64.16,29.5007006416402,8.19,18.18,2581,2.13,97.87,28105,4455
"1:35","Jackson",2021-11-21,46,NA,NA,4501,43680,4348,48496,106,17225,17225,2960,1541,NA,NA,2872,1477,27,19,61,45,30641,17855,2960,27681,1858,15997,4818,43678,6,6,0,30,26.13,279.72,3.48,61.54,35.4136429608128,9.34,20,4394,1.05,98.95,31622,16559
"1:36","Jefferson",2021-11-21,227,NA,NA,12426,142484,12145,155679,45,70424,70424,8398,4028,NA,NA,8208,3939,163,64,20,25,104647,51032,8398,96249,4798,46234,13196,142483,3,3,0,29,17.64,219.97,0.43,6.39,2.83994092922867,8.02,10.34,12372,1.83,98.17,100362,54548
"1:37","Johnson",2021-11-21,58,NA,NA,4661,40791,4587,45604,16,26291,26291,3568,1093,NA,NA,3511,1076,48,10,9,7,38907,6697,3568,35339,1245,5452,4813,40791,2,0,0,12,17.73,172.88,0.76,6.09,3.42322467764634,10.25,16.67,4645,1.25,98.75,37689,7763
"1:38","Lafayette",2021-11-21,28,NA,NA,861,6371,825,7280,7,6915,6915,535,326,NA,NA,513,313,18,10,4,3,5414,1866,535,4879,374,1492,909,6371,0,0,0,1,12.45,104.58,0,10.12,5.78452639190166,11.91,0,853,3.28,96.72,5390,1842
"1:39","Lawrence",2021-11-21,60,NA,NA,3456,28468,3300,32123,96,16669,16669,2526,930,NA,NA,2412,888,53,7,61,35,25144,6979,2526,22618,1129,5850,3655,28468,4,7,0,114,20.73,191.52,2.4,57.59,36.5948767172596,10.83,3.51,3360,1.79,98.21,29366,2558
"1:40","Lee",2021-11-21,52,NA,NA,2159,25898,2100,28116,6,9398,9398,1929,230,NA,NA,1874,226,50,2,4,2,17071,11045,1929,15142,289,10756,2218,25898,0,0,0,10,22.97,298.54,0,6.38,4.25622472866567,7.7,0,2152,2.42,97.58,21413,6644
"1:41","Lincoln",2021-11-21,57,NA,NA,3667,43678,3605,47464,5,13695,13695,3038,629,NA,NA,2997,608,40,17,1,4,22384,25080,3038,19346,748,24332,3786,43678,0,0,0,3,26.78,345.71,0,3.65,0.730193501277839,7.75,0,3662,1.56,98.44,35180,12165
"1:42","Little River",2021-11-21,80,NA,NA,2117,15575,2020,17784,17,12417,12417,1401,716,NA,NA,1327,693,66,14,8,9,12606,5178,1401,11205,808,4370,2209,15575,0,1,0,7,17.05,142.48,0,13.69,6.44278005959572,11.97,0,2100,3.81,96.19,16121,1571
"1:43","Logan",2021-11-21,50,NA,NA,3715,46028,3610,49898,51,21757,21757,2246,1469,NA,NA,2198,1415,30,20,18,33,30563,19335,2246,28317,1624,17711,3870,46028,1,2,0,15,17.07,228.63,0.46,23.44,8.27319943006848,7.47,6.67,3660,1.37,98.63,44487,5256
"1:44","Lonoke",2021-11-21,176,NA,NA,12259,103992,11907,116992,168,72206,72206,7724,4535,NA,NA,7474,4434,143,33,101,67,89365,27627,7724,81641,5278,22349,13002,103990,7,7,0,70,16.98,161,0.97,23.27,13.98775725009,10.55,10,12083,1.46,98.54,93935,22316
