"","County_Name","Date","Keej_ko_rej_active","Oran_Case_ko_rej_Positive","Oran_rimej_ro","Percent_in_Aolepen_Oran","Case_ko_rōkāāl_rainin","Keej_ko_rej_Active_iaan_10K_armej"
"1","Arkansas_all_counties",2020-09-01,5036,61497,814,8.41,273,0
"2","Arkansas_county",2020-09-01,22,284,3,6.54,1,NA
"3","Ashley",2020-09-01,16,388,7,8.73,0,NA
"4","Baxter",2020-09-01,26,139,0,4.99,1,NA
"5","Benton",2020-09-01,241,5394,54,8.52,30,NA
"6","Boone",2020-09-01,107,369,3,5.37,4,NA
"7","Bradley",2020-09-01,39,295,6,8.95,0,NA
"8","Calhoun",2020-09-01,2,24,0,1.89,0,NA
"9","Carroll",2020-09-01,38,470,7,7.76,1,NA
"10","Chicot",2020-09-01,25,962,11,18.61,0,NA
"11","Clark",2020-09-01,30,236,3,4.8,3,NA
"12","Clay",2020-09-01,29,182,5,5.72,0,NA
"13","Cleburne",2020-09-01,19,259,7,5.58,0,NA
"14","Cleveland",2020-09-01,9,137,4,6.94,1,NA
"15","Columbia",2020-09-01,26,297,15,7.62,2,NA
"16","Conway",2020-09-01,24,210,3,4.26,4,NA
"17","Craighead",2020-09-01,245,1881,15,7.38,12,NA
"18","Crawford",2020-09-01,118,931,9,6.36,10,NA
"19","Crittenden",2020-09-01,59,1648,34,12.35,5,NA
"20","Cross",2020-09-01,39,280,5,7.89,1,NA
"21","Dallas",2020-09-01,49,127,2,8.02,0,NA
"22","Desha",2020-09-01,25,243,5,7.6,0,NA
"23","Drew",2020-09-01,23,305,5,6.29,1,NA
"24","Faulkner",2020-09-01,183,1703,9,5.93,10,NA
"25","Franklin",2020-09-01,18,168,2,3.94,2,NA
"26","Fulton",2020-09-01,15,71,0,7.4,1,NA
"27","Garland",2020-09-01,133,1434,29,6.35,6,NA
"28","Grant",2020-09-01,25,191,1,5.16,-1,NA
"29","Greene",2020-09-01,57,635,4,6.26,1,NA
"30","Hempstead",2020-09-01,20,330,3,8.72,0,NA
"31","HotSpring",2020-09-01,37,1719,21,16.95,2,NA
"32","Howard",2020-09-01,32,425,5,11.86,0,NA
"33","Independence",2020-09-01,85,770,6,8.95,5,NA
"34","Izard",2020-09-01,25,105,0,3.65,3,NA
"35","Jackson",2020-09-01,28,184,1,3.85,1,NA
"36","Jefferson",2020-09-01,289,2112,50,9.14,8,NA
"37","Johnson",2020-09-01,16,765,4,11.99,0,NA
"38","Lafayette",2020-09-01,5,70,2,8.14,2,NA
"39","Lawrence",2020-09-01,14,250,10,8.43,1,NA
"40","Lee",2020-09-01,19,1004,11,23.35,1,NA
"41","Lincoln",2020-09-01,229,1608,13,23.37,4,NA
"42","LittleRiver",2020-09-01,16,284,15,16.4,3,NA
"43","Logan",2020-09-01,26,365,1,6.46,0,NA
"44","Lonoke",2020-09-01,101,728,4,5.42,2,NA
"45","Madison",2020-09-01,6,296,2,8.05,0,NA
"46","Marion",2020-09-01,7,46,0,2.66,1,NA
"47","Miller",2020-09-01,37,612,9,10.68,10,NA
"48","MissingCountyInfo",2020-09-01,175,897,0,4.98,-7,NA
"49","Mississippi",2020-09-01,88,1352,22,12.55,3,NA
"50","Monroe",2020-09-01,8,95,0,5.05,1,NA
"51","Montgomery",2020-09-01,41,104,3,7.28,3,NA
"52","Nevada",2020-09-01,12,162,12,6.86,0,NA
"53","Newton",2020-09-01,11,120,15,8.91,0,NA
"54","Ouachita",2020-09-01,29,158,4,3.62,0,NA
"55","Perry",2020-09-01,3,63,1,2.93,0,NA
"56","Phillips",2020-09-01,26,407,10,7.4,2,NA
"57","Pike",2020-09-01,10,177,1,9.22,1,NA
"58","Poinsett",2020-09-01,97,489,6,8.17,0,NA
"59","Polk",2020-09-01,15,225,3,6.74,1,NA
"60","Pope",2020-09-01,149,1776,16,9.94,2,NA
"61","Prairie",2020-09-01,2,115,0,6.92,0,NA
"62","Pulaski",2020-09-01,621,7121,109,7.05,49,NA
"63","Randolph",2020-09-01,12,311,12,7.9,0,NA
"64","Saline",2020-09-01,199,1591,13,7.35,15,NA
"65","Scott",2020-09-01,3,86,0,5.61,0,NA
"66","Searcy",2020-09-01,53,101,0,6.26,1,NA
"67","Sebastian",2020-09-01,254,2900,34,8.37,23,NA
"68","Sevier",2020-09-01,22,1159,12,17.24,2,NA
"69","Sharp",2020-09-01,16,149,5,5.03,0,NA
"70","St.Francis",2020-09-01,89,1348,4,12.08,3,NA
"71","Stone",2020-09-01,43,196,3,7.65,3,NA
"72","Union",2020-09-01,73,692,20,9.03,1,NA
"73","VanBuren",2020-09-01,32,120,2,4.09,2,NA
"74","Washington",2020-09-01,212,6921,68,10.65,21,NA
"75","White",2020-09-01,73,533,11,5.02,5,NA
"76","Woodruff",2020-09-01,1,27,0,2.01,0,NA
"77","Yell",2020-09-01,33,1166,23,13.35,4,NA
"78","Arkansas_all_counties",2020-09-02,5010,62490,841,8.42,615,0
"79","Arkansas_county",2020-09-02,22,286,3,6.54,2,NA
