"","V1","Date","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Cases_45_54","Cases_55_64","Cases_65","Cases_Unknown","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Deaths_45_54","Deaths_55_64","Deaths_65","Deaths_Unknown","Cases_0_17","Cases_25_44","Cases_45_64","Deaths_0_17","Deaths_25_44","Deaths_45_64","New_Cases_0_10","New_Cases_11_17","New_Cases_18_24","New_Cases_25_34","New_Cases_35_44","New_Cases_45_54","New_Cases_55_64","New_Cases_65","New_Deaths_0_10","New_Deaths_11_17","New_Deaths_18_24","New_Deaths_25_34","New_Deaths_35_44","New_Deaths_45_54","New_Deaths_55_64","New_Deaths_65","New_Cases_0_17","New_Cases_25_44","New_Cases_45_64","New_Deaths_0_17","New_Deaths_25_44","New_Deaths_45_64"
"2",NA,"2021-10-06",39897,46521,62959,81858,76017,67447,58187,67000,NA,NA,NA,21,93,221,477,1139,5827,NA,NA,NA,NA,3,NA,NA,124,112,76,137,132,110,85,106,NA,NA,0,0,0,0,2,4,NA,NA,NA,0,NA,NA
"1:1","2","2021-10-05",39773,46409,62883,81721,75885,67337,58102,66894,NA,NA,NA,21,93,221,477,1137,5823,NA,NA,NA,NA,3,NA,NA,118,91,65,114,99,77,92,91,NA,NA,0,0,7,0,7,9,NA,NA,NA,0,NA,NA
"1:2","1:1","2021-10-04",39655,46318,62818,81607,75786,67260,58010,66803,NA,NA,NA,21,93,214,477,1130,5814,NA,NA,NA,NA,3,NA,NA,28,19,21,20,30,27,21,29,NA,NA,0,2,0,2,2,6,NA,NA,NA,0,NA,NA
"1:3","1:2","2021-10-03",39627,46299,62797,81587,75756,67233,57989,66774,NA,NA,NA,21,91,214,475,1128,5808,NA,NA,NA,NA,3,NA,NA,77,32,51,81,89,46,53,57,NA,NA,0,1,1,0,0,14,NA,NA,NA,0,NA,NA
"1:4","1:3","2021-10-02",39550,46267,62746,81506,75667,67187,57936,66717,NA,NA,NA,21,90,213,475,1128,5794,NA,NA,NA,NA,3,NA,NA,84,97,53,92,95,53,75,93,NA,NA,1,0,0,0,0,5,NA,NA,NA,0,NA,NA
"1:5","1:4","2021-10-01",39466,46170,62693,81414,75572,67134,57861,66624,NA,NA,NA,20,90,213,475,1128,5789,NA,NA,NA,NA,3,NA,NA,-74,114,120,176,164,124,124,109,NA,NA,0,1,0,3,10,13,NA,NA,NA,0,NA,NA
"1:6","1:5","2021-09-30",39540,46056,62573,81238,75408,67010,57737,66515,NA,NA,NA,20,89,213,472,1118,5776,NA,NA,NA,NA,3,NA,NA,331,128,74,134,101,73,72,91,NA,NA,0,1,0,5,7,8,NA,NA,NA,0,NA,NA
"1:7","1:6","2021-09-29",39209,45928,62499,81104,75307,66937,57665,66424,NA,NA,NA,20,88,213,467,1111,5768,NA,NA,NA,NA,3,NA,NA,102,186,117,168,180,143,124,133,NA,NA,0,1,4,2,4,8,NA,NA,NA,0,NA,NA
"1:8","1:7","2021-09-28",39107,45742,62382,80936,75127,66794,57541,66291,NA,NA,NA,20,87,209,465,1107,5760,NA,NA,NA,NA,3,NA,NA,171,75,91,95,105,84,69,110,NA,NA,0,0,3,2,5,11,NA,NA,NA,0,NA,NA
"1:9","1:8","2021-09-27",38936,45667,62291,80841,75022,66710,57472,66181,NA,NA,NA,20,87,206,463,1102,5749,NA,NA,NA,NA,3,NA,NA,57,54,48,69,72,62,48,60,NA,NA,0,0,5,5,9,21,NA,NA,NA,0,NA,NA
"1:10","1:9","2021-09-26",38879,45613,62243,80772,74950,66648,57424,66121,NA,NA,NA,20,87,201,458,1093,5728,NA,NA,NA,NA,3,NA,NA,49,52,51,71,69,50,36,39,NA,NA,0,0,1,0,5,9,NA,NA,NA,0,NA,NA
"1:11","1:10","2021-09-25",38830,45561,62192,80701,74881,66598,57388,66082,NA,NA,NA,20,87,200,458,1088,5719,NA,NA,NA,NA,3,NA,NA,138,142,92,126,156,109,97,152,NA,NA,0,0,1,2,2,9,NA,NA,NA,0,NA,NA
"1:12","1:11","2021-09-24",38692,45419,62100,80575,74725,66489,57291,65930,NA,NA,NA,20,87,199,456,1086,5710,NA,NA,NA,NA,3,NA,NA,204,167,145,213,193,150,124,169,NA,NA,0,1,0,3,2,7,NA,NA,NA,0,NA,NA
"1:13","1:12","2021-09-23",38488,45252,61955,80362,74532,66339,57167,65761,NA,NA,NA,20,86,199,453,1084,5703,NA,NA,NA,NA,3,NA,NA,217,218,174,219,206,169,161,176,NA,NA,0,1,1,5,1,12,NA,NA,NA,0,NA,NA
"1:14","1:13","2021-09-22",38271,45034,61781,80143,74326,66170,57006,65585,NA,NA,NA,20,85,198,448,1083,5691,NA,NA,NA,NA,3,NA,NA,207,225,126,207,176,160,152,210,NA,NA,0,1,0,1,11,16,NA,NA,NA,0,NA,NA
"1:15","1:14","2021-09-21",38064,44809,61655,79936,74150,66010,56854,65375,NA,NA,NA,20,84,198,447,1072,5675,NA,NA,NA,NA,3,NA,NA,196,195,163,189,187,165,116,190,NA,NA,0,1,1,3,5,7,NA,NA,NA,0,NA,NA
"1:16","1:15","2021-09-20",37868,44614,61492,79747,73963,65845,56738,65185,NA,NA,NA,20,83,197,444,1067,5668,NA,NA,NA,NA,3,NA,NA,33,28,48,68,55,62,48,54,NA,NA,0,2,6,4,7,18,NA,NA,NA,0,NA,NA
"1:17","1:16","2021-09-19",37835,44586,61444,79679,73908,65783,56690,65131,NA,NA,NA,20,81,191,440,1060,5650,NA,NA,NA,NA,3,NA,NA,97,74,86,121,114,90,71,86,NA,NA,0,1,1,1,1,7,NA,NA,NA,0,NA,NA
"1:18","1:17","2021-09-18",37738,44512,61358,79558,73794,65693,56619,65045,NA,NA,NA,20,80,190,439,1059,5643,NA,NA,NA,NA,3,NA,NA,126,212,209,251,221,200,159,196,NA,NA,0,1,0,2,3,16,NA,NA,NA,0,NA,NA
"1:19","1:18","2021-09-17",37612,44300,61149,79307,73573,65493,56460,64849,NA,NA,NA,20,79,190,437,1056,5627,NA,NA,NA,NA,3,NA,NA,240,270,178,279,273,189,172,208,NA,NA,0,1,1,1,3,11,NA,NA,NA,0,NA,NA
"1:20","1:19","2021-09-16",37372,44030,60971,79028,73300,65304,56288,64641,NA,NA,NA,20,78,189,436,1053,5616,NA,NA,NA,NA,3,NA,NA,292,193,247,272,241,189,181,209,NA,NA,0,1,0,5,9,18,NA,NA,NA,0,NA,NA
