"","V1","Date","Cases_Male","Cases_Female","Cases_Gender_Unknown","New_Cases_Male","New_Cases_Female","New_Cases_Gender_Unknown"
"1","1",2021-07-19,170243,191522,3367,1204,1293,55
"2","2",2021-07-16,169039,190229,3312,1069,1230,23
"3","3",2021-07-15,167970,188999,3289,591,625,93
"4","4",2021-07-14,NA,NA,NA,NA,NA,NA
"5","4",2021-07-13,167379,188374,3196,2200,2444,0
"6","5",2021-07-12,NA,NA,NA,NA,NA,NA
"7","6",2021-07-09,NA,NA,NA,NA,NA,NA
"8","2:01",2021-07-08,165179,185930,3196,562,613,35
"9","2:02",2021-07-07,164617,185317,3161,486,501,13
"10","2:03",2021-07-06,164131,184816,3148,108,142,20
"11","2:04",2021-07-05,164023,184674,3128,574,670,2
"12","2:05",2021-07-02,163449,184004,3126,218,284,-8
"13","2:06",2021-07-01,163231,183720,3134,1677,1761,78
"14","2:07",2021-06-23,161554,181959,3056,170,199,20
"15","2:08",2021-06-22,161384,181760,3036,203,275,7
"16","2:09",2021-06-21,161181,181485,3029,38,65,-13
"17","2:10",2021-06-20,161143,181420,3042,72,62,-1
"18","2:11",2021-06-19,161071,181358,3043,100,134,17
"19","2:12",2021-06-18,160971,181224,3026,127,145,4
"20","2:13",2021-06-17,160844,181079,3022,111,162,15
"21","2:14",2021-06-16,160733,180917,3007,147,136,5
"22","2:15",2021-06-15,160586,180781,3002,119,168,15
"23","2:16",2021-06-14,160467,180613,2987,46,62,-5
"24","2:17",2021-06-13,160421,180551,2992,51,39,1
"25","2:18",2021-06-12,160370,180512,2991,140,125,-1
"26","2:19",2021-06-11,160230,180387,2992,170,203,20
"27","2:20",2021-06-10,160060,180184,2972,129,155,5
"28","2:21",2021-06-09,159931,180029,2967,102,96,3
"29","2:22",2021-06-08,159829,179933,2964,104,121,6
"30","2:23",2021-06-07,159725,179812,2958,65,87,-2
"31","2:24",2021-06-06,159660,179725,2960,0,0,0
"32","2:25",2021-06-05,159660,179725,2960,87,113,3
"33","2:26",2021-06-04,159573,179612,2957,115,145,-7
"34","2:27",2021-06-03,159458,179467,2964,85,93,19
"35","2:28",2021-06-02,159373,179374,2945,104,131,7
"36","2:29",2021-06-01,159269,179243,2938,35,35,-1
"37","2:30",2021-05-31,159234,179208,2939,17,14,-1
"38","2:31",2021-05-30,159217,179194,2940,26,49,-14
"39","2:32",2021-05-29,159191,179145,2954,69,77,14
"40","2:33",2021-05-28,159122,179068,2940,82,130,2
"41","2:34",2021-05-27,159040,178938,2938,116,104,-2
"42","2:35",2021-05-26,158924,178834,2940,101,80,2
"43","2:36",2021-05-25,158823,178754,2938,132,140,57
"44","2:37",2021-05-24,158691,178614,2881,25,31,-7
"45","2:38",2021-05-23,158666,178583,2888,47,44,6
"46","2:39",2021-05-22,158619,178539,2882,92,95,-10
"47","2:40",2021-05-21,158527,178444,2892,91,110,0
"48","2:41",2021-05-20,158436,178334,2892,89,142,25
"49","2:42",2021-05-19,158347,178192,2867,105,132,7
"50","2:43",2021-05-18,158242,178060,2860,138,155,20
"51","2:44",2021-05-17,158104,177905,2840,35,37,-5
"52","2:45",2021-05-16,158069,177868,2845,48,55,-8
"53","2:46",2021-05-15,158021,177813,2853,92,105,5
"54","2:47",2021-05-14,157929,177708,2848,109,129,12
"55","2:48",2021-05-13,157820,177579,2836,94,112,-14
"56","2:49",2021-05-12,157726,177467,2850,110,119,-5
"57","2:50",2021-05-11,157616,177348,2855,109,119,5
"58","2:51",2021-05-10,157507,177229,2850,36,46,-6
"59","2:52",2021-05-09,157471,177183,2856,45,45,5
"60","2:53",2021-05-08,157426,177138,2851,110,130,5
"61","2:54",2021-05-07,157316,177008,2846,99,118,5
"62","2:55",2021-05-06,157217,176890,2841,102,92,-6
"63","2:56",2021-05-05,157115,176798,2847,180,103,15
"64","2:57",2021-05-04,156935,176695,2832,124,154,18
"65","2:58",2021-05-03,156811,176541,2814,27,43,-9
"66","2:59",2021-05-02,156784,176498,2823,67,69,1
"67","0.125",2021-05-01,156717,176429,2822,119,111,13
