"","V1","date","confirmed_active","active_cases","Hospitalized","Vent","Hosp_Change_from_Yesterday","Pct_Vent","Pct_Hospitalized"
"1","1.2",2021-07-20,7621,11475,815,131,28,16.07,7.1
"2","2:01",2021-07-19,6915,10505,787,129,106,16.39,7.49
"3","2:02",2021-07-16,6238,9750,681,119,12,17.47,6.98
"4","2:03",2021-07-15,5895,9079,669,119,22,17.79,7.37
"5","2:04",2021-07-14,5721,8804,647,103,41,15.92,7.35
"6","2:05",2021-07-13,5259,8134,606,98,41,16.17,7.45
"7","2:06",2021-07-12,4861,7255,565,94,68,16.64,7.79
"8","2:07",2021-07-09,4138,6605,497,81,16,16.3,7.52
"9","2:08",2021-07-08,3685,5932,481,82,49,17.05,8.11
"10","2:09",2021-07-07,3395,5192,432,80,16,18.52,8.32
"11","2:10",2021-07-06,3118,4645,416,76,55,18.27,8.96
"12","2:11",2021-07-05,3172,4752,361,70,23,19.39,7.6
"13","2:12",2021-07-02,2851,4398,338,71,1,21.01,7.69
"14","2:13",2021-07-01,2676,4199,337,75,12,22.26,8.03
"15","2:14",2021-06-30,2382,3763,325,75,19,23.08,8.64
"16","2:15",2021-06-29,2197,3365,306,69,-8,22.55,9.09
"17","2:16",2021-06-28,2077,3169,314,63,23,20.06,9.91
"18","2:17",2021-06-25,1883,2911,291,67,9,23.02,10
"19","2:18",2021-06-24,1850,2850,282,70,3,24.82,9.89
"20","2:19",2021-06-23,1767,2721,279,67,-6,24.01,10.25
"21","2:20",2021-06-22,1669,2570,285,64,4,22.46,11.09
"22","2:21",2021-06-21,1632,2319,281,63,20,22.42,12.12
"23","2:22",2021-06-20,1693,2464,261,64,17,24.52,10.59
"24","2:23",2021-06-19,1667,2489,244,63,9,25.82,9.8
"25","2:24",2021-06-18,1601,2414,235,58,16,24.68,9.73
"26","2:25",2021-06-17,1518,2334,219,56,8,25.57,9.38
"27","2:26",2021-06-16,1434,2251,211,50,7,23.7,9.37
"28","2:27",2021-06-15,1361,2144,204,47,1,23.04,9.51
"29","2:28",2021-06-14,1349,2035,203,48,-3,23.65,9.98
"30","2:29",2021-06-13,1367,2077,206,40,9,19.42,9.92
"31","2:30",2021-06-12,1360,2112,197,42,-5,21.32,9.33
"32","2:31",2021-06-11,1282,1985,202,42,-6,20.79,10.18
"33","2:32",2021-06-10,1203,1769,208,39,-8,18.75,11.76
"34","2:33",2021-06-09,1093,1659,216,40,12,18.52,13.02
"35","2:34",2021-06-08,1107,1656,204,37,29,18.14,12.32
"36","2:35",2021-06-07,1110,1594,175,33,-12,18.86,10.98
"37","2:36",2021-06-06,1181,1707,187,33,-7,17.65,10.95
"38","2:37",2021-06-05,1197,1781,194,35,16,18.04,10.89
"39","2:38",2021-06-04,1151,1746,178,36,-2,20.22,10.19
"40","2:39",2021-06-03,1113,1673,180,38,-10,21.11,10.76
"41","2:40",2021-06-02,1099,1658,190,37,-11,19.47,11.46
"42","2:41",2021-06-01,1098,1596,201,38,1,18.91,12.59
"43","2:42",2021-05-31,1198,1721,200,38,6,19,11.62
"44","2:43",2021-05-30,1341,1938,194,34,-1,17.53,10.01
"45","2:44",2021-05-29,1381,2009,195,31,-6,15.9,9.71
"46","2:45",2021-05-28,1390,2016,201,33,-2,16.42,9.97
"47","2:46",2021-05-27,1402,2008,203,31,14,15.27,10.11
"48","2:47",2021-05-26,1349,1975,189,33,-11,17.46,9.57
"49","2:48",2021-05-25,1374,1990,200,37,5,18.5,10.05
"50","2:49",2021-05-24,1343,1894,195,39,-1,20,10.3
"51","2:50",2021-05-23,1410,2037,196,33,9,16.84,9.62
"52","2:51",2021-05-22,1389,2056,187,32,-1,17.11,9.1
"53","2:52",2021-05-21,1368,2056,188,32,-15,17.02,9.14
"54","2:53",2021-05-20,1354,2053,203,32,15,15.76,9.89
"55","2:54",2021-05-19,1293,1999,188,35,0,18.62,9.4
"56","2:55",2021-05-18,1268,1970,188,32,2,17.02,9.54
"57","2:56",2021-05-17,1300,1921,186,31,15,16.67,9.68
"58","2:57",2021-05-16,1367,2058,171,30,5,17.54,8.31
"59","2:58",2021-05-15,1377,2116,166,27,-6,16.27,7.84
"60","2:59",2021-05-14,1345,2069,172,31,-4,18.02,8.31
"61","0.125",2021-05-13,1340,2045,176,35,7,19.89,8.61
"62","0.125694444",2021-05-12,1349,2038,169,42,0,24.85,8.29
"63","0.126388889",2021-05-11,1377,2043,169,44,0,26.04,8.27
"64","0.127083333",2021-05-10,1436,2053,169,41,3,24.26,8.23
"65","0.127777778",2021-05-09,1545,2223,166,36,3,21.69,7.47
