"","County_Name","Partial_Vax","Fully_Vax","Full_Pct","Unk_Dose","Population","Date"
"1","Missing",66126,105184,Inf,76,0,2021-05-23
"2","Howard",509,3546,32.6%,0,10888,2021-05-23
"3","Pulaski",22909,118910,35.9%,16,330989,2021-05-23
"4","Lonoke",3477,18288,29.9%,6,61242,2021-05-23
"5","Prairie",695,1616,23.3%,6,6949,2021-05-23
"6","Desha",783,3480,36.6%,6,9520,2021-05-23
"7","Phillips",844,4526,30.8%,3,14714,2021-05-23
"8","Searcy",228,1813,26.3%,0,6887,2021-05-23
"9","Independence",1733,7297,23.0%,6,31722,2021-05-23
"10","Jackson",723,3870,26.7%,3,14500,2021-05-23
"11","Mississippi",1924,8301,24.6%,3,33683,2021-05-23
"12","Greene",2286,11027,28.9%,5,38118,2021-05-23
"13","Clay",603,4019,32.0%,6,12543,2021-05-23
"14","Randolph",1162,2965,19.6%,1,15146,2021-05-23
"15","Lawrence",984,3951,28.1%,9,14051,2021-05-23
"16","Baxter",2147,10713,28.8%,3,37221,2021-05-23
"17","Marion",622,3255,22.1%,0,14723,2021-05-23
"18","Perry",454,3100,34.8%,3,8917,2021-05-23
"19","Jefferson",6229,13187,23.0%,0,57304,2021-05-23
"20","Washington",18773,66593,33.2%,9,200760,2021-05-23
"21","Crawford",2469,13190,24.7%,6,53333,2021-05-23
"22","Little River",313,2066,19.7%,0,10486,2021-05-23
"23","Miller",676,2913,8.0%,0,36531,2021-05-23
"24","Lafayette",175,1281,21.9%,0,5854,2021-05-23
"25","Columbia",1517,5275,26.1%,4,20211,2021-05-23
"26","Union",1775,7371,22.6%,0,32555,2021-05-23
"27","Ashley",947,5174,30.8%,3,16780,2021-05-23
"28","Chicot",527,2889,33.3%,18,8680,2021-05-23
"29","Benton",21126,75883,32.8%,6,231247,2021-05-23
"30","Carroll",1333,7101,29.1%,6,24422,2021-05-23
"31","Madison",836,3605,25.6%,3,14093,2021-05-23
"32","Sebastian",5408,22697,21.1%,1,107538,2021-05-23
"33","Polk",876,3731,21.9%,1,17073,2021-05-23
"34","Sevier",511,3880,28.2%,0,13767,2021-05-23
"35","Garland",6877,27304,31.6%,6,86444,2021-05-23
"36","Saline",6078,33076,31.7%,24,104254,2021-05-23
"37","Franklin",662,5025,33.1%,0,15200,2021-05-23
"38","Scott",415,2059,23.5%,0,8746,2021-05-23
"39","Logan",875,5391,29.1%,3,18547,2021-05-23
"40","Yell",860,5298,29.4%,0,18012,2021-05-23
"41","Montgomery",256,2121,26.7%,0,7929,2021-05-23
"42","Pike",488,1980,21.4%,3,9246,2021-05-23
"43","Hempstead",886,3390,19.0%,18,17816,2021-05-23
"44","Drew",861,5101,32.7%,0,15607,2021-05-23
"45","Bradley",638,3492,38.5%,0,9068,2021-05-23
"46","Calhoun",123,1047,23.0%,0,4546,2021-05-23
"47","Ouachita",1060,6831,34.1%,6,20023,2021-05-23
"48","Nevada",521,1465,20.8%,105,7050,2021-05-23
"49","Clark",1035,6471,33.2%,0,19472,2021-05-23
"50","Dallas",302,2319,38.2%,0,6069,2021-05-23
"51","Cleveland",372,2430,35.1%,3,6927,2021-05-23
"52","Lincoln",408,2540,21.7%,3,11689,2021-05-23
"53","Arkansas",1007,5528,37.4%,0,14786,2021-05-23
"54","Grant",899,4536,28.9%,0,15720,2021-05-23
"55","Monroe",466,2008,34.9%,3,5758,2021-05-23
"56","Lee",380,1795,23.1%,0,7777,2021-05-23
"57","Hot Spring",1339,8212,27.9%,6,29427,2021-05-23
"58","St. Francis",1001,5576,25.9%,8,21496,2021-05-23
"59","Crittenden",2906,8504,21.6%,0,39319,2021-05-23
"60","Cross",914,4609,33.1%,6,13912,2021-05-23
"61","Woodruff",273,2062,38.0%,3,5426,2021-05-23
"62","White",3405,20112,30.0%,22,67007,2021-05-23
"63","Faulkner",6576,36821,34.3%,3,107247,2021-05-23
"64","Conway",972,6653,37.5%,0,17726,2021-05-23
"65","Newton",435,1382,20.2%,4,6827,2021-05-23
"66","Pope",2980,17237,31.7%,0,54387,2021-05-23
"67","Johnson",1059,6003,26.9%,0,22287,2021-05-23
"68","Van Buren",645,4263,29.3%,0,14547,2021-05-23
"69","Cleburne",1054,6612,30.1%,3,21965,2021-05-23
"70","Poinsett",1510,5235,26.4%,9,19810,2021-05-23
"71","Craighead",7890,26427,28.8%,34,91830,2021-05-23
"72","Sharp",1123,3430,22.6%,4,15166,2021-05-23
"73","Izard",632,2692,22.3%,3,12084,2021-05-23
"74","Fulton",420,1988,18.4%,0,10804,2021-05-23
"75","Stone",381,3027,27.5%,0,10998,2021-05-23
"76","Boone",2030,7823,24.6%,6,31850,2021-05-23
"77","Out of State",5492,13542,Inf,0,0,2021-05-23
