District LEA,District Description,2 or More Races Total,Asian Total,Black Total,Hispanic Total,Native American/Native Alaskan Total,Native Hawaiian/Pacific Islander Total,White Total,Student Total
6040700,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,52,72,298,85,8,3,1127,1645
1701000,ALMA SCHOOL DISTRICT,205,18,47,143,65,2,2770,3250
501000,ALPENA SCHOOL DISTRICT,2,3,3,22,0,0,443,473
6091000,ARK. SCHOOL FOR THE BLIND,5,3,23,4,0,0,50,85
6092000,ARK. SCHOOL FOR THE DEAF,2,5,29,12,0,0,52,100
1002000,ARKADELPHIA SCHOOL DISTRICT,81,21,667,129,0,1,887,1786
440700,ARKANSAS ARTS ACADEMY,94,16,22,220,10,0,842,1204
444700,ARKANSAS CONNECTIONS ACADEMY,176,23,327,212,32,6,2060,2836
6043700,ARKANSAS VIRTUAL ACADEMY,59,45,629,289,46,12,2792,3872
4701000,ARMOREL SCHOOL DISTRICT,0,8,32,29,0,1,336,406
4101000,ASHDOWN SCHOOL DISTRICT,87,2,334,61,7,0,857,1348
5801000,ATKINS SCHOOL DISTRICT,20,0,19,25,0,1,866,931
7401000,AUGUSTA SCHOOL DISTRICT,18,0,179,4,1,0,128,330
7301000,BALD KNOB SCHOOL DISTRICT,55,3,16,67,5,0,1005,1151
5401000,BARTON SCHOOL DISTRICT,8,8,221,21,2,0,436,696
3201000,BATESVILLE SCHOOL DISTRICT,67,42,182,784,10,7,1967,3059
6301000,BAUXITE SCHOOL DISTRICT,25,5,42,66,7,0,1449,1594
1601000,BAY SCHOOL DISTRICT,8,0,26,10,0,0,548,592
5201000,BEARDEN SCHOOL DISTRICT,24,2,189,18,0,0,255,488
7302000,BEEBE SCHOOL DISTRICT,121,10,126,169,13,1,2740,3180
6302000,BENTON SCHOOL DISTRICT,225,51,497,512,14,8,4115,5422
401000,BENTONVILLE SCHOOL DISTRICT,839,1388,562,2095,224,95,12767,17970
502000,BERGMAN SCHOOL DISTRICT,0,1,9,25,13,1,1003,1052
801000,BERRYVILLE SCHOOL DISTRICT,26,33,5,498,7,87,1176,1832
3001000,BISMARCK SCHOOL DISTRICT,9,2,13,61,6,0,846,937
2901000,BLEVINS SCHOOL DISTRICT,15,5,66,66,1,0,305,458
4702000,BLYTHEVILLE SCHOOL DISTRICT,18,8,1403,70,1,0,216,1716
