"","type","name","active_cases","cumulative_faculty_staff_cases","cumulative_student_cases","cumulative_total","date","district","district_lea","district_description","x2_or_more_races_total","asian_total","black_total","hispanic_total","native_american_native_alaskan_total","native_hawaiian_pacific_islander_total","white_total","student_total","Pct_Hispanic","Pct_White","Pct_Black","Student_Covid_Per1000","Active_Covid_Per1000"
"1","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",75,98,703,879,2021-12-07,"bentonville_school_dist",401000,"BENTONVILLE SCHOOL DISTRICT",839,1388,562,2095,224,95,12767,17970,0.12,0.71,0.03,39.12,4.17
"2","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",61,179,802,1147,2021-12-07,"springdale_school_dist",7207000,"SPRINGDALE SCHOOL DISTRICT",392,321,480,10481,113,2997,7098,21882,0.48,0.32,0.02,36.65,2.79
"3","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",56,75,617,833,2021-12-07,"cabot_school_dist",4304000,"CABOT SCHOOL DISTRICT",612,142,269,671,36,19,8422,10171,0.07,0.83,0.03,60.66,5.51
"4","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",38,115,618,851,2021-12-07,"rogers_school_dist",405000,"ROGERS SCHOOL DISTRICT",469,290,234,7332,95,333,6602,15355,0.48,0.43,0.02,40.25,2.47
"5","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",36,39,400,499,2021-12-07,"conway_school_dist",2301000,"CONWAY SCHOOL DISTRICT",460,165,2887,1094,18,5,5220,9849,0.11,0.53,0.29,40.61,3.66
"6","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",35,134,590,818,2021-12-07,"fort_smith_school_dist",6601000,"FORT SMITH SCHOOL DISTRICT",1290,737,1504,4703,124,17,5464,13839,0.34,0.39,0.11,42.63,2.53
"7","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",34,54,413,531,2021-12-07,"little_rock_school_dist",6001000,"LITTLE ROCK SCHOOL DISTRICT",169,691,12557,3247,69,22,3990,20745,0.16,0.19,0.61,19.91,1.64
"8","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",30,34,209,263,2021-12-07,"mountain_home_school_dist",303000,"MOUNTAIN HOME SCHOOL DISTRICT",132,26,12,172,18,9,3512,3881,0.04,0.9,0,53.85,7.73
"9","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",30,30,253,303,2021-12-07,"searcy_school_dist",7311000,"SEARCY SCHOOL DISTRICT",273,55,410,410,3,0,2796,3947,0.1,0.71,0.1,64.1,7.6
"10","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",23,38,194,270,2021-12-07,"greenwood_school_dist",6602000,"GREENWOOD SCHOOL DISTRICT",213,59,32,190,82,7,3143,3726,0.05,0.84,0.01,52.07,6.17
