"","Date","Name","Cumulative_Total","Active_Cases","Cumulative_Student_Cases","Cumulative_Faculty_Staff_Cases","Type"
"268",2021-09-27,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",53,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"449",2021-09-23,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",52,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"651",2021-09-20,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",50,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"863",2021-09-16,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",49,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1543",2021-09-06,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",38,6,27,0,"PUBLIC SCHOOL DISTRICT"
"1783",2021-09-02,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",37,7,25,0,"PUBLIC SCHOOL DISTRICT"
"2018",2021-08-30,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",36,6,25,0,"PUBLIC SCHOOL DISTRICT"
"2234",2021-08-26,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",33,6,22,0,"PUBLIC SCHOOL DISTRICT"
"2393",2021-08-23,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",30,6,19,0,"PUBLIC SCHOOL DISTRICT"
"2492",2021-08-19,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",28,12,18,0,"PUBLIC SCHOOL DISTRICT"
"2605",2021-08-16,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",27,21,16,0,"PUBLIC SCHOOL DISTRICT"
"57",2021-10-04,"ALMA SCHOOL DIST",123,10,88,13,"PUBLIC SCHOOL DISTRICT"
"5110",2021-09-30,"ALMA SCHOOL DIST",120,12,86,13,"PUBLIC SCHOOL DISTRICT"
