"","Date","Name","All_Active_Cases","All_Faculty_Staff_Total","All_Student_Total","Total","New_Active_Cases","Pct_Chg_Active"
"1:1","2021-11-04","PUBLIC SCHOOL DISTRICTS",963,2891,17787,23838,"-602","-38.47%"
"1:2","2021-10-07","PUBLIC SCHOOL DISTRICTS",1565,2385,15289,20590,"-103","-6.18%"
"1:3","2021-10-04","PUBLIC SCHOOL DISTRICTS",1668,2294,14790,19969,"-392","-19.03%"
"1:4","2021-09-30","PUBLIC SCHOOL DISTRICTS",2060,2229,14386,19480,"-70","-3.29%"
"1:5","2021-09-27","PUBLIC SCHOOL DISTRICTS",2130,2112,13739,18647,"-535","-20.08%"
"1:6","2021-09-23","PUBLIC SCHOOL DISTRICTS",2665,2046,13217,18047,"-171","-6.03%"
"1:7","2021-09-20","PUBLIC SCHOOL DISTRICTS",2836,1936,12414,17009,"-498","-14.94%"
"1:8","2021-09-16","PUBLIC SCHOOL DISTRICTS",3334,1836,11673,16121,"-183","-5.20%"
"1:9","2021-09-13","PUBLIC SCHOOL DISTRICTS",3517,1684,10666,14736,"-287","-7.54%"
"1:10","2021-09-09","PUBLIC SCHOOL DISTRICTS",3804,1463,9071,12719,"-1029","-21.29%"
"1:11","2021-09-06","PUBLIC SCHOOL DISTRICTS",4833,1334,8261,11420,"42","0.88%"
"1:12","2021-09-02","PUBLIC SCHOOL DISTRICTS",4791,1181,7051,10081,"880","22.50%"
"1:13","2021-08-30","PUBLIC SCHOOL DISTRICTS",3911,980,5527,7831,"559","16.68%"
"1:14","2021-08-26","PUBLIC SCHOOL DISTRICTS",3352,868,4434,6450,"1261","60.31%"
"1:15","2021-08-23","PUBLIC SCHOOL DISTRICTS",2091,657,2873,4156,"294","16.36%"
"1:16","2021-08-19","PUBLIC SCHOOL DISTRICTS",1797,555,2084,3134,"450","33.41%"
"2:1","2021-08-16","PUBLIC SCHOOL DISTRICTS",1347,430,1335,2127,"-","-"
"1:17","2021-11-04","PRIVATE SCHOOLS",34,124,492,666,"-14","-29.17%"
"1:18","2021-10-07","PRIVATE SCHOOLS",48,102,380,527,"-9","-15.79%"
"1:19","2021-10-04","PRIVATE SCHOOLS",57,98,368,511,"-7","-10.94%"
"1:20","2021-09-30","PRIVATE SCHOOLS",64,91,356,492,"13","25.49%"
"1:21","2021-09-27","PRIVATE SCHOOLS",51,84,332,462,"-15","-22.73%"
"1:22","2021-09-23","PRIVATE SCHOOLS",66,82,312,440,"-7","-9.59%"
"1:23","2021-09-20","PRIVATE SCHOOLS",73,77,297,417,"-27","-27.00%"
"1:24","2021-09-16","PRIVATE SCHOOLS",100,74,284,400,"9","9.89%"
"1:25","2021-09-13","PRIVATE SCHOOLS",91,69,259,366,"10","12.35%"
"1:26","2021-09-09","PRIVATE SCHOOLS",81,63,218,317,"-15","-15.62%"
"1:27","2021-09-06","PRIVATE SCHOOLS",96,58,197,282,"-4","-4.00%"
"1:28","2021-09-02","PRIVATE SCHOOLS",100,51,173,248,"16","19.05%"
"1:29","2021-08-30","PRIVATE SCHOOLS",84,48,147,219,"18","27.27%"
"1:30","2021-08-26","PRIVATE SCHOOLS",66,38,121,180,"17","34.69%"
"1:31","2021-08-23","PRIVATE SCHOOLS",49,27,91,130,"4","8.89%"
"1:32","2021-08-19","PRIVATE SCHOOLS",45,26,71,109,"6","15.38%"
"2:2","2021-08-16","PRIVATE SCHOOLS",39,17,51,79,"-","-"
"1:33","2021-11-04","COLLEGES/UNIVERSITIES",74,434,1649,3214,"-112","-60.22%"
"1:34","2021-10-07","COLLEGES/UNIVERSITIES",186,370,1462,2887,"-7","-3.63%"
"1:35","2021-10-04","COLLEGES/UNIVERSITIES",193,357,1435,2827,"-47","-19.58%"
"1:36","2021-09-30","COLLEGES/UNIVERSITIES",240,336,1393,2769,"-68","-22.08%"
"1:37","2021-09-27","COLLEGES/UNIVERSITIES",308,328,1359,2672,"-98","-24.14%"
"1:38","2021-09-23","COLLEGES/UNIVERSITIES",406,310,1291,2565,"-93","-18.64%"
"1:39","2021-09-20","COLLEGES/UNIVERSITIES",499,299,1237,2443,"-45","-8.27%"
"1:40","2021-09-16","COLLEGES/UNIVERSITIES",544,270,1122,2299,"32","6.25%"
"1:41","2021-09-13","COLLEGES/UNIVERSITIES",512,244,1017,2032,"-65","-11.27%"
"1:42","2021-09-09","COLLEGES/UNIVERSITIES",577,217,876,1775,"-185","-24.28%"
"1:43","2021-09-06","COLLEGES/UNIVERSITIES",762,203,792,1612,"96","14.41%"
"1:44","2021-09-02","COLLEGES/UNIVERSITIES",666,187,627,1382,"200","42.92%"
"1:45","2021-08-30","COLLEGES/UNIVERSITIES",466,162,496,1052,"62","15.35%"
"1:46","2021-08-26","COLLEGES/UNIVERSITIES",404,146,351,835,"157","63.56%"
"1:47","2021-08-23","COLLEGES/UNIVERSITIES",247,131,257,588,"14","6.01%"
"1:48","2021-08-19","COLLEGES/UNIVERSITIES",233,106,194,454,"31","15.35%"
"2:3","2021-08-16","COLLEGES/UNIVERSITIES",202,89,144,349,"-","-"
