"","Type","Name","Active_Cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","Date"
"2","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",59,140,697,1003,2021-11-15
"3","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",56,100,525,739,2021-11-15
"4","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",54,34,321,416,2021-11-15
"5","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",54,124,504,722,2021-11-15
"6","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",42,80,538,695,2021-11-15
"7","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",34,44,518,702,2021-11-15
"8","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",34,47,328,432,2021-11-15
"9","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",33,43,350,456,2021-11-15
"10","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",27,11,124,152,2021-11-15
"11","PUBLIC SCHOOL DISTRICT","SALEM SCHOOL DIST",26,7,56,68,2021-11-15
"12","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",26,17,115,151,2021-11-15
"13","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",23,30,165,205,2021-11-15
"14","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",21,27,162,205,2021-11-15
"15","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",20,36,338,450,2021-11-15
"16","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",20,25,146,191,2021-11-15
"18","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",19,36,199,276,2021-11-15
"19","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",17,31,150,219,2021-11-15
"20","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",15,14,191,222,2021-11-15
"21","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",15,32,231,298,2021-11-15
"22","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",15,32,226,328,2021-11-15
"23","PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",14,7,47,61,2021-11-15
"24","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",14,27,249,343,2021-11-15
"25","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",13,15,120,164,2021-11-15
"26","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",13,18,90,117,2021-11-15
"27","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",13,35,186,261,2021-11-15
"28","PUBLIC SCHOOL DISTRICT","CORNING SCHOOL DIST",12,6,53,69,2021-11-15
"29","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",12,10,113,145,2021-11-15
"30","PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",12,16,95,126,2021-11-15
"31","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",12,6,80,99,2021-11-15
"32","PUBLIC SCHOOL DISTRICT","ARMOREL SCHOOL DIST",10,9,45,58,2021-11-15
"33","PUBLIC SCHOOL DISTRICT","BALD KNOB SCHOOL DIST",10,NA,NA,52,2021-11-15
"34","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",10,37,317,383,2021-11-15
"35","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",10,15,96,127,2021-11-15
"37","PUBLIC SCHOOL DISTRICT","SLOAN",10,5,24,30,2021-11-15
"38","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",9,10,71,92,2021-11-15
"39","PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",9,23,92,123,2021-11-15
"40","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",9,11,90,103,2021-11-15
"41","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",9,20,206,246,2021-11-15
"42","PUBLIC SCHOOL DISTRICT","WHITE CO. CENTRAL SCHOOL DIST",9,12,42,64,2021-11-15
"43","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",8,24,129,178,2021-11-15
"44","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",8,20,80,111,2021-11-15
"45","PUBLIC SCHOOL DISTRICT","LAWRENCE COUNTY SCHOOL DIST",8,19,82,117,2021-11-15
"46","PUBLIC SCHOOL DISTRICT","NORFORK SCHOOL DIST",8,8,26,38,2021-11-15
"47","PUBLIC SCHOOL DISTRICT","SMACKOVER",8,NA,NA,53,2021-11-15
"48","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",7,32,236,327,2021-11-15
"49","PUBLIC SCHOOL DISTRICT","GREENLAND SCHOOL DIST",7,11,58,75,2021-11-15
"50","PUBLIC SCHOOL DISTRICT","IZARD CO CONS SCHOOL DIST",7,NA,NA,47,2021-11-15
"51","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",7,29,131,186,2021-11-15
"52","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",7,26,141,192,2021-11-15
"53","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",7,49,222,302,2021-11-15
"54","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",7,15,112,155,2021-11-15
"56","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",6,NA,NA,74,2021-11-15
