"","Date","Casos_0_10","Casos_11_17","Casos_18_24","Casos_25_34","Casos_35_44","Cases_45_54","Casos_45_54","Casos_65","Casos_Desconocidos","Muertes_0_10","Muertes_11_17","Muertes_18_24","Muertes_25_34","Muertes_35_44","Muertes_45_54","Muertes_55_64","Muertes_65","Muertes_Desconocidos","Casos_0_17","Casos_25_44","Casos_45_64","Muertes_0_17","Muertes_25_44","Muertes_45_64","Nuevos_Casos_0_10","Nuevos_Casos_11_17","Nuevos_Casos_18_24","Nuevos_Casos_25_34","Nuevos_Casos_35_44","Nuevos_Casos_45_54","Nuevos_Casos_55_64","Nuevos_Casos_65","Nuevas_Muertes_0_10","Nuevas_Muertes_11_17","Nuevas_Muertes_18_24","Nuevas_Muertes_25_34","Nuevas_Muertes_35_44","Nuevas_Muertes_45_54","Nuevas_Muertes_55_64","Nuevas_Muertes_65","Nuevos_Casos_0_17","Nuevos_Casos_25_44","Nuevos_Casos_45_64","Nuevas_Muertes_0_17","Nuevas_Muertes_25_44","Nuevas_Muertes_45_64"
"2",2021-06-02,20895,29139,43975,55007,52223,48432,42096,49925,0,0,0,10,36,105,267,701,4716,0,NA,NA,NA,NA,NA,NA,20,15,31,42,51,25,34,24,0,0,0,0,0,1,-1,1,NA,NA,NA,NA,NA,NA
"1:1",2021-06-01,20875,29124,43944,54965,52172,48407,42062,49901,0,0,0,10,36,105,266,702,4715,0,NA,NA,NA,NA,NA,NA,3,4,9,13,21,9,3,7,0,0,0,0,0,0,-1,2,NA,NA,NA,NA,NA,NA
"1:2",2021-05-31,20872,29120,43935,54952,52151,48398,42059,49894,0,0,0,10,36,105,266,703,4713,0,NA,NA,NA,NA,NA,NA,1,0,2,5,5,5,6,6,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"1:3",2021-05-30,20871,29120,43933,54947,52146,48393,42053,49888,0,0,0,10,36,104,266,703,4713,0,NA,NA,NA,NA,NA,NA,7,3,7,8,13,8,10,5,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:4",2021-05-29,20864,29117,43926,54939,52133,48385,42043,49883,0,0,0,10,36,104,266,703,4711,0,NA,NA,NA,NA,NA,NA,14,20,19,28,23,27,18,11,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:5",2021-05-28,20850,29097,43907,54911,52110,48358,42025,49872,0,0,0,10,36,104,266,703,4711,0,NA,NA,NA,NA,NA,NA,17,24,30,40,32,29,14,28,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"1:6",2021-05-27,20833,29073,43877,54871,52078,48329,42011,49844,0,0,0,10,36,104,266,702,4711,0,NA,NA,NA,NA,NA,NA,20,17,28,40,44,32,20,17,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:7",2021-05-26,20813,29056,43849,54831,52034,48297,41991,49827,0,0,0,10,36,104,266,702,4709,0,NA,NA,NA,NA,NA,NA,21,22,21,40,30,20,16,13,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"1:8",2021-05-25,20792,29034,43828,54791,52004,48277,41975,49814,0,0,0,10,36,104,266,702,4706,0,NA,NA,NA,NA,NA,NA,55,24,40,51,52,38,38,31,0,0,0,0,1,0,1,2,NA,NA,NA,NA,NA,NA
"1:9",2021-05-24,20737,29010,43788,54740,51952,48239,41937,49783,0,0,0,10,36,103,266,701,4704,0,NA,NA,NA,NA,NA,NA,6,5,6,11,11,2,4,4,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA
