"","Candado","Date","Muertes","fhwa_numbe","fips","Positive","Negative","Recoveries","Total_Tests","Casos_Activos","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Nuevos_Cases_Hoy","Recovered_Since_Yesterday","Nuevas_Muertes_Hoy","New_Tests_Dashboard","Cases_Population","Tested_Population","Casos_Nuevos_por_cada_10k_Residentes","Casos_Activos_por_cada_10k_Residentes","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:1","Arkansas_all_counties",2021-09-08,7142,NA,NA,467496,4187934,440740,4674981,19500,2964377,2990671,348557,118939,NA,NA,330333,110444,5669,1473,12484,7016,3713343,961638,348557,3364786,139512,822126,488069,4186912,2181,2441,34,18290,15.77,157.05,7.36,65.78,42.1134019053582,10.04,11.92,447882,1.59,98.41,4013800,641630
"1:2","Arkansas_county",2021-09-08,54,NA,NA,3195,31934,3000,35305,140,18124,18124,2182,1013,NA,NA,2037,963,41,13,103,37,22061,13244,2182,19879,1189,12055,3371,31934,4,18,0,144,17.63,193.83,2.21,77.25,56.8307216949901,9.1,2.78,3054,1.77,98.23,30835,4294
"1:3","Ashley",2021-09-08,39,NA,NA,2851,22145,2625,25109,186,20537,20537,1843,1008,NA,NA,1746,879,27,12,69,117,20263,4846,1843,18420,1122,3724,2965,22144,23,21,0,75,13.88,121.71,11.2,90.57,33.5978964795248,11.41,30.67,2664,1.46,98.54,22174,2822
"1:4","Baxter",2021-09-08,156,NA,NA,5480,33514,5209,39145,115,41219,41219,3452,2028,NA,NA,3276,1933,115,41,61,54,30690,8455,3452,27238,2180,6275,5632,33513,16,18,1,96,13.29,94.6,3.88,27.9,14.7990004609525,14.05,16.67,5365,2.91,97.09,33747,5247
"1:5","Benton",2021-09-08,534,NA,NA,38652,303060,36791,343456,1325,258980,258980,27862,10790,NA,NA,26606,10185,405,129,849,476,287940,55516,27862,260078,12551,42965,40413,303043,170,156,5,1430,14.92,131.95,6.56,51.16,32.7824542435709,11.31,11.89,37325,1.43,98.57,319968,21744
"1:6","Boone",2021-09-08,103,NA,NA,5736,50884,5465,56866,168,37288,37288,3985,1751,NA,NA,3798,1667,88,15,99,69,42145,14721,3985,38160,1997,12724,5982,50884,25,31,0,428,15.38,151.85,6.7,45.05,26.5500965458056,10.13,5.84,5568,1.85,98.15,52171,4449
"1:7","Bradley",2021-09-08,36,NA,NA,1843,14673,1715,16590,92,10948,10948,1274,569,NA,NA,1198,517,21,15,55,37,9539,7051,1274,8265,643,6408,1917,14673,11,6,0,37,16.83,150.86,10.05,84.03,50.2374862988674,11.16,29.73,1751,2.06,97.94,13483,3033
"1:8","Calhoun",2021-09-08,7,NA,NA,545,4718,522,5306,16,5202,5202,391,154,NA,NA,377,145,4,3,10,6,4378,928,391,3987,198,730,589,4717,2,3,0,11,10.48,101.17,3.84,30.76,19.2233756247597,10.36,18.18,529,1.32,98.68,4428,835
"1:9","Carroll",2021-09-08,62,NA,NA,4009,29951,3766,34090,181,27887,27887,3175,834,NA,NA,3009,757,55,7,111,70,30670,3420,3175,27495,964,2456,4139,29951,21,17,1,151,14.38,121.78,7.53,64.9,39.803492666834,11.81,13.91,3828,1.62,98.38,28745,5215
"1:10","Chicot",2021-09-08,42,NA,NA,1880,22068,1785,24007,53,10826,10826,1626,254,NA,NA,1549,236,39,3,38,15,14811,9196,1626,13185,313,8883,1939,22068,4,10,0,108,17.37,221.21,3.69,48.96,35.1006835396268,7.85,3.7,1827,2.3,97.7,20988,2960
"1:11","Clark",2021-09-08,47,NA,NA,2928,37934,2717,40970,162,22385,22385,2412,516,NA,NA,2243,475,40,7,128,34,29016,11954,2412,26604,624,11330,3036,37934,10,13,0,131,13.08,182.54,4.47,72.37,57.181148090239,7.17,7.63,2764,1.7,98.3,37644,3218
"1:12","Clay",2021-09-08,52,NA,NA,2373,24316,2169,26795,152,15061,15061,1759,614,NA,NA,1623,546,36,16,100,52,17774,9021,1759,16015,720,8301,2479,24316,13,20,0,62,15.76,177.21,8.63,100.92,66.3966536086581,8.89,20.97,2221,2.34,97.66,24692,1997
"1:13","Cleburne",2021-09-08,84,NA,NA,3274,31083,2996,34523,192,25230,25230,2213,1061,NA,NA,2027,969,57,27,127,65,24903,9620,2213,22690,1229,8391,3442,31081,18,23,1,244,12.98,136.18,7.13,76.1,50.3369005152596,9.53,7.38,3080,2.73,97.27,32541,1816
"1:14","Cleveland",2021-09-08,29,NA,NA,1292,12358,1240,13714,23,8226,8226,737,555,NA,NA,711,529,22,7,4,19,9426,4288,737,8689,619,3669,1356,12358,3,8,0,11,15.71,165.94,3.65,27.96,4.86263068319961,9.47,27.27,1269,2.29,97.71,8738,4912
"1:15","Columbia",2021-09-08,61,NA,NA,3124,27329,2907,30700,156,23892,23892,1736,1388,NA,NA,1639,1268,37,24,60,96,18564,12136,1736,16828,1636,10500,3372,27328,35,17,0,255,13.08,127.46,14.65,65.29,25.1130085384229,10.26,13.73,2968,2.06,97.94,26349,4104
"1:16","Conway",2021-09-08,41,NA,NA,2886,27477,2725,30468,119,20906,20906,2229,657,NA,NA,2108,617,34,7,86,33,22817,7651,2229,20588,762,6889,2991,27477,19,14,0,199,13.8,145.24,9.09,56.92,41.1365158327753,9.5,9.55,2766,1.48,98.52,24918,5445
"1:17","Craighead",2021-09-08,213,NA,NA,19248,166577,17963,186676,1071,105701,105701,15491,3757,NA,NA,14583,3381,189,24,719,352,148100,38576,15491,132609,4609,33967,20100,166576,81,125,1,743,18.21,175.8,7.66,101.32,68.0220622321454,10.36,10.9,18176,1.17,98.83,175251,10574
"1:18","Crawford",2021-09-08,147,NA,NA,9463,85470,8704,95186,607,62472,62472,7444,2019,NA,NA,6859,1847,122,25,461,146,83479,11707,7444,76035,2272,9435,9716,85470,79,57,1,487,15.15,151.96,12.65,97.16,73.7930592905622,9.97,16.22,8851,1.66,98.34,87455,7478
"1:19","Crittenden",2021-09-08,112,NA,NA,7863,59271,7389,67483,359,49013,49013,7263,600,NA,NA,6849,540,99,13,312,47,60661,6822,7263,53398,949,5873,8212,59271,36,42,0,155,16.04,136.97,7.34,73.25,63.6565809071063,11.71,23.23,7501,1.49,98.51,60455,6679
"1:20","Cross",2021-09-08,58,NA,NA,2613,20858,2443,23574,112,16998,16998,1867,746,NA,NA,1756,687,54,4,57,55,20638,2936,1867,18771,858,2078,2725,20849,16,13,0,41,15.37,138.08,9.41,65.89,33.5333568655136,11.13,39.02,2501,2.32,97.68,21666,1805
"1:21","Dallas",2021-09-08,18,NA,NA,1079,11005,1027,12088,34,7432,7432,921,158,NA,NA,878,149,14,4,29,5,9883,2205,921,8962,196,2009,1117,10971,4,2,0,23,14.52,162.59,5.38,45.75,39.0204520990312,8.93,17.39,1045,1.72,98.28,10516,1568
"1:22","Desha",2021-09-08,26,NA,NA,1729,15259,1635,17094,67,11887,11887,1292,437,NA,NA,1236,399,21,5,34,33,12713,4381,1292,11421,543,3838,1835,15259,9,5,0,73,14.55,142.91,7.57,56.36,28.6026751913855,10.18,12.33,1661,1.57,98.43,14711,2277
"1:23","Drew",2021-09-08,53,NA,NA,2610,25549,2462,28261,93,18502,18502,1877,733,NA,NA,1785,678,40,13,51,42,20477,7784,1877,18600,839,6945,2716,25545,14,7,0,111,14.11,152.19,7.57,50.26,27.56458761215,9.27,12.61,2515,2.11,97.89,25160,2999
"1:24","Faulkner",2021-09-08,196,NA,NA,18110,168200,17267,187229,644,122416,122416,13202,4908,NA,NA,12632,4636,162,34,406,238,152016,35213,13202,138814,5828,29385,19030,168199,87,90,1,742,14.79,152.19,7.11,52.61,33.1655992680695,9.72,11.73,17463,1.12,98.88,155718,30592
"1:25","Franklin",2021-09-08,47,NA,NA,2448,26880,2229,29443,171,17780,17780,1636,812,NA,NA,1511,719,37,10,88,83,23530,5913,1636,21894,927,4986,2563,26880,11,27,1,100,13.77,164.95,6.19,96.18,49.4938132733408,8.35,11,2276,2.07,97.93,25367,3961
"1:26","Fulton",2021-09-08,52,NA,NA,1543,10276,1450,11905,41,12139,12139,1042,501,NA,NA,999,451,27,25,16,25,8077,3828,1042,7035,587,3241,1629,10276,5,5,0,32,12.71,97.36,4.12,33.78,13.1806573852871,13.06,15.62,1502,3.46,96.54,10327,1492
"1:27","Garland",2021-09-08,343,NA,NA,14904,132346,14077,147793,482,98296,98296,12159,2745,NA,NA,11516,2561,279,64,362,120,119130,28663,12159,106971,3290,25373,15449,132344,57,75,0,750,15.16,149.8,5.8,49.04,36.827541303817,10.12,7.6,14420,2.38,97.62,118088,29162
"1:28","Grant",2021-09-08,45,NA,NA,2689,21387,2522,24195,122,18086,18086,1800,889,NA,NA,1689,833,38,7,73,49,17468,6727,1800,15668,1008,5719,2808,21387,17,19,0,62,14.87,133.12,9.4,67.46,40.3627114895499,11.17,27.42,2567,1.75,98.25,19987,4089
"1:29","Greene",2021-09-08,98,NA,NA,8830,70064,8165,79304,566,44623,44623,6583,2247,NA,NA,6183,1983,83,15,317,249,64187,15117,6583,57604,2657,12460,9240,70064,74,77,1,532,19.79,176.8,16.58,126.84,71.0395984133743,11.19,13.91,8263,1.19,98.81,71461,7433
"1:30","Hempstead",2021-09-08,22,NA,NA,2655,24792,2522,27559,111,22018,22018,1894,761,NA,NA,1822,700,14,8,58,53,23081,4478,1894,21187,873,3605,2767,24792,8,10,0,96,12.06,124.66,3.63,50.41,26.3420837496594,9.67,8.33,2544,0.86,99.14,23365,4082
"1:31","HotSpring",2021-09-08,102,NA,NA,7103,80786,6799,88067,201,33520,33520,6142,961,NA,NA,5916,883,85,17,140,61,61245,26822,6142,55103,1141,25681,7283,80784,19,39,0,416,21.19,262.2,5.67,59.96,41.7661097852029,8.08,4.57,6901,1.48,98.52,61104,26785
"1:32","Howard",2021-09-08,28,NA,NA,2194,16989,2055,19302,111,13389,13389,1423,771,NA,NA,1334,721,24,4,65,46,13446,5856,1423,12023,890,4966,2313,16989,12,22,0,90,16.39,143.27,8.96,82.9,48.5473149600418,11.44,13.33,2083,1.34,98.66,16475,2708
"1:33","Independence",2021-09-08,147,NA,NA,5444,61078,5088,66796,209,37264,37264,3191,2253,NA,NA,2987,2101,107,40,97,112,43553,23243,3191,40362,2531,20712,5722,61074,35,30,2,274,14.61,178.52,9.39,56.09,26.0304851867754,8.18,12.77,5235,2.81,97.19,61553,4969
"1:34","Izard",2021-09-08,53,NA,NA,2236,25169,2143,27551,40,13559,13559,1585,651,NA,NA,1521,622,40,13,24,16,15995,11556,1585,14410,797,10759,2382,25169,3,11,0,53,16.49,202.12,2.21,29.5,17.7004203849841,8.16,5.66,2196,2.41,97.59,23132,4273
"1:35","Jackson",2021-09-08,41,NA,NA,3836,36855,3652,40950,142,17225,17225,2671,1165,NA,NA,2590,1063,24,17,57,85,26345,14605,2671,23674,1426,13179,4097,36853,10,11,0,33,22.27,236.23,5.81,82.44,33.0914368650218,9.43,30.3,3693,1.11,98.89,25544,15147
"1:36","Jefferson",2021-09-08,210,NA,NA,11864,124273,11364,136865,286,70424,70424,8102,3762,NA,NA,7803,3563,153,57,144,142,94165,42700,8102,86063,4491,38209,12593,124272,27,35,2,242,16.85,193.31,3.83,40.61,20.4475746904464,8.71,11.16,11574,1.81,98.19,87958,48179
"1:37","Johnson",2021-09-08,52,NA,NA,4097,35286,3791,39514,254,26291,26291,3170,927,NA,NA,2947,844,43,9,180,74,34705,4809,3170,31535,1058,3751,4228,35286,20,30,1,134,15.58,149.8,7.61,96.61,68.4644935529269,10.4,14.93,3843,1.35,98.65,32223,7160
"1:38","Lafayette",2021-09-08,11,NA,NA,759,5039,719,5846,28,6915,6915,482,277,NA,NA,461,259,8,3,13,15,4375,1471,482,3893,325,1146,807,5039,4,3,0,20,10.98,83.85,5.78,40.49,18.7997107736804,13.09,20,730,1.51,98.49,4589,1209
"1:39","Lawrence",2021-09-08,47,NA,NA,2853,22400,2604,25403,202,16669,16669,2141,712,NA,NA,1951,653,42,5,148,54,20704,4699,2141,18563,862,3837,3003,22400,15,26,0,61,17.12,151.5,9,121.18,88.7875697402364,11.3,24.59,2651,1.77,98.23,22869,2384
"1:40","Lee",2021-09-08,40,NA,NA,1958,20889,1881,22899,36,9398,9398,1763,195,NA,NA,1694,187,38,2,30,6,14424,8475,1763,12661,247,8228,2010,20889,5,7,0,17,20.83,243.1,5.32,38.31,31.9216854649926,8.57,29.41,1921,2.08,97.92,17880,4967
"1:41","Lincoln",2021-09-08,55,NA,NA,3579,36343,3490,40036,34,13695,13695,2997,582,NA,NA,2941,549,40,15,16,18,21201,18835,2997,18204,696,18139,3693,36343,2,2,0,19,26.13,291.51,1.46,24.83,11.6830960204454,8.96,10.53,3545,1.55,98.45,28385,11537
"1:42","LittleRiver",2021-09-08,44,NA,NA,1756,12736,1612,14578,100,12417,12417,1224,532,NA,NA,1123,489,40,4,61,39,10712,3866,1224,9488,618,3248,1842,12736,9,20,0,38,14.14,116.71,7.25,80.53,49.1261979544173,12.12,23.68,1656,2.66,97.34,13156,1336
"1:43","Logan",2021-09-08,33,NA,NA,3207,40385,2977,43735,194,21757,21757,2055,1152,NA,NA,1964,1016,22,11,69,125,28506,15229,2055,26451,1295,13934,3350,40385,32,37,0,255,14.74,200.36,14.71,89.17,31.7139311485959,7.36,12.55,3010,1.1,98.9,38746,4846
"1:44","Lonoke",2021-09-08,162,NA,NA,10994,90272,10332,101925,495,72206,72206,7023,3971,NA,NA,6611,3721,131,31,277,218,78503,23422,7023,71480,4632,18790,11655,90270,52,57,1,341,15.23,140.25,7.2,68.55,38.3624629532172,10.86,15.25,10494,1.54,98.46,79738,21528
"1:45","Madison",2021-09-08,33,NA,NA,2240,18108,2054,20494,153,16076,16076,1568,672,NA,NA,1468,586,24,9,76,77,16317,4177,1568,14749,818,3359,2386,18108,21,12,0,76,13.93,126.57,13.06,95.17,47.2754416521523,11.01,27.63,2087,1.58,98.42,18594,1754
"1:46","Marion",2021-09-08,53,NA,NA,1950,15854,1823,17910,74,16438,16438,1208,742,NA,NA,1132,691,43,10,33,41,14407,3503,1208,13199,848,2655,2056,15854,10,8,1,59,11.86,108.31,6.08,45.02,20.0754349677576,10.95,16.95,1876,2.83,97.17,15545,2259
"1:47","Miller",2021-09-08,39,NA,NA,5625,33672,5374,39572,210,43759,43759,3453,2172,NA,NA,3297,2078,23,16,132,78,24757,14815,3453,21304,2447,12368,5900,33672,19,27,0,104,12.85,89.8,4.34,47.99,30.165223154094,14.31,18.27,5413,0.72,99.28,31314,7983
"1:48","MissingCountyInfo",2021-09-08,0,NA,NA,4950,84812,4499,89837,451,NA,0,3275,1675,NA,NA,2999,1500,0,0,276,175,87677,2160,3275,84402,1750,410,5025,84812,44,52,0,14,NA,NA,NA,NA,NA,5.51,314.29,4499,0,100,88498,1264
"1:49","Mississippi",2021-09-08,118,NA,NA,7268,54572,6743,62133,406,42831,42831,6159,1109,NA,NA,5794,949,97,21,267,139,39861,22272,6159,33702,1402,20870,7561,54572,29,45,0,263,16.97,144.38,6.77,94.79,62.3380261959795,11.75,11.03,6861,1.72,98.28,53449,8391
"1:50","Monroe",2021-09-08,21,NA,NA,1107,9527,1056,10687,29,7249,7249,834,273,NA,NA,793,263,18,3,22,7,9278,1409,834,8444,326,1083,1160,9527,4,5,0,27,15.27,146.7,5.52,40.01,30.3490136570561,10.41,14.81,1077,1.95,98.05,9467,1167
"1:51","Montgomery",2021-09-08,35,NA,NA,1042,10709,943,11787,64,8993,8993,716,326,NA,NA,650,293,23,12,43,21,5899,5888,716,5183,362,5526,1078,10709,7,9,1,34,11.59,130.67,7.78,71.17,47.8149671967085,8.87,20.59,978,3.58,96.42,9894,1857
"1:52","Nevada",2021-09-08,29,NA,NA,1141,17838,1063,19016,49,8440,8440,879,262,NA,NA,826,237,25,4,28,21,16907,2109,879,16028,299,1810,1178,17838,8,6,0,119,13.52,224.87,9.48,58.06,33.175355450237,6.01,6.72,1092,2.66,97.34,14515,4464
"1:53","Newton",2021-09-08,29,NA,NA,1104,10118,1043,11263,32,7848,7848,787,317,NA,NA,750,293,25,4,12,20,6123,5140,787,5336,358,4782,1145,10118,3,7,0,55,14.07,142.99,3.82,40.77,15.2905198776758,9.84,5.45,1072,2.71,97.29,9834,1388
"1:54","Ouachita",2021-09-08,68,NA,NA,3202,23934,2999,27311,135,24106,24106,2688,514,NA,NA,2533,466,48,20,107,28,23597,3714,2688,20909,691,3023,3379,23932,7,21,0,45,13.28,112.57,2.9,56,44.3872894715009,11.8,15.56,3067,2.22,97.78,24435,2701
"1:55","Perry",2021-09-08,15,NA,NA,1368,14828,1294,16255,58,10322,10322,1030,338,NA,NA,974,320,12,3,43,15,14187,2068,1030,13157,397,1671,1427,14828,4,10,0,48,13.25,156.91,3.88,56.19,41.6585932958729,8.45,8.33,1309,1.15,98.85,10280,5916
"1:56","Phillips",2021-09-08,61,NA,NA,2871,24288,2576,27226,233,19034,19034,2617,254,NA,NA,2353,223,59,2,204,29,25481,1745,2617,22864,321,1424,2938,24288,10,16,1,66,15.08,142.69,5.25,122.41,107.176631291373,10.57,15.15,2637,2.31,97.69,21855,5304
"1:57","Pike",2021-09-08,32,NA,NA,1520,11587,1361,13186,127,10808,10808,1139,381,NA,NA,1027,334,24,8,88,39,10638,2548,1139,9499,460,2088,1599,11587,23,8,0,120,14.06,121.27,21.28,117.51,81.421169504071,11.6,19.17,1393,2.3,97.7,11588,1519
"1:58","Poinsett",2021-09-08,93,NA,NA,4390,38791,4061,43359,236,24054,24054,3616,774,NA,NA,3382,679,75,18,159,77,38329,5030,3616,34713,952,4078,4568,38791,24,27,1,103,18.25,179.52,9.98,98.11,66.1012721376902,10.17,23.3,4154,2.24,97.76,39709,3472
"1:59","Polk",2021-09-08,90,NA,NA,2650,18040,2419,20814,140,20163,20163,2131,519,NA,NA,1962,457,65,25,103,37,16866,3948,2131,14735,643,3305,2774,18040,12,21,0,230,13.14,102.61,5.95,69.43,51.0836681049447,12.81,5.22,2509,3.59,96.41,16998,3692
"1:60","Pope",2021-09-08,137,NA,NA,10992,97923,10278,109241,575,63644,63644,8409,2583,NA,NA,7866,2412,119,18,422,153,97386,11855,8409,88977,2909,8946,11318,97923,53,80,0,430,17.27,171.13,8.33,90.35,66.3063289548111,10.09,12.33,10415,1.32,98.68,100176,8739
"1:61","Prairie",2021-09-08,27,NA,NA,1217,9811,1140,11110,49,8244,8244,830,387,NA,NA,778,362,21,6,31,18,9017,2093,830,8187,471,1622,1301,9809,0,2,0,22,14.76,133.77,0,59.44,37.6031052886948,11.04,0,1167,2.31,97.69,9133,1895
"1:62","Pulaski",2021-09-08,823,NA,NA,55148,562910,52664,619956,1625,393463,393463,46694,8454,NA,NA,44615,8055,714,109,1335,290,546726,73230,46694,500032,10353,62877,57047,562909,159,178,4,2437,14.02,157.08,4.04,41.3,33.9294927350221,8.92,6.52,53487,1.54,98.46,503919,114139
"1:63","Randolph",2021-09-08,50,NA,NA,2828,30537,2599,33507,179,17603,17603,2026,802,NA,NA,1900,699,37,13,89,90,21054,12453,2026,19028,944,11509,2970,30537,29,18,0,610,16.07,189.54,16.47,101.69,50.5595637107311,8.48,4.75,2649,1.89,98.11,28869,4496
"1:64","SaintFrancis",2021-09-08,54,NA,NA,4388,38442,4157,42927,177,NA,26294,3804,584,NA,NA,3638,519,45,9,121,56,40192,2735,3804,36388,687,2048,4491,38436,21,16,1,77,NA,NA,NA,NA,NA,10.25,27.27,4211,1.28,98.72,36672,6158
"1:65","Saline",2021-09-08,216,NA,NA,17229,156827,16435,174915,575,118009,118009,12347,4882,NA,NA,11782,4656,180,36,385,190,126697,48218,12347,114350,5750,42468,18097,156818,72,79,0,766,14.6,147.49,6.1,48.73,32.6246303248057,9.9,9.4,16651,1.3,98.7,156321,17735
"1:66","Scott",2021-09-08,19,NA,NA,1386,16058,1212,17495,155,10442,10442,803,583,NA,NA,741,471,15,4,47,108,14051,3444,803,13248,634,2810,1437,16058,30,16,0,95,13.27,167.06,28.73,148.44,45.0105343803869,7.95,31.58,1231,1.54,98.46,14920,2524
"1:67","Searcy",2021-09-08,21,NA,NA,1167,9986,1095,11282,50,7923,7923,655,512,NA,NA,612,484,15,6,28,22,7065,4217,655,6410,641,3576,1296,9986,4,7,1,37,14.73,140.77,5.05,63.11,35.3401489334848,10.46,10.81,1116,1.88,98.12,9833,1320
"1:68","Sebastian",2021-09-08,313,NA,NA,20250,182964,18955,203800,972,127461,127461,15024,5226,NA,NA,14111,4852,265,48,646,326,173107,30693,15024,158083,5813,24880,20837,182963,141,123,1,932,15.89,159.43,11.06,76.26,50.6821694479096,9.96,15.13,19268,1.62,98.38,191020,12194
"1:69","Sevier",2021-09-08,31,NA,NA,3443,18286,3275,21902,136,17193,17193,2028,1415,NA,NA,1960,1315,25,6,42,94,15744,6158,2028,13716,1588,4570,3616,18286,14,21,0,45,20.03,126.38,8.14,79.1,24.4285465014832,15.85,31.11,3306,0.94,99.06,19658,2071
"1:70","Sharp",2021-09-08,58,NA,NA,2408,27743,2209,30300,140,17043,17043,1505,903,NA,NA,1405,805,38,20,62,78,19564,10736,1505,18059,1054,9682,2559,27741,22,7,0,167,14.13,176.91,12.91,82.15,36.3785718476794,7.99,13.17,2267,2.56,97.44,28355,1796
"1:71","Stone",2021-09-08,38,NA,NA,1489,18094,1399,19646,52,12446,12446,938,551,NA,NA,891,508,30,8,17,35,15400,4246,938,14462,616,3630,1554,18092,3,12,0,57,11.96,157.34,2.41,41.78,13.6590069098506,7.6,5.26,1437,2.64,97.36,15775,3808
"1:72","Union",2021-09-08,121,NA,NA,5062,36849,4731,41412,208,39732,39732,3644,1418,NA,NA,3451,1281,81,40,112,96,30088,11324,3644,26444,1711,9613,5355,36057,22,26,1,61,12.74,105.48,5.54,52.35,28.1888653981677,12.08,36.07,4852,2.49,97.51,35793,6118
"1:73","VanBuren",2021-09-08,35,NA,NA,1904,22394,1797,24481,72,16684,16684,1085,819,NA,NA,1029,768,27,8,29,43,16764,7717,1085,15679,1002,6715,2087,22394,18,10,0,123,11.41,145.64,10.79,43.16,17.3819228002877,7.84,14.63,1832,1.91,98.09,19349,4949
"1:74","Washington",2021-09-08,422,NA,NA,41147,324109,39205,367212,1518,228529,228529,30015,11132,NA,NA,28738,10468,304,118,973,545,299638,67574,30015,269623,13090,54484,43105,324107,196,211,3,1435,18.01,159.83,8.58,66.42,42.5766532912672,11.27,13.66,39627,1.06,98.94,334579,30677
"1:75","White",2021-09-08,167,NA,NA,12058,74909,11437,87642,451,78804,78804,7253,4805,NA,NA,6943,4494,128,39,179,272,63539,24103,7253,56286,5592,18511,12845,74797,35,76,0,145,15.3,110.36,4.44,57.23,22.7145830160906,13.87,24.14,11604,1.44,98.56,64905,22062
"1:76","Woodruff",2021-09-08,19,NA,NA,963,12082,885,13122,59,6660,6660,587,376,NA,NA,551,334,13,6,23,36,10497,2625,587,9910,459,2166,1046,12076,3,6,0,10,14.46,195.87,4.5,88.59,34.5345345345345,7.38,30,904,2.1,97.9,12063,982
"1:77","Yell",2021-09-08,73,NA,NA,4257,41454,3965,45880,218,21573,21573,3494,763,NA,NA,3294,671,54,19,146,72,40174,5706,3494,36680,932,4774,4426,41454,17,20,0,156,19.73,211.89,7.88,101.05,67.6771890789413,9.31,10.9,4038,1.81,98.19,42185,3526
