"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recuperaciones","Total_Tests","Casos_Activos","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","Confirmado_Activo","Probable_Activo","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Nuevos_Casos_Hoy","Recovered_Since_Yesterday","Nuevas_Muertes_Hoy","New_Tests_Dashboard","Cases_Population","Población_Probada","Nuevos_Casos_Hoy_por_cada_10k_Residentes","Casos_Activos_por_cada_10k_Residentes","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Porcentaje_Positivo_de_Novedades_en_el_Tablero","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:2","Arkansas",2021-08-16,48,NA,NA,2845,29410,2575,32417,221,18124,18124,1929,916,NA,NA,1721,854,38,10,169,52,20215,12202,1929,18286,1078,11124,3007,29410,3,21,0,29,15.7,177.97,1.66,121.94,93.2465239461487,8.82,10.34,2623,1.83,98.17,28185,4070
"1:3","Ashley",2021-08-16,38,NA,NA,2371,19759,2196,22207,136,20537,20537,1702,669,NA,NA,1616,580,26,12,59,77,18654,3553,1702,16952,747,2806,2449,19758,5,8,0,75,11.55,107.76,2.43,66.22,28.7286361201733,10.71,6.67,2234,1.7,98.3,19621,2509
"1:4","Baxter",2021-08-16,133,NA,NA,5079,30425,4539,35653,407,41219,41219,3242,1837,NA,NA,2886,1653,99,34,257,150,28348,7305,3242,25106,1986,5319,5228,30425,17,35,0,105,12.32,86.14,4.12,98.74,62.3498871879473,14.31,16.19,4672,2.85,97.15,30554,4950
"1:5","Benton",2021-08-16,472,NA,NA,35193,279691,32959,316419,1760,258980,258980,25664,9529,NA,NA,24277,8682,354,118,1031,729,269208,47211,25664,243544,11081,36130,36745,279674,85,173,4,1031,13.59,121.59,3.28,67.96,39.8100239400726,11.18,8.24,33431,1.41,98.59,294277,20607
"1:6","Boone",2021-08-16,92,NA,NA,5258,46254,4866,51738,300,37288,37288,3700,1558,NA,NA,3419,1447,79,13,202,98,39869,11869,3700,36169,1784,10085,5484,46254,7,42,0,84,14.1,138.15,1.88,80.45,54.1729242651791,10.21,8.33,4958,1.86,98.14,47227,4285
"1:7","Bradley",2021-08-16,34,NA,NA,1681,13674,1599,15428,48,10948,10948,1195,486,NA,NA,1142,457,19,15,34,14,8881,6547,1195,7686,559,5988,1754,13674,2,11,0,25,15.35,140.25,1.83,43.84,31.055900621118,10.95,8,1633,2.08,97.92,12489,2866
"1:8","Calhoun",2021-08-16,5,NA,NA,511,4410,487,4962,19,5202,5202,373,138,NA,NA,357,130,3,2,13,6,4139,823,373,3766,179,644,552,4410,2,6,0,7,9.82,94.6,3.84,36.52,24.9903883121876,10.38,28.57,492,1.02,98.98,4119,802
"1:9","Carroll",2021-08-16,52,NA,NA,3571,27741,3306,31422,213,27887,27887,2880,691,NA,NA,2695,611,47,5,138,75,28651,2771,2880,25771,801,1970,3681,27741,11,29,0,66,12.81,112.28,3.94,76.38,49.4854233155234,11.4,16.67,3358,1.55,98.45,26282,5030
"1:10","Chicot",2021-08-16,42,NA,NA,1745,20411,1646,22199,57,10826,10826,1537,208,NA,NA,1458,188,39,3,40,17,13694,8505,1537,12157,251,8254,1788,20411,1,2,0,181,16.12,204.66,0.92,52.65,36.9480879364493,7.88,0.55,1688,2.49,97.51,19301,2855
"1:11","Clark",2021-08-16,41,NA,NA,2624,35180,2454,37900,127,22385,22385,2171,453,NA,NA,2017,438,34,7,119,8,27050,10850,2171,24879,549,10301,2720,35180,6,13,0,33,11.72,168.88,2.68,56.73,53.1605986151441,6.94,18.18,2495,1.64,98.36,34683,3121
"1:12","Clay",2021-08-16,52,NA,NA,2071,22412,1913,24563,106,15061,15061,1580,491,NA,NA,1463,450,36,16,81,25,16605,7958,1580,15025,571,7387,2151,22412,4,17,0,71,13.75,162.56,2.66,70.38,53.7812894230131,8.46,5.63,1965,2.65,97.35,22552,1931
"1:13","Cleburne",2021-08-16,76,NA,NA,2836,28292,2505,31271,253,25230,25230,1940,896,NA,NA,1722,783,52,24,164,89,22798,8473,1940,20858,1039,7434,2979,28292,1,31,0,49,11.24,123.38,0.4,100.28,65.0019817677368,9.11,2.04,2581,2.94,97.06,29419,1709
"1:14","Cleveland",2021-08-16,29,NA,NA,1213,11345,1121,12616,63,8226,8226,712,501,NA,NA,652,469,22,7,38,25,9028,3588,712,8316,559,3029,1271,11345,4,12,1,15,14.75,152.66,4.86,76.59,46.1949914903963,9.66,26.67,1150,2.52,97.48,7795,4763
