"","County_Name","Date","Nuevos_Casos_Hoy"
"1","Arkansas",2021-05-11,4
"2","Ashley",2021-05-11,0
"3","Baxter",2021-05-11,-1
"4","Benton",2021-05-11,29
"5","Boone",2021-05-11,0
"6","Bradley",2021-05-11,4
"7","Calhoun",2021-05-11,0
"8","Carroll",2021-05-11,2
"9","Chicot",2021-05-11,1
"10","Clark",2021-05-11,4
"11","Clay",2021-05-11,1
"12","Cleburne",2021-05-11,1
"13","Cleveland",2021-05-11,0
"14","Columbia",2021-05-11,0
"15","Conway",2021-05-11,1
"16","Craighead",2021-05-11,10
"17","Crawford",2021-05-11,2
"18","Crittenden",2021-05-11,0
"19","Cross",2021-05-11,0
"20","Dallas",2021-05-11,0
"21","Desha",2021-05-11,0
"22","Drew",2021-05-11,1
"23","Faulkner",2021-05-11,15
"24","Franklin",2021-05-11,1
"25","Fulton",2021-05-11,0
"26","Garland",2021-05-11,4
"27","Grant",2021-05-11,2
"28","Greene",2021-05-11,2
"29","Hempstead",2021-05-11,0
"30","Hot Spring",2021-05-11,4
"31","Howard",2021-05-11,0
"32","Independence",2021-05-11,3
"33","Izard",2021-05-11,0
"34","Jackson",2021-05-11,0
"35","Jefferson",2021-05-11,11
"36","Johnson",2021-05-11,1
"37","Lafayette",2021-05-11,0
"38","Lawrence",2021-05-11,0
"39","Lee",2021-05-11,2
"40","Lincoln",2021-05-11,3
"41","Little River",2021-05-11,0
"42","Logan",2021-05-11,0
"43","Lonoke",2021-05-11,7
"44","Madison",2021-05-11,0
"45","Marion",2021-05-11,0
"46","Miller",2021-05-11,3
"47","Mississippi",2021-05-11,2
"48","Monroe",2021-05-11,0
"49","Montgomery",2021-05-11,0
"50","Nevada",2021-05-11,1
"51","Newton",2021-05-11,1
"52","Ouachita",2021-05-11,0
"53","Perry",2021-05-11,1
"54","Phillips",2021-05-11,1
"55","Pike",2021-05-11,0
"56","Poinsett",2021-05-11,0
"57","Polk",2021-05-11,0
"58","Pope",2021-05-11,3
"59","Prairie",2021-05-11,0
"60","Pulaski",2021-05-11,26
"61","Randolph",2021-05-11,6
"62","Saline",2021-05-11,15
"63","Scott",2021-05-11,0
"64","Searcy",2021-05-11,1
"65","Sebastian",2021-05-11,2
"66","Sevier",2021-05-11,1
"67","Sharp",2021-05-11,2
"68","St. Francis",2021-05-11,0
"69","Stone",2021-05-11,1
"70","Union",2021-05-11,0
"71","Van Buren",2021-05-11,0
"72","Washington",2021-05-11,31
"73","White",2021-05-11,7
"74","Woodruff",2021-05-11,0
"75","Yell",2021-05-11,0
