"","Condado","Nuevas_Muertes_Hoy"
"1:62","Pulaski",7
"1:74","Washington",3
"1:75","White",3
"1:3","Ashley",2
"1:5","Benton",2
"1:24","Faulkner",2
"1:27","Garland",2
"1:41","Lincoln",2
"1:49","Mississippi",2
"1:64","Saline",2
"1:67","Sebastian",2
"1:6","Boone",1
"1:8","Calhoun",1
"1:17","Craighead",1
"1:18","Crawford",1
"1:19","Crittenden",1
"1:25","Franklin",1
"1:29","Greene",1
"1:33","Independence",1
"1:36","Jefferson",1
"1:42","Little River",1
"1:50","Monroe",1
"1:52","Nevada",1
"1:54","Ouachita",1
"1:58","Poinsett",1
"1:70","St. Francis",1
"1:72","Union",1
"1:77","Yell",1
