"","Fecha","Razo_o_Ethnicidad","Nuevos_Casos","Nuevas_Muertes"
"1","2021-05-22","Afroamericano",0,0
"2","2021-05-22","Afroamericano",0,1
"3","2021-05-22","Afroamericano",36,0
"4","2021-05-22","Afroamericano",36,1
"5","2021-05-22","Asiático",0,0
"6","2021-05-22","Asiático",0,0
"7","2021-05-22","Asiático",1,0
"8","2021-05-22","Asiático",1,0
"9","2021-05-22","Hispano",0,0
"10","2021-05-22","Hispano",0,1
"11","2021-05-22","Hispano",24,0
"12","2021-05-22","Hispano",24,1
"13","2021-05-22","Multirracial",0,0
"14","2021-05-22","Multirracial",0,0
"15","2021-05-22","Multirracial",1,0
"16","2021-05-22","Multirracial",1,0
"17","2021-05-22","Nativo_Americano",0,0
"18","2021-05-22","Nativo_Americano",0,0
"19","2021-05-22","Nativo_Americano",2,0
"20","2021-05-22","Nativo_Americano",2,0
"21","2021-05-22","Otro",NA,NA
"22","2021-05-22","Otro",NA,NA
"23","2021-05-22","Otro",NA,NA
"24","2021-05-22","Otro",NA,NA
"25","2021-05-22","Race_Or_Ethnicity_Unknown",NA,NA
"26","2021-05-22","Race_Or_Ethnicity_Unknown",NA,NA
"27","2021-05-22","Race_Or_Ethnicity_Unknown",NA,NA
"28","2021-05-22","Race_Or_Ethnicity_Unknown",NA,NA
"29","2021-05-22","Blanco",0,0
"30","2021-05-22","Blanco",0,4
"31","2021-05-22","Blanco",134,0
"32","2021-05-22","Blanco",134,4
