"","Fecha","Razo o Ethnicidad","Nuevos_Casos"
"1","2021-05-22","Nuevos_Casos_Afroamericano",0
"2","2021-05-22","Nuevos_Casos_Afroamericano",36
"3","2021-05-22","Nuevos_Casos_Asiático",0
"4","2021-05-22","Nuevos_Casos_Asiático",1
"5","2021-05-22","Nuevos_Casos_Hispano",0
"6","2021-05-22","Nuevos_Casos_Hispano",24
"7","2021-05-22","Nuevos_Casos_Multirracial",0
"8","2021-05-22","Nuevos_Casos_Multirracial",1
"9","2021-05-22","Nuevos_Casos_Nativo_Americano",0
"10","2021-05-22","Nuevos_Casos_Nativo_Americano",2
"11","2021-05-22","Nuevos_Casos_Blanco",0
"12","2021-05-22","Nuevos_Casos_Blanco",134
