"","Fecha","Razo o Ethnicidad","Nuevas_Muertes"
"1","2021-05-22","Nuevas_Muertes_Afroamericano",0
"2","2021-05-22","Nuevas_Muertes_Afroamericano",1
"3","2021-05-22","Nuevas_Muertes_Asiático",0
"4","2021-05-22","Nuevas_Muertes_Asiático",0
"5","2021-05-22","Nuevas_Muertes_Hispano",0
"6","2021-05-22","Nuevas_Muertes_Hispano",1
"7","2021-05-22","Nuevas_Muertes_Multirracial",0
"8","2021-05-22","Nuevas_Muertes_Multirracial",0
"9","2021-05-22","Nuevas_Muertes_Nativo_Americano",0
"10","2021-05-22","Nuevas_Muertes_Nativo_Americano",0
"11","2021-05-22","Nuevas_Muertes_Blanco",0
"12","2021-05-22","Nuevas_Muertes_Blanco",4
