"","Semana","Casos_Todos_Semana","Year","Comienzo_de_la_Semana"
"1",49,2094,"2021",2021-12-06
"2",48,5769,"2021",2021-11-29
"3",47,3417,"2021",2021-11-22
"4",46,4410,"2021",2021-11-15
"5",45,3515,"2021",2021-11-08
"6",44,3030,"2021",2021-11-01
"7",43,2970,"2021",2021-10-25
"8",42,3289,"2021",2021-10-18
"9",41,4084,"2021",2021-10-11
"10",40,4810,"2021",2021-10-04
"11",39,5412,"2021",2021-09-27
"12",38,7594,"2021",2021-09-20
"13",37,10055,"2021",2021-09-13
"14",36,11206,"2021",2021-09-06
"15",35,14412,"2021",2021-08-30
"16",34,14127,"2021",2021-08-23
"17",33,15449,"2021",2021-08-16
"18",32,15530,"2021",2021-08-09
"19",31,15841,"2021",2021-08-02
"20",30,13086,"2021",2021-07-26
"21",29,10761,"2021",2021-07-19
"22",28,7404,"2021",2021-07-12
"23",27,5598,"2021",2021-07-05
"24",26,3643,"2021",2021-06-28
"25",25,2339,"2021",2021-06-21
"26",24,1641,"2021",2021-06-14
"27",23,1531,"2021",2021-06-07
"28",22,1082,"2021",2021-05-31
"29",21,1214,"2021",2021-05-24
"30",20,1355,"2021",2021-05-17
"31",19,1272,"2021",2021-05-10
"32",18,1405,"2021",2021-05-03
"33",17,1399,"2021",2021-04-26
"34",16,1254,"2021",2021-04-19
"35",15,1299,"2021",2021-04-12
"36",14,1099,"2021",2021-04-05
"37",13,1125,"2021",2021-03-29
"38",12,1274,"2021",2021-03-22
"39",11,1712,"2021",2021-03-15
"40",10,2125,"2021",2021-03-08
"41",9,2403,"2021",2021-03-01
"42",8,6901,"2021",2021-02-22
"43",7,2486,"2021",2021-02-15
"44",6,6292,"2021",2021-02-08
"45",5,11468,"2021",2021-02-01
"46",4,11202,"2021",2021-01-25
"47",3,12912,"2021",2021-01-18
"48",2,16078,"2021",2021-01-11
"49",53,18598,"2020",2020-12-28
"50",52,13227,"2020",2020-12-21
"51",51,15948,"2020",2020-12-14
"52",50,14778,"2020",2020-12-07
"53",49,14677,"2020",2020-11-30
"54",48,11074,"2020",2020-11-23
"55",47,12133,"2020",2020-11-16
"56",46,11174,"2020",2020-11-09
"57",45,8809,"2020",2020-11-02
"58",44,6942,"2020",2020-10-26
"59",43,7049,"2020",2020-10-19
"60",42,6233,"2020",2020-10-12
"61",41,5820,"2020",2020-10-05
"62",40,5771,"2020",2020-09-28
"63",39,5519,"2020",2020-09-21
"64",38,5504,"2020",2020-09-14
"65",37,4295,"2020",2020-09-07
"66",36,4690,"2020",2020-08-31
"67",35,4282,"2020",2020-08-24
"68",34,3909,"2020",2020-08-17
"69",33,4533,"2020",2020-08-10
"70",32,5573,"2020",2020-08-03
"71",31,5187,"2020",2020-07-27
"72",30,5395,"2020",2020-07-20
"73",29,4861,"2020",2020-07-13
"74",28,4553,"2020",2020-07-06
"75",27,3996,"2020",2020-06-29
"76",26,4257,"2020",2020-06-22
"77",25,3060,"2020",2020-06-15
"78",24,3075,"2020",2020-06-08
"79",23,2173,"2020",2020-06-01
"80",22,1331,"2020",2020-05-25
"81",21,1163,"2020",2020-05-18
"82",20,747,"2020",2020-05-11
"83",19,581,"2020",2020-05-04
"84",18,490,"2020",2020-04-27
"85",17,1160,"2020",2020-04-20
"86",16,501,"2020",2020-04-13
"87",15,450,"2020",2020-04-06
"88",14,404,"2020",2020-03-30
"89",13,42,"2020",2020-03-23
