date,detail,sub_detail,en_espanol,cases,new.cases,deaths,new.deaths,total state population,pct state population,"Cases per 10,000","Deaths per 10,000"
9/10/2020,Age,0-17,,8450,50,0,0,,,,
9/10/2020,Age,18-24,,9995,122,1,0,,,,
9/10/2020,Age,25-44,,23032,93,44,1,,,,
9/10/2020,Age,45-64,,17240,70,220,2,,,,
9/10/2020,Age,65+,,8087,63,675,9,,,,
9/10/2020,Facility Type,Broader Community,Comunidad más amplia,55818,347,573,7,,,,
9/10/2020,Facility Type,Corrections,Intalación correccional,7361,5,39,1,,,,
9/10/2020,Facility Type,Nursing Home,Asilo de ancianos,3625,46,328,4,,,,
9/10/2020,Gender,Female,Mujeres,32454,205,NA,NA,,,,
9/10/2020,Gender,Gender Unknown,Género desconocidos,275,-2,NA,NA,,,,
9/10/2020,Gender,Male,Hombres,34075,167,NA,NA,,,,
9/10/2020,Race or Ethnicity,African American,Afroamericano,14867,130,216,4,473795,15.70%,313.7854979,4.558933716
9/10/2020,Race or Ethnicity,Asian,Asiático,889,33,13,2,51303,1.70%,173.2842134,2.533964875
9/10/2020,Race or Ethnicity,Hispanic,Hispano,13845,40,75,0,232371,7.70%,595.8144519,3.227597248
9/10/2020,Race or Ethnicity,Multi-Racial,Multirracial,545,18,7,0,66392,2.20%,82.0882034,1.054343897
9/10/2020,Race or Ethnicity,Native American,Nativo Americano,213,4,3,0,30178,1.00%,70.58121811,0.9941016635
9/10/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2379,5,46,0,12071,0.40%,1970.839201,38.10786182
9/10/2020,Race or Ethnicity,White,Blanco,37740,340,599,5,2387083,79.10%,158.1009123,2.509338804
9/9/2020,Age,0-17,,8400,38,0,0,,,,
9/9/2020,Age,18-24,,9873,99,1,0,,,,
9/9/2020,Age,25-44,,22939,109,43,1,,,,
9/9/2020,Age,45-64,,17170,93,218,2,,,,
9/9/2020,Age,65+,,8024,46,666,8,,,,
9/9/2020,Facility Type,Broader Community,Comunidad más amplia,55471,340,566,4,,,,
9/9/2020,Facility Type,Corrections,Intalación correccional,7356,12,38,0,,,,
9/9/2020,Facility Type,Nursing Home,Asilo de ancianos,3579,33,324,7,,,,
9/9/2020,Gender,Female,Mujeres,32249,212,NA,NA,,,,
9/9/2020,Gender,Gender Unknown,Género desconocidos,277,6,NA,NA,,,,
9/9/2020,Gender,Male,Hombres,33880,167,NA,NA,,,,
9/9/2020,Race or Ethnicity,African American,Afroamericano,14737,138,212,6,473795,15.70%,311.0416952,4.474509018
9/9/2020,Race or Ethnicity,Asian,Asiático,856,2,11,0,51303,1.70%,166.851841,2.144124125
9/9/2020,Race or Ethnicity,Hispanic,Hispano,13805,45,75,1,232371,7.70%,594.0930667,3.227597248
9/9/2020,Race or Ethnicity,Multi-Racial,Multirracial,527,5,7,0,66392,2.20%,79.37703338,1.054343897
9/9/2020,Race or Ethnicity,Native American,Nativo Americano,209,2,3,0,30178,1.00%,69.25574922,0.9941016635
9/9/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2374,2,46,0,12071,0.40%,1966.697042,38.10786182
9/9/2020,Race or Ethnicity,White,Blanco,37400,443,594,19,2387083,79.10%,156.6765797,2.488392737
9/8/2020,Age,0-17,,8362,31,0,0,,,,
9/8/2020,Age,18-24,,9774,64,1,0,,,,
9/8/2020,Age,25-44,,22830,65,42,0,,,,
9/8/2020,Age,45-64,,17077,75,216,5,,,,
9/8/2020,Age,65+,,7978,59,658,4,,,,
9/8/2020,Facility Type,Broader Community,Comunidad más amplia,55131,217,562,8,,,,
9/8/2020,Facility Type,Corrections,Intalación correccional,7344,3,38,0,,,,
9/8/2020,Facility Type,Nursing Home,Asilo de ancianos,3546,74,317,1,,,,
9/8/2020,Gender,Female,Mujeres,32037,175,NA,NA,,,,
9/8/2020,Gender,Gender Unknown,Género desconocidos,271,-1,NA,NA,,,,
9/8/2020,Gender,Male,Hombres,33713,120,NA,NA,,,,
9/8/2020,Race or Ethnicity,African American,Afroamericano,14599,73,206,1,473795,15.70%,308.1290432,4.34787197
9/8/2020,Race or Ethnicity,Asian,Asiático,854,1,11,0,51303,1.70%,166.4620003,2.144124125
9/8/2020,Race or Ethnicity,Hispanic,Hispano,13760,44,74,2,232371,7.70%,592.1565083,3.184562618
9/8/2020,Race or Ethnicity,Multi-Racial,Multirracial,522,0,7,0,66392,2.20%,78.62393059,1.054343897
9/8/2020,Race or Ethnicity,Native American,Nativo Americano,207,3,3,0,30178,1.00%,68.59301478,0.9941016635
9/8/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2372,0,46,0,12071,0.40%,1965.040179,38.10786182
9/8/2020,Race or Ethnicity,White,Blanco,36957,281,575,5,2387083,79.10%,154.8207582,2.408797683
9/7/2020,Age,0-17,,8331,58,0,0,,,,
9/7/2020,Age,18-24,,9710,83,1,0,,,,
9/7/2020,Age,25-44,,22765,81,42,0,,,,
9/7/2020,Age,45-64,,17002,60,211,1,,,,
9/7/2020,Age,65+,,7919,68,654,13,,,,
9/7/2020,Facility Type,Broader Community,Comunidad más amplia,54914,318,554,9,,,,
9/7/2020,Facility Type,Corrections,Intalación correccional,7341,8,38,0,,,,
9/7/2020,Facility Type,Nursing Home,Asilo de ancianos,3472,24,316,5,,,,
9/7/2020,Gender,Female,Mujeres,31862,182,NA,NA,,,,
9/7/2020,Gender,Gender Unknown,Género desconocidos,272,10,NA,NA,,,,
9/7/2020,Gender,Male,Hombres,33593,158,NA,NA,,,,
9/7/2020,Race or Ethnicity,African American,Afroamericano,14526,87,205,0,473795,15.70%,306.5882924,4.326765795
9/7/2020,Race or Ethnicity,Asian,Asiático,853,3,11,0,51303,1.70%,166.2670799,2.144124125
9/7/2020,Race or Ethnicity,Hispanic,Hispano,13716,30,72,1,232371,7.70%,590.2629846,3.098493358
9/7/2020,Race or Ethnicity,Multi-Racial,Multirracial,522,1,7,0,66392,2.20%,78.62393059,1.054343897
9/7/2020,Race or Ethnicity,Native American,Nativo Americano,204,1,3,0,30178,1.00%,67.59891312,0.9941016635
9/7/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2372,0,46,0,12071,0.40%,1965.040179,38.10786182
9/7/2020,Race or Ethnicity,White,Blanco,36676,201,570,13,2387083,79.10%,153.6435893,2.387851616
9/6/2020,Age,0-17,,8273,90,0,0,,,,
9/6/2020,Age,18-24,,9627,154,1,0,,,,
9/6/2020,Age,25-44,,22684,200,42,0,,,,
9/6/2020,Age,45-64,,16942,150,210,3,,,,
9/6/2020,Age,65+,,7851,93,641,9,,,,
9/6/2020,Facility Type,Broader Community,Comunidad más amplia,54596,659,545,3,,,,
9/6/2020,Facility Type,Corrections,Intalación correccional,7333,10,38,0,,,,
9/6/2020,Facility Type,Nursing Home,Asilo de ancianos,3448,18,311,9,,,,
9/6/2020,Gender,Female,Mujeres,31680,372,NA,NA,,,,
9/6/2020,Gender,Gender Unknown,Género desconocidos,262,14,NA,NA,,,,
9/6/2020,Gender,Male,Hombres,33435,301,NA,NA,,,,
9/6/2020,Race or Ethnicity,African American,Afroamericano,14439,126,205,1,473795,15.70%,304.7520552,4.326765795
9/6/2020,Race or Ethnicity,Asian,Asiático,850,3,11,0,51303,1.70%,165.6823188,2.144124125
9/6/2020,Race or Ethnicity,Hispanic,Hispano,13686,62,71,0,232371,7.70%,588.9719457,3.055458728
9/6/2020,Race or Ethnicity,Multi-Racial,Multirracial,521,-1,7,0,66392,2.20%,78.47331004,1.054343897
9/6/2020,Race or Ethnicity,Native American,Nativo Americano,203,2,3,0,30178,1.00%,67.26754589,0.9941016635
9/6/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2372,-1,46,0,12071,0.40%,1965.040179,38.10786182
9/6/2020,Race or Ethnicity,White,Blanco,36475,317,557,10,2387083,79.10%,152.8015574,2.333391843
9/5/2020,Age,0-17,,8183,73,0,0,,,,
9/5/2020,Age,18-24,,9473,207,1,0,,,,
9/5/2020,Age,25-44,,22484,99,42,0,,,,
9/5/2020,Age,45-64,,16792,79,207,1,,,,
9/5/2020,Age,65+,,7758,57,632,8,,,,
9/5/2020,Facility Type,Broader Community,Comunidad más amplia,53937,451,542,2,,,,
9/5/2020,Facility Type,Corrections,Intalación correccional,7323,30,38,0,,,,
9/5/2020,Facility Type,Nursing Home,Asilo de ancianos,3430,34,302,7,,,,
9/5/2020,Gender,Female,Mujeres,31308,291,NA,NA,,,,
9/5/2020,Gender,Gender Unknown,Género desconocidos,248,1,NA,NA,,,,
9/5/2020,Gender,Male,Hombres,33134,223,NA,NA,,,,
9/5/2020,Race or Ethnicity,African American,Afroamericano,14313,145,204,0,473795,15.70%,302.0926772,4.305659621
9/5/2020,Race or Ethnicity,Asian,Asiático,847,8,11,0,51303,1.70%,165.0975576,2.144124125
9/5/2020,Race or Ethnicity,Hispanic,Hispano,13624,61,71,1,232371,7.70%,586.3037987,3.055458728
9/5/2020,Race or Ethnicity,Multi-Racial,Multirracial,522,4,7,0,66392,2.20%,78.62393059,1.054343897
9/5/2020,Race or Ethnicity,Native American,Nativo Americano,201,1,3,0,30178,1.00%,66.60481145,0.9941016635
9/5/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2373,1,46,0,12071,0.40%,1965.868611,38.10786182
9/5/2020,Race or Ethnicity,White,Blanco,36158,429,547,4,2387083,79.10%,151.4735767,2.291499709
9/4/2020,Age,0-17,,8110,93,0,0,,,,
9/4/2020,Age,18-24,,9266,369,1,0,,,,
9/4/2020,Age,25-44,,22385,228,42,0,,,,
9/4/2020,Age,45-64,,16713,222,206,2,,,,
9/4/2020,Age,65+,,7701,182,624,10,,,,
9/4/2020,Facility Type,Broader Community,Comunidad más amplia,53486,940,540,10,,,,
9/4/2020,Facility Type,Corrections,Intalación correccional,7293,123,38,0,,,,
9/4/2020,Facility Type,Nursing Home,Asilo de ancianos,3396,31,295,2,,,,
9/4/2020,Gender,Female,Mujeres,31017,542,NA,NA,,,,
9/4/2020,Gender,Gender Unknown,Género desconocidos,247,22,NA,NA,,,,
9/4/2020,Gender,Male,Hombres,32911,530,NA,NA,,,,
9/4/2020,Race or Ethnicity,African American,Afroamericano,14168,185,204,4,473795,15.70%,299.0322819,4.305659621
9/4/2020,Race or Ethnicity,Asian,Asiático,839,8,11,0,51303,1.70%,163.5381946,2.144124125
9/4/2020,Race or Ethnicity,Hispanic,Hispano,13563,51,70,0,232371,7.70%,583.6786862,3.012424098
9/4/2020,Race or Ethnicity,Multi-Racial,Multirracial,518,2,7,0,66392,2.20%,78.02144837,1.054343897
9/4/2020,Race or Ethnicity,Native American,Nativo Americano,200,4,3,0,30178,1.00%,66.27344423,0.9941016635
9/4/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2372,1,46,0,12071,0.40%,1965.040179,38.10786182
9/4/2020,Race or Ethnicity,White,Blanco,35729,621,543,6,2387083,79.10%,149.6764042,2.274742856
9/3/2020,Age,0-17,,8017,119,0,0,,,,
9/3/2020,Age,18-24,,8897,342,1,0,,,,
9/3/2020,Age,25-44,,22157,235,42,1,,,,
9/3/2020,Age,45-64,,16491,167,204,2,,,,
9/3/2020,Age,65+,,7519,106,614,17,,,,
9/3/2020,Facility Type,Broader Community,Comunidad más amplia,52546,923,530,11,,,,
9/3/2020,Facility Type,Corrections,Intalación correccional,7170,23,38,0,,,,
9/3/2020,Facility Type,Nursing Home,Asilo de ancianos,3365,23,293,9,,,,
9/3/2020,Gender,Female,Mujeres,30475,549,NA,NA,,,,
9/3/2020,Gender,Gender Unknown,Género desconocidos,225,21,NA,NA,,,,
9/3/2020,Gender,Male,Hombres,32381,399,NA,NA,,,,
9/3/2020,Race or Ethnicity,African American,Afroamericano,13983,119,200,0,473795,15.70%,295.1276396,4.221234922
9/3/2020,Race or Ethnicity,Asian,Asiático,831,8,11,0,51303,1.70%,161.9788316,2.144124125
9/3/2020,Race or Ethnicity,Hispanic,Hispano,13512,81,70,4,232371,7.70%,581.4839201,3.012424098
9/3/2020,Race or Ethnicity,Multi-Racial,Multirracial,516,3,7,-1,66392,2.20%,77.72020725,1.054343897
9/3/2020,Race or Ethnicity,Native American,Nativo Americano,196,5,3,0,30178,1.00%,64.94797535,0.9941016635
9/3/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2371,2,46,0,12071,0.40%,1964.211747,38.10786182
9/3/2020,Race or Ethnicity,White,Blanco,35108,457,537,11,2387083,79.10%,147.0749027,2.249607575
9/2/2020,Age,0-17,,7898,66,0,0,,,,
9/2/2020,Age,18-24,,8555,209,1,1,,,,
9/2/2020,Age,25-44,,21922,130,41,2,,,,
9/2/2020,Age,45-64,,16324,128,202,10,,,,
9/2/2020,Age,65+,,7413,82,597,14,,,,
9/2/2020,Facility Type,Broader Community,Comunidad más amplia,51623,525,519,22,,,,
9/2/2020,Facility Type,Corrections,Intalación correccional,7147,16,38,0,,,,
9/2/2020,Facility Type,Nursing Home,Asilo de ancianos,3342,74,284,5,,,,
9/2/2020,Gender,Female,Mujeres,29926,362,NA,NA,,,,
9/2/2020,Gender,Gender Unknown,Género desconocidos,204,6,NA,NA,,,,
9/2/2020,Gender,Male,Hombres,31982,247,NA,NA,,,,
9/2/2020,Race or Ethnicity,African American,Afroamericano,13864,123,200,3,473795,15.70%,292.6160048,4.221234922
9/2/2020,Race or Ethnicity,Asian,Asiático,823,5,11,0,51303,1.70%,160.4194686,2.144124125
9/2/2020,Race or Ethnicity,Hispanic,Hispano,13431,83,66,1,232371,7.70%,577.9981151,2.840285578
9/2/2020,Race or Ethnicity,Multi-Racial,Multirracial,513,5,8,0,66392,2.20%,77.26834558,1.204964454
9/2/2020,Race or Ethnicity,Native American,Nativo Americano,191,2,3,0,30178,1.00%,63.29113924,0.9941016635
9/2/2020,Race or Ethnicity,Pacific Islander,Oriundo de las Islas del Océano Pacífico,2369,1,46,5,12071,0.40%,1962.554884,38.10786182
9/2/2020,Race or Ethnicity,White,Blanco,34651,427,526,14,2387083,79.10%,145.1604322,2.203526228
9/1/2020,Age,0-17,,7832,45,0,0,,,,
9/1/2020,Age,18-24,,8346,55,0,0,,,,
9/1/2020,Age,25-44,,21792,76,39,0,,,,
9/1/2020,Age,45-64,,16196,66,192,3,,,,
9/1/2020,Age,65+,,7331,31,583,14,,,,
9/1/2020,Facility Type,Broader Community,Comunidad más amplia,51098,231,497,12,,,,
9/1/2020,Facility Type,Corrections,Intalación correccional,7131,15,38,1,,,,
