County_Name,Population,Fully_Vax,White,White_Pct_Pop,White_Full_Pct,White_Vax_Pop,Black,Black_Pct_Pop,Black_Full_Pct,Black_Vax_Pop,Ratio_White_Black,Hispanic,Hispanic_Pct_Pop,Hispanic_Full_Vax,Ratio_White_Hispanic,Asian,Asian_Pct_Pop,Asian_Full_Pct,Ratio_White_Asian,Ratio_Hispanic_White,Ratio_Black_White,Date
Arkansas,14786,6310,10921,73.86,42.1,4598,3680,24.89,30.7,1130,1.37,416,2.81,46.6,0.9,132,0.89,13.2,3.19,1.11,0.73,2021-07-28
Ashley,16780,6103,12434,74.1,32.1,3991,4148,24.72,39.2,1626,0.82,863,5.14,49.9,0.64,62,0.37,2.9,11.07,1.55,1.22,2021-07-28
Baxter,37221,12597,36473,97.99,30.1,10978,219,0.59,14.6,32,2.06,867,2.33,33.1,0.91,216,0.58,9.6,3.14,1.1,0.49,2021-07-28
Benton,231247,96795,209957,90.79,34.8,73065,5105,2.21,29,1480,1.2,36396,15.74,43.1,0.81,11467,4.96,10.9,3.19,1.24,0.83,2021-07-28
Boone,31850,9203,31101,97.65,26.3,8180,194,0.61,16,31,1.64,771,2.42,70.6,0.37,242,0.76,4.8,5.48,2.68,0.61,2021-07-28
Bradley,9068,4209,6344,69.96,39.8,2525,2522,27.81,44.6,1125,0.89,1271,14.02,30.6,1.3,54,0.6,8.1,4.91,0.77,1.12,2021-07-28
Calhoun,4546,1185,3504,77.08,24.1,844,997,21.93,23,229,1.05,165,3.63,7.3,3.3,13,0.29,0,Inf,0.3,0.95,2021-07-28
Carroll,24422,8118,23061,94.43,27.3,6296,252,1.03,8.7,22,3.14,3290,13.47,25.3,1.08,747,3.06,7.7,3.55,0.93,0.32,2021-07-28
Chicot,8680,3367,3917,45.13,33.6,1316,4645,53.51,35.7,1658,0.94,462,5.32,39.2,0.86,69,0.79,12.2,2.75,1.17,1.06,2021-07-28
Clark,19472,7497,14432,74.12,37.3,5383,4764,24.47,34.3,1634,1.09,814,4.18,36.6,1.02,154,0.79,10.7,3.49,0.98,0.92,2021-07-28
Clay,12543,4543,12307,98.12,32.7,4024,124,0.99,19.4,24,1.69,251,2,13.5,2.42,40,0.32,1.4,23.36,0.41,0.59,2021-07-28
Cleburne,21965,7631,21504,97.9,31.1,6688,144,0.66,17.4,25,1.79,487,2.22,23.6,1.32,140,0.64,9,3.46,0.76,0.56,2021-07-28
Cleveland,6927,2740,6064,87.54,37.9,2298,807,11.65,41.3,333,0.92,150,2.17,20,1.9,20,0.29,5.6,6.77,0.53,1.09,2021-07-28
Columbia,20211,6179,12707,62.87,28.5,3621,7178,35.52,27.5,1974,1.04,494,2.44,43.1,0.66,201,0.99,5.6,5.09,1.51,0.96,2021-07-28
Conway,17726,7738,15361,86.66,39.5,6068,2126,11.99,41.7,887,0.95,629,3.55,42.9,0.92,91,0.51,10.1,3.91,1.09,1.06,2021-07-28
Craighead,91830,31167,75610,82.34,33.4,25254,14407,15.69,19.2,2766,1.74,4137,4.51,23,1.45,1283,1.4,10.6,3.15,0.69,0.57,2021-07-28
Crawford,53333,16308,49762,93.3,27.3,13585,1060,1.99,19.1,202,1.43,3978,7.46,19.5,1.4,977,1.83,5.7,4.79,0.71,0.7,2021-07-28
Crittenden,39319,10926,17933,45.61,25.4,4555,20914,53.19,23.8,4978,1.07,922,2.34,24.6,1.03,327,0.83,17.2,1.48,0.97,0.94,2021-07-28
Cross,13912,5248,10507,75.52,35.7,3751,3223,23.17,35.7,1151,1,256,1.84,29.3,1.22,118,0.85,7.8,4.58,0.82,1,2021-07-28
Dallas,6069,2641,3530,58.16,41.5,1465,2480,40.86,41.2,1022,1.01,202,3.33,22.3,1.86,18,0.3,4.9,8.47,0.54,0.99,2021-07-28
Desha,9520,4014,4909,51.57,43.1,2116,4494,47.21,34.6,1555,1.25,559,5.87,37.7,1.14,77,0.81,20,2.16,0.87,0.8,2021-07-28
Drew,15607,5826,11035,70.71,34,3752,4382,28.08,34.9,1529,0.97,527,3.38,37.2,0.91,113,0.72,10.4,3.27,1.09,1.03,2021-07-28
Faulkner,107247,43034,91649,85.46,37.3,34185,13041,12.16,31.2,4069,1.2,3950,3.68,27.7,1.35,1733,1.62,10.2,3.66,0.74,0.84,2021-07-28
Franklin,15200,5774,14561,95.8,36,5242,196,1.29,13.8,27,2.61,458,3.01,21.8,1.65,206,1.36,7.6,4.74,0.61,0.38,2021-07-28
Fulton,10804,2402,10560,97.74,20.5,2165,113,1.05,5.3,6,3.87,176,1.63,15.9,1.29,43,0.4,3.4,6.03,0.78,0.26,2021-07-28
Garland,86444,31238,77240,89.35,34.4,26571,7498,8.67,22.8,1710,1.51,4320,5,28.5,1.21,905,1.05,10.2,3.37,0.83,0.66,2021-07-28
Grant,15720,5345,15090,95.99,32.9,4965,460,2.93,28.9,133,1.14,411,2.61,24.8,1.33,86,0.55,9.5,3.46,0.75,0.88,2021-07-28
Greene,38118,12853,36942,96.91,31.3,11563,652,1.71,17.8,116,1.76,989,2.59,23.4,1.34,277,0.73,4.9,6.39,0.75,0.57,2021-07-28
Hempstead,17816,4068,12042,67.59,18.2,2192,5509,30.92,20.9,1151,0.87,1998,11.21,20.2,0.9,135,0.76,17.7,1.03,1.11,1.15,2021-07-28
Hot Spring,29427,9626,25615,87.05,31.4,8043,3437,11.68,30.6,1052,1.03,930,3.16,26.1,1.2,163,0.55,9.4,3.34,0.83,0.97,2021-07-28
Howard,10888,4078,8344,76.63,32.2,2687,2312,21.23,33.7,779,0.96,1214,11.15,20.5,1.57,87,0.8,13.1,2.46,0.64,1.05,2021-07-28
Independence,31722,9786,30267,95.41,29.7,8989,838,2.64,17.8,149,1.67,1726,5.44,20.6,1.44,371,1.17,8.9,3.34,0.69,0.6,2021-07-28
Izard,12084,3163,11608,96.06,25.1,2914,310,2.57,2.9,9,8.66,291,2.41,9.6,2.61,64,0.53,5.9,4.25,0.38,0.12,2021-07-28
Jackson,14500,4297,11737,80.94,29.8,3498,2545,17.55,20.6,524,1.45,386,2.66,25.1,1.19,106,0.73,8,3.72,0.84,0.69,2021-07-28
Jefferson,57304,16377,23929,41.76,31.4,7514,32546,56.8,23.7,7713,1.32,1075,1.88,29.9,1.05,581,1.01,17.3,1.82,0.95,0.75,2021-07-28
Johnson,22287,7243,20841,93.51,27.9,5815,538,2.41,26.6,143,1.05,2845,12.77,31.5,0.89,597,2.68,7.1,3.93,1.13,0.95,2021-07-28
Lafayette,5854,1450,3683,62.91,21.4,788,2102,35.91,28.6,601,0.75,148,2.53,15.5,1.38,35,0.6,8.8,2.43,0.72,1.34,2021-07-28
Lawrence,14051,4660,13708,97.56,32.1,4400,200,1.42,19,38,1.69,208,1.48,28.4,1.13,48,0.34,5.3,6.06,0.88,0.59,2021-07-28
Lee,7777,2062,3532,45.42,23.8,841,4152,53.39,24.2,1005,0.98,179,2.3,22.9,1.04,47,0.6,6.5,3.66,0.96,1.02,2021-07-28
Lincoln,11689,2905,7896,67.55,27.3,2156,3692,31.59,15.6,576,1.75,459,3.93,24.4,1.12,45,0.38,5.4,5.06,0.89,0.57,2021-07-28
Little River,10486,2378,8131,77.54,19.5,1586,2118,20.2,20.2,428,0.97,330,3.15,39.4,0.49,56,0.53,4.4,4.43,2.02,1.04,2021-07-28
Logan,18547,6356,17543,94.59,32.4,5684,339,1.83,21.2,72,1.53,508,2.74,35.8,0.91,444,2.39,10.9,2.97,1.1,0.65,2021-07-28
Lonoke,61242,22703,55989,91.42,33.2,18588,4012,6.55,33.6,1348,0.99,2526,4.12,31.1,1.07,758,1.24,8.9,3.73,0.94,1.01,2021-07-28
Madison,14093,4370,13500,95.79,27.9,3766,153,1.09,9.8,15,2.85,753,5.34,40.9,0.68,173,1.23,8.6,3.24,1.47,0.35,2021-07-28
Marion,14723,3815,14375,97.64,22.7,3263,107,0.73,6.5,7,3.49,317,2.15,30.6,0.74,79,0.54,3.7,6.14,1.35,0.29,2021-07-28
