"","county","Partial_Vax","Partial_Pct","Full_Vax","Full_Pct","Unknown_Dose","Unknown_Pct","population","date"
"1","Arkansas",1102,7.71,5145,36.02,0,0,14285,2021-05-04
"2","Ashley",1339,8.37,4390,27.43,3,0.02,16004,2021-05-04
"3","Baxter",2559,7.29,9520,27.14,3,0.01,35079,2021-05-04
"4","Benton",23987,11.81,63149,31.08,6,0,203159,2021-05-04
"5","Boone",2268,7.68,6990,23.66,7,0.02,29544,2021-05-04
"6","Bradley",802,9.38,3046,35.62,0,0,8551,2021-05-04
"7","Calhoun",160,3.68,960,22.07,0,0,4350,2021-05-04
"8","Carroll",1747,7.74,6326,28.04,6,0.03,22563,2021-05-04
"9","Chicot",601,7.04,2632,30.82,15,0.18,8541,2021-05-04
"10","Clark",1201,6.44,5888,31.58,0,0,18643,2021-05-04
"11","Clay",671,5.58,3712,30.89,3,0.02,12016,2021-05-04
"12","Cleburne",1513,7.22,5732,27.37,0,0,20944,2021-05-04
"13","Cleveland",357,5.5,2311,35.63,0,0,6487,2021-05-04
"14","Columbia",1676,8.63,4689,24.13,3,0.02,19430,2021-05-04
"15","Conway",1257,7.65,5977,36.4,0,0,16421,2021-05-04
"16","Craighead",8124,9.73,24376,29.18,28,0.03,83529,2021-05-04
"17","Crawford",3314,6.75,11390,23.2,6,0.01,49100,2021-05-04
"18","Crittenden",2911,7.92,7485,20.37,0,0,36753,2021-05-04
"19","Cross",1154,8.63,4118,30.81,6,0.04,13365,2021-05-04
"20","Dallas",366,6.11,2167,36.2,0,0,5986,2021-05-04
"21","Desha",885,9.77,3164,34.95,6,0.07,9054,2021-05-04
"22","Drew",1074,7.24,4611,31.1,0,0,14825,2021-05-04
"23","Faulkner",8112,8.28,32681,33.34,3,0,98015,2021-05-04
"24","Franklin",832,5.92,4566,32.48,0,0,14060,2021-05-04
"25","Fulton",484,4.81,1800,17.87,0,0,10072,2021-05-04
"26","Garland",7884,9.71,24434,30.11,6,0.01,81156,2021-05-04
"27","Grant",979,6.75,3835,26.45,0,0,14499,2021-05-04
"28","Greene",2568,7.28,10080,28.58,4,0.01,35266,2021-05-04
"29","Hempstead",1332,7.91,2565,15.23,11,0.07,16840,2021-05-04
"30","Hot Spring",1691,6.14,7302,26.51,6,0.02,27540,2021-05-04
"31","Howard",616,6.01,3232,31.52,0,0,10253,2021-05-04
"32","Independence",1872,6.36,6638,22.55,4,0.01,29431,2021-05-04
"33","Izard",710,6.23,2340,20.54,3,0.03,11394,2021-05-04
"34","Jackson",841,6.02,3556,25.46,3,0.02,13969,2021-05-04
"35","Jefferson",6045,10.84,11735,21.05,0,0,55752,2021-05-04
"36","Johnson",1192,5.77,5451,26.37,0,0,20675,2021-05-04
"37","Lafayette",236,4.19,1132,20.08,0,0,5638,2021-05-04
"38","Lawrence",1108,8.37,3653,27.61,3,0.02,13233,2021-05-04
"39",NA,NA,NA,NA,NA,NA,NA,NA,2021-05-04
"40",NA,NA,NA,NA,NA,NA,NA,NA,2021-05-04
"41","Lee",382,4.92,1680,21.63,3,0.04,7766,2021-05-04
"42","Lincoln",429,3.69,2302,19.8,3,0.03,11627,2021-05-04
"43","Little River",399,4.01,1863,18.74,0,0,9941,2021-05-04
"44","Logan",1243,7.11,4678,26.74,3,0.02,17492,2021-05-04
"45","Lonoke",4346,7.76,15799,28.21,6,0.01,56011,2021-05-04
"46","Madison",1235,9.52,2931,22.6,3,0.02,12968,2021-05-04
"47","Marion",789,5.71,2842,20.58,0,0,13812,2021-05-04
"48","Miller",883,2.55,2455,7.08,0,0,34690,2021-05-04
"49","Missing",70269,NA,92398,NA,56,NA,NA,2021-05-04
"50","Mississippi",2208,6.79,7399,22.75,3,0.01,32523,2021-05-04
"51","Monroe",536,9.35,1833,31.99,0,0,5730,2021-05-04
"52","Montgomery",247,3.29,2030,27.04,0,0,7507,2021-05-04
"53","Nevada",557,8.35,1096,16.44,101,1.51,6667,2021-05-04
"54","Newton",545,8.45,1195,18.54,4,0.06,6446,2021-05-04
"55","Ouachita",1145,6.03,6324,33.33,6,0.03,18975,2021-05-04
"56","Out of State",5375,NA,11266,NA,0,NA,NA,2021-05-04
"57","Perry",608,7.31,2764,33.25,3,0.04,8313,2021-05-04
"58","Phillips",1031,7.24,3963,27.82,0,0,14245,2021-05-04
"59","Pike",478,5.53,1846,21.34,3,0.03,8651,2021-05-04
"60","Poinsett",1622,8.58,4759,25.19,9,0.05,18894,2021-05-04
"61","Polk",1069,6.71,3236,20.32,0,0,15922,2021-05-04
"62","Pope",3565,7.02,15097,29.73,0,0,50780,2021-05-04
"63","Prairie",634,9.4,1499,22.23,6,0.09,6743,2021-05-04
"64","Pulaski",24919,8.02,105115,33.82,13,0,310788,2021-05-04
"65","Randolph",1254,9,2677,19.21,2,0.01,13937,2021-05-04
"66","Saline",6874,7.24,29283,30.86,24,0.03,94893,2021-05-04
"67","Scott",529,6.51,1761,21.67,0,0,8125,2021-05-04
"68","Searcy",295,4.53,1624,24.96,0,0,6507,2021-05-04
"69","Sebastian",6588,6.56,19275,19.2,1,0,100405,2021-05-04
"70","Sevier",628,4.92,3515,27.53,0,0,12766,2021-05-04
"71","Sharp",1146,8.23,3107,22.32,4,0.03,13921,2021-05-04
"72","St. Francis",1036,5.02,5162,25.04,5,0.02,20618,2021-05-04
"73","Stone",535,5.16,2703,26.07,0,0,10368,2021-05-04
"74","Union",2265,7.35,6310,20.48,0,0,30812,2021-05-04
"75","Van Buren",807,5.88,3825,27.89,0,0,13714,2021-05-04
"76","Washington",22547,12.45,55503,30.65,3,0,181075,2021-05-04
"77","White",4400,7.04,17655,28.25,15,0.02,62498,2021-05-04
"78","Woodruff",460,8.71,1785,33.79,3,0.06,5282,2021-05-04
"79","Yell",978,5.78,4797,28.36,0,0,16913,2021-05-04
"80","Total",270426,11.39,768130,32.35,414,0.02,2374747,2021-05-04
