"","County","Partial_Vax","Partial_Pct","Full_Vax","Full_Pct","Unknown_Dose","Unknown_Pct","Population","Date"
"1","Arkansas",1585,11.1,4448,31.14,0,0,14285,2021-04-19
"2","Ashley",2032,12.7,3350,20.93,3,0.02,16004,2021-04-19
"3","Baxter",5835,16.63,5357,15.27,3,0.01,35079,2021-04-19
"4","Benton",33010,16.25,45860,22.57,6,0,203159,2021-04-19
"5","Boone",2822,9.55,6011,20.35,6,0.02,29544,2021-04-19
"6","Bradley",978,11.44,2765,32.34,0,0,8551,2021-04-19
"7","Calhoun",265,6.09,815,18.74,0,0,4350,2021-04-19
"8","Carroll",2615,11.59,5116,22.67,6,0.03,22563,2021-04-19
"9","Chicot",658,7.7,2383,27.9,15,0.18,8541,2021-04-19
"10","Clark",1911,10.25,4839,25.96,0,0,18643,2021-04-19
"11","Clay",876,7.29,3334,27.75,3,0.02,12016,2021-04-19
"12","Cleburne",2130,10.17,4798,22.91,0,0,20944,2021-04-19
"13","Cleveland",652,10.05,1929,29.74,0,0,6487,2021-04-19
"14","Columbia",2056,10.58,3887,20.01,3,0.02,19430,2021-04-19
"15","Conway",2165,13.18,4724,28.77,0,0,16421,2021-04-19
"16","Craighead",9324,11.16,19742,23.63,3,0,83529,2021-04-19
"17","Crawford",4053,8.25,9639,19.63,6,0.01,49100,2021-04-19
"18","Crittenden",3182,8.66,6551,17.82,0,0,36753,2021-04-19
"19","Cross",1443,10.8,3455,25.85,3,0.02,13365,2021-04-19
"20","Dallas",613,10.24,1820,30.4,0,0,5986,2021-04-19
"21","Desha",1053,11.63,2704,29.87,6,0.07,9054,2021-04-19
"22","Drew",1350,9.11,4040,27.25,0,0,14825,2021-04-19
"23","Faulkner",11309,11.54,26649,27.19,3,0,98015,2021-04-19
"24","Franklin",1178,8.38,4032,28.68,0,0,14060,2021-04-19
"25","Fulton",575,5.71,1347,13.37,0,0,10072,2021-04-19
"26","Garland",9522,11.73,21299,26.24,6,0.01,81156,2021-04-19
"27","Grant",1301,8.97,3080,21.24,0,0,14499,2021-04-19
"28","Greene",3286,9.32,8508,24.13,3,0.01,35266,2021-04-19
"29","Hempstead",1476,8.76,2179,12.94,9,0.05,16840,2021-04-19
"30","Hot Spring",2577,9.36,5976,21.7,6,0.02,27540,2021-04-19
"31","Howard",780,7.61,2912,28.4,0,0,10253,2021-04-19
"32","Independence",2393,8.13,5676,19.29,7,0.02,29431,2021-04-19
"33","Izard",952,8.36,2068,18.15,3,0.03,11394,2021-04-19
"34","Jackson",1101,7.88,3059,21.9,3,0.02,13969,2021-04-19
"35","Jefferson",6849,12.28,9624,17.26,0,0,55752,2021-04-19
"36","Johnson",1285,6.22,4981,24.09,0,0,20675,2021-04-19
"37","Lafayette",336,5.96,980,17.38,0,0,5638,2021-04-19
"38","Lawrence",1361,10.28,2945,22.25,3,0.02,13233,2021-04-19
"39",NA,NA,NA,NA,NA,NA,NA,NA,2021-04-19
"40","Lee",476,6.13,1496,19.26,0,0,7766,2021-04-19
"41","Lincoln",633,5.44,1971,16.95,0,0,11627,2021-04-19
"42","Little River",663,6.67,1464,14.73,0,0,9941,2021-04-19
"43","Logan",1546,8.84,4081,23.33,3,0.02,17492,2021-04-19
"44","Lonoke",6046,10.79,12809,22.87,6,0.01,56011,2021-04-19
"45","Madison",1499,11.56,2391,18.44,3,0.02,12968,2021-04-19
"46","Marion",1273,9.22,2161,15.65,0,0,13812,2021-04-19
"47","Miller",1087,3.13,1784,5.14,0,0,34690,2021-04-19
"48","Missing",75340,NA,73927,NA,41,NA,NA,2021-04-19
"49","Mississippi",2895,8.9,5895,18.13,3,0.01,32523,2021-04-19
"50","Monroe",781,13.63,1445,25.22,0,0,5730,2021-04-19
"51","Montgomery",282,3.76,1924,25.63,0,0,7507,2021-04-19
"52","Nevada",620,9.3,957,14.35,100,1.5,6667,2021-04-19
"53","Newton",614,9.53,1012,15.7,3,0.05,6446,2021-04-19
"54","Ouachita",1669,8.8,5498,28.97,6,0.03,18975,2021-04-19
"55","Out of State",5775,NA,9041,NA,0,NA,NA,2021-04-19
"56","Perry",939,11.3,2272,27.33,3,0.04,8313,2021-04-19
"57","Phillips",1265,8.88,3433,24.1,0,0,14245,2021-04-19
"58","Pike",551,6.37,1607,18.58,3,0.03,8651,2021-04-19
"59","Poinsett",1942,10.28,3972,21.02,3,0.02,18894,2021-04-19
"60","Polk",1313,8.25,2497,15.68,0,0,15922,2021-04-19
"61","Pope",4985,9.82,12605,24.82,0,0,50780,2021-04-19
"62","Prairie",640,9.49,1264,18.75,3,0.04,6743,2021-04-19
"63","Pulaski",33871,10.9,87830,28.26,7,0,310788,2021-04-19
"64","Randolph",1367,9.81,2185,15.68,0,0,13937,2021-04-19
"65","Saline",9488,10,24443,25.76,24,0.03,94893,2021-04-19
"66","Scott",521,6.41,1593,19.61,0,0,8125,2021-04-19
"67","Searcy",404,6.21,1452,22.31,0,0,6507,2021-04-19
"68","Sebastian",6820,6.79,16959,16.89,1,0,100405,2021-04-19
"69","Sevier",1184,9.27,2787,21.83,0,0,12766,2021-04-19
"70","Sharp",1581,11.36,2343,16.83,3,0.02,13921,2021-04-19
"71","St. Francis",1255,6.09,4699,22.79,5,0.02,20618,2021-04-19
"72","Stone",765,7.38,2347,22.64,0,0,10368,2021-04-19
"73","Union",2788,9.05,5197,16.87,0,0,30812,2021-04-19
"74","Van Buren",1216,8.87,3235,23.59,0,0,13714,2021-04-19
"75","Washington",29430,16.25,42471,23.45,0,0,181075,2021-04-19
"76","White",6310,10.1,15026,24.04,9,0.01,62498,2021-04-19
"77","Woodruff",764,14.46,1341,25.39,0,0,5282,2021-04-19
"78","Yell",1345,7.95,4101,24.25,0,0,16913,2021-04-19
"79","Total",338832,14.27,626397,26.38,332,0.01,2374747,2021-04-19
