"","date","county","dose1","dose1pct","dose2","dose2pct","unknown_dose","unknownpct","population"
"1",2021-03-10,"Arkansas",3124,21.87,1661,11.63,0,0,14285
"2",2021-03-10,"Ashley",2673,16.7,1534,9.59,0,0,16004
"3",2021-03-10,"Baxter",6742,19.22,3890,11.09,2,0.01,35079
"4",2021-03-10,"Benton",29807,14.67,15441,7.6,7,0,203159
"5",2021-03-10,"Boone",5156,17.45,3009,10.18,6,0.02,29544
"6",2021-03-10,"Bradley",1817,21.25,1148,13.43,0,0,8551
"7",2021-03-10,"Calhoun",688,15.82,413,9.49,0,0,4350
"8",2021-03-10,"Carroll",3529,15.64,1598,7.08,1,0,22563
"9",2021-03-10,"Chicot",1496,17.52,807,9.45,2,0.02,8541
"10",2021-03-10,"Clark",3986,21.38,2505,13.44,1,0.01,18643
"11",2021-03-10,"Clay",2599,21.63,1839,15.3,1,0.01,12016
"12",2021-03-10,"Cleburne",3922,18.73,2207,10.54,0,0,20944
"13",2021-03-10,"Cleveland",1545,23.82,1011,15.59,1,0.02,6487
"14",2021-03-10,"Columbia",2909,14.97,1456,7.49,1,0.01,19430
"15",2021-03-10,"Conway",3583,21.82,1775,10.81,1,0.01,16421
"16",2021-03-10,"Craighead",18686,22.37,10817,12.95,5,0.01,83529
"17",2021-03-10,"Crawford",7449,15.17,4706,9.58,2,0,49100
"18",2021-03-10,"Crittenden",4023,10.95,2277,6.2,0,0,36753
"19",2021-03-10,"Cross",2739,20.49,1539,11.52,3,0.02,13365
"20",2021-03-10,"Dallas",1452,24.26,835,13.95,0,0,5986
"21",2021-03-10,"Desha",2019,22.3,1234,13.63,2,0.02,9054
"22",2021-03-10,"Drew",3244,21.88,1959,13.21,0,0,14825
"23",2021-03-10,"Faulkner",20595,21.01,13576,13.85,1,0,98015
"24",2021-03-10,"Franklin",3353,23.85,2318,16.49,0,0,14060
"25",2021-03-10,"Fulton",1478,14.67,819,8.13,0,0,10072
"26",2021-03-10,"Garland",19896,24.52,10597,13.06,44,0.05,81156
"27",2021-03-10,"Grant",2379,16.41,1387,9.57,2,0.01,14499
"28",2021-03-10,"Greene",7205,20.43,4316,12.24,3,0.01,35266
"29",2021-03-10,"Hempstead",1772,10.52,736,4.37,0,0,16840
"30",2021-03-10,"Hot Spring",4880,17.72,3028,10.99,3,0.01,27540
"31",2021-03-10,"Howard",2110,20.58,1261,12.3,0,0,10253
"32",2021-03-10,"Independence",4897,16.64,2536,8.62,0,0,29431
"33",2021-03-10,"Izard",2228,19.55,1549,13.59,0,0,11394
"34",2021-03-10,"Jackson",2760,19.76,1696,12.14,2,0.01,13969
"35",2021-03-10,"Jefferson",8894,15.95,4871,8.74,8,0.01,55752
"36",2021-03-10,"Johnson",3260,15.77,1895,9.17,1,0,20675
"37",2021-03-10,"Lafayette",834,14.79,549,9.74,0,0,5638
"38",2021-03-10,"Lawrence",2581,19.5,1464,11.06,0,0,13233
"39",2021-03-10,NA,NA,NA,NA,NA,NA,NA,NA
"40",2021-03-10,"Lee",1001,12.89,566,7.29,0,0,7766
"41",2021-03-10,"Lincoln",1349,11.6,992,8.53,0,0,11627
"42",2021-03-10,"Little River",1202,12.09,685,6.89,0,0,9941
"43",2021-03-10,"Logan",3290,18.81,1922,10.99,0,0,17492
"44",2021-03-10,"Lonoke",9629,17.19,5893,10.52,1,0,56011
"45",2021-03-10,"Madison",1726,13.31,730,5.63,1,0.01,12968
"46",2021-03-10,"Marion",1732,12.54,856,6.2,0,0,13812
"47",2021-03-10,"Miller",1768,5.1,953,2.75,0,0,34690
"48",2021-03-10,"Missing",65585,NA,25815,NA,25,NA,NA
"49",2021-03-10,"Mississippi",4706,14.47,2489,7.65,2,0.01,32523
"50",2021-03-10,"Monroe",1100,19.2,501,8.74,1,0.02,5730
"51",2021-03-10,"Montgomery",1351,18,846,11.27,0,0,7507
"52",2021-03-10,"Nevada",865,12.97,341,5.11,0,0,6667
"53",2021-03-10,"Newton",945,14.66,556,8.63,2,0.03,6446
"54",2021-03-10,"Ouachita",4178,22.02,2018,10.64,0,0,18975
"55",2021-03-10,"Out of State",1637,NA,1178,NA,0,NA,NA
"56",2021-03-10,"Perry",1737,20.89,1057,12.72,0,0,8313
"57",2021-03-10,"Phillips",2553,17.92,1105,7.76,0,0,14245
"58",2021-03-10,"Pike",1494,17.27,858,9.92,0,0,8651
"59",2021-03-10,"Poinsett",3685,19.5,2033,10.76,0,0,18894
"60",2021-03-10,"Polk",1925,12.09,1209,7.59,0,0,15922
"61",2021-03-10,"Pope",8357,16.46,4809,9.47,0,0,50780
"62",2021-03-10,"Prairie",936,13.88,468,6.94,0,0,6743
"63",2021-03-10,"Pulaski",67969,21.87,43428,13.97,50,0.02,310788
"64",2021-03-10,"Randolph",2440,17.51,1261,9.05,1,0.01,13937
"65",2021-03-10,"Saline",19967,21.04,12595,13.27,10,0.01,94893
"66",2021-03-10,"Scott",1176,14.47,764,9.4,0,0,8125
"67",2021-03-10,"Searcy",1148,17.64,608,9.34,1,0.02,6507
"68",2021-03-10,"Sebastian",13303,13.25,8966,8.93,0,0,100405
"69",2021-03-10,"Sevier",1741,13.64,1177,9.22,0,0,12766
