"","Date","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Cases_45_54","Cases_55_64","Cases_65","Cases_Unknown","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Deaths_45_54","Deaths_55_64","Deaths_65","Deaths_Unknown","Cases_0_17","Cases_25_44","Cases_45_64","Deaths_0_17","Deaths_25_44","Deaths_45_64","New_Cases_0_10","New_Cases_11_17","New_Cases_18_24","New_Cases_25_34","New_Cases_35_44","New_Cases_45_54","New_Cases_55_64","New_Cases_65","New_Deaths_0_10","New_Deaths_11_17","New_Deaths_18_24","New_Deaths_25_34","New_Deaths_35_44","New_Deaths_45_54","New_Deaths_55_64","New_Deaths_65","New_Cases_0_17","New_Cases_25_44","New_Cases_45_64","New_Deaths_0_17","New_Deaths_25_44","New_Deaths_45_64"
"2","2021-02-24",19149,27062,40903,50902,48318,45110,39211,46741,0,0,0,6,38,83,236,630,4394,0,NA,NA,NA,NA,NA,NA,70,86,74,136,103,126,99,109,0,0,0,0,0,2,1,7,NA,NA,NA,NA,NA,NA
"1:1","2021-02-23",19079,26976,40829,50766,48215,44984,39112,46632,0,0,0,6,38,83,234,629,4387,0,NA,NA,NA,NA,NA,NA,66,69,85,134,156,110,106,108,0,0,0,0,0,1,4,9,NA,NA,NA,NA,NA,NA
"1:2","2021-02-22",19013,26907,40744,50632,48059,44874,39006,46524,0,0,0,6,38,83,233,625,4378,0,NA,NA,NA,NA,NA,NA,8,15,24,45,32,41,35,45,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA
"1:3","2021-02-21",19005,26892,40720,50587,48027,44833,38971,46479,0,0,0,6,38,83,233,625,4372,0,NA,NA,NA,NA,NA,NA,17,30,30,43,61,40,32,31,0,0,0,0,0,0,1,8,NA,NA,NA,NA,NA,NA
"1:4","2021-02-20",18988,26862,40690,50544,47966,44793,38939,46448,0,0,0,6,38,83,233,624,4364,0,NA,NA,NA,NA,NA,NA,40,29,62,79,82,81,70,74,0,0,0,0,0,2,1,9,NA,NA,NA,NA,NA,NA
"1:5","2021-02-19",18948,26833,40628,50465,47884,44712,38869,46374,0,0,0,6,38,83,231,623,4355,0,NA,NA,NA,NA,NA,NA,19,12,43,42,47,27,34,44,0,0,0,0,0,2,1,10,NA,NA,NA,NA,NA,NA
"1:6","2021-02-18",18929,26821,40585,50423,47837,44685,38835,46330,0,0,0,6,38,83,229,622,4345,0,NA,NA,NA,NA,NA,NA,17,11,34,34,47,25,38,47,0,0,0,0,0,0,1,9,NA,NA,NA,NA,NA,NA
"1:7","2021-02-17",18912,26810,40551,50389,47790,44660,38797,46283,0,0,0,6,38,83,229,621,4336,0,NA,NA,NA,NA,NA,NA,33,65,70,108,91,101,104,95,0,0,0,0,0,1,7,18,NA,NA,NA,NA,NA,NA
"1:8","2021-02-16",18879,26745,40481,50281,47699,44559,38693,46188,0,0,0,6,38,83,228,614,4318,0,NA,NA,NA,NA,NA,NA,13,15,15,22,19,28,35,30,0,0,0,0,0,1,1,10,NA,NA,NA,NA,NA,NA
"1:9","2021-02-15",18866,26730,40466,50259,47680,44531,38658,46158,0,0,0,6,38,83,227,613,4308,0,NA,NA,NA,NA,NA,NA,21,19,41,53,70,31,49,36,0,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA
"1:10","2021-02-14",18845,26711,40425,50206,47610,44500,38609,46122,0,0,0,6,38,83,227,613,4298,0,NA,NA,NA,NA,NA,NA,29,44,58,80,70,63,58,64,0,0,0,0,0,0,4,9,NA,NA,NA,NA,NA,NA
"1:11","2021-02-13",18816,26667,40367,50126,47540,44437,38551,46058,0,0,0,6,38,83,227,609,4289,0,NA,NA,NA,NA,NA,NA,52,106,116,163,131,130,124,132,0,0,0,0,2,0,3,35,NA,NA,NA,NA,NA,NA
"1:12","2021-02-12",18764,26561,40251,49963,47409,44307,38427,45926,0,0,0,6,38,81,227,606,4254,0,NA,NA,NA,NA,NA,NA,17,60,87,99,86,82,74,60,0,0,0,0,0,0,1,12,NA,NA,NA,NA,NA,NA
"1:13","2021-02-11",18747,26501,40164,49864,47323,44225,38353,45866,0,0,0,6,38,81,227,605,4242,0,NA,NA,NA,NA,NA,NA,104,125,130,183,153,162,117,129,0,0,0,0,1,2,2,20,NA,NA,NA,NA,NA,NA
"1:14","2021-02-10",18643,26376,40034,49681,47170,44063,38236,45737,0,0,0,6,38,80,225,603,4222,0,NA,NA,NA,NA,NA,NA,88,111,98,168,168,158,133,168,0,0,0,0,1,1,3,21,NA,NA,NA,NA,NA,NA
"1:15","2021-02-09",18555,26265,39936,49513,47002,43905,38103,45569,0,0,0,6,38,79,224,600,4201,0,NA,NA,NA,NA,NA,NA,120,155,168,232,214,206,168,212,0,0,0,1,1,2,3,35,NA,NA,NA,NA,NA,NA
"1:16","2021-02-08",18435,26110,39768,49281,46788,43699,37935,45357,0,0,0,6,37,78,222,597,4166,0,NA,NA,NA,NA,NA,NA,44,48,80,93,102,91,97,82,0,0,0,0,2,2,4,22,NA,NA,NA,NA,NA,NA
"1:17","2021-02-07",18391,26062,39688,49188,46686,43608,37838,45275,0,0,0,6,37,76,220,593,4144,0,NA,NA,NA,NA,NA,NA,54,61,78,92,100,82,87,118,0,0,0,0,0,2,3,10,NA,NA,NA,NA,NA,NA
"1:18","2021-02-06",18337,26001,39610,49096,46586,43526,37751,45157,0,0,0,6,37,76,218,590,4134,0,NA,NA,NA,NA,NA,NA,130,154,162,182,185,176,160,192,0,0,0,0,0,0,2,9,NA,NA,NA,NA,NA,NA
"1:19","2021-02-05",18207,25847,39448,48914,46401,43350,37591,44965,0,0,0,6,37,76,218,588,4125,0,NA,NA,NA,NA,NA,NA,139,269,175,236,258,242,246,259,0,0,0,0,0,0,4,37,NA,NA,NA,NA,NA,NA
"1:20","2021-02-04",18068,25578,39273,48678,46143,43108,37345,44706,0,0,0,6,37,76,218,584,4088,0,NA,NA,NA,NA,NA,NA,173,221,262,361,381,357,360,354,0,0,0,1,0,1,3,19,NA,NA,NA,NA,NA,NA
"1:21","2021-02-03",17895,25357,39011,48317,45762,42751,36985,44352,0,0,0,6,36,76,217,581,4069,0,NA,NA,NA,NA,NA,NA,170,251,294,351,331,367,301,361,0,0,0,0,1,2,8,35,NA,NA,NA,NA,NA,NA
"1:22","2021-02-02",17725,25106,38717,47966,45431,42384,36684,43991,0,0,0,6,36,75,215,573,4034,0,NA,NA,NA,NA,NA,NA,107,159,144,211,253,212,196,228,0,0,0,1,1,3,5,34,NA,NA,NA,NA,NA,NA
"1:23","2021-02-01",17618,24947,38573,47755,45178,42172,36488,43763,0,0,0,6,35,74,212,568,4000,0,NA,NA,NA,NA,NA,NA,70,110,124,211,171,181,172,187,0,0,0,0,0,0,1,26,NA,NA,NA,NA,NA,NA
"1:24","2021-01-31",17548,24837,38449,47544,45007,41991,36316,43576,0,0,0,6,35,74,212,567,3974,0,NA,NA,NA,NA,NA,NA,81,119,111,130,121,100,79,140,0,0,0,0,1,0,7,22,NA,NA,NA,NA,NA,NA
"1:25","2021-01-30",17467,24718,38338,47414,44886,41891,36237,43436,0,0,0,6,35,73,212,560,3952,0,NA,NA,NA,NA,NA,NA,132,184,182,269,261,242,251,303,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA
"1:26","2021-01-29",17335,24534,38156,47145,44625,41649,35986,43133,0,0,0,6,35,73,212,560,3945,0,NA,NA,NA,NA,NA,NA,137,254,200,235,241,222,196,222,0,0,0,0,0,2,6,39,NA,NA,NA,NA,NA,NA
"1:27","2021-01-28",17198,24280,37956,46910,44384,41427,35790,42911,0,0,0,6,35,73,210,554,3906,0,NA,NA,NA,NA,NA,NA,150,250,220,325,271,216,242,218,0,0,0,0,1,0,6,35,NA,NA,NA,NA,NA,NA
"1:28","2021-01-27",17048,24030,37736,46585,44113,41211,35548,42693,0,0,0,6,35,72,210,548,3871,0,NA,NA,NA,NA,NA,NA,124,243,185,275,248,257,210,235,0,0,1,0,0,2,5,44,NA,NA,NA,NA,NA,NA
"1:29","2021-01-26",16924,23787,37551,46310,43865,40954,35338,42458,0,0,0,5,35,72,208,543,3827,0,NA,NA,NA,NA,NA,NA,193,329,285,313,371,361,294,339,0,0,0,1,0,2,5,32,NA,NA,NA,NA,NA,NA
"1:30","2021-01-25",16731,23458,37266,45997,43494,40593,35044,42119,0,0,0,5,34,72,206,538,3795,0,NA,NA,NA,NA,NA,NA,51,53,63,103,95,84,72,115,0,0,0,0,0,0,4,40,NA,NA,NA,NA,NA,NA
"1:31","2021-01-24",16680,23405,37203,45894,43399,40509,34972,42004,0,0,0,5,34,72,206,534,3755,0,NA,NA,NA,NA,NA,NA,97,164,102,133,137,163,123,152,0,0,0,0,0,2,2,39,NA,NA,NA,NA,NA,NA
"1:32","2021-01-23",16583,23241,37101,45761,43262,40346,34849,41852,0,0,0,5,34,72,204,532,3716,0,NA,NA,NA,NA,NA,NA,117,165,213,253,241,206,202,216,0,0,0,0,0,2,1,11,NA,NA,NA,NA,NA,NA
