"","County","Date","Positive","Negative","Recovered","Total_Deaths","Number_Tested","Current_Infections","Population","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths"
"1","Arkansas",2020-09-17,334,4949,297,4,5292,33,18124,7,2,0,50,1.84286029574045,29.1988523504745,3.86228205694107,18.2079011255793,6.3114134542706,14,301,1.32890365448505,98.671096345515
"2","Ashley",2020-09-17,414,4484,391,8,4900,15,20537,8,2,0,34,2.01587378877149,23.8593757608219,3.89540828748113,7.30389053902712,8.44897959183673,23.5294117647059,399,2.00501253132832,97.9949874686717
"3","Baxter",2020-09-17,243,3496,177,1,3741,65,41219,17,1,0,89,0.589533952788762,9.07591159416774,4.124311603872,15.7694267206871,6.49558941459503,19.1011235955056,178,0.561797752808989,99.438202247191
"4","Benton",2020-09-17,6030,65030,5678,79,71075,273,258980,47,75,0,483,2.32836512472006,27.4442041856514,1.81481195459109,10.5413545447525,8.48399577910658,9.73084886128364,5757,1.37224248740664,98.6277575125934
"5","Boone",2020-09-17,584,8114,435,8,8696,141,37288,15,20,0,67,1.56618751340914,23.3211757133662,4.02274190087964,37.8137738682686,6.71573137074517,22.3880597014925,443,1.8058690744921,98.1941309255079
"6","Bradley",2020-09-17,329,3267,306,7,3595,16,10948,2,0,0,16,3.00511508951407,32.8370478626233,1.82681768359518,14.6145414687614,9.15159944367177,12.5,313,2.23642172523962,97.7635782747604
"7","Calhoun",2020-09-17,32,1376,25,0,1408,7,5202,1,0,0,7,0.615148019992311,27.0665128796617,1.92233756247597,13.4563629373318,2.27272727272727,14.2857142857143,25,0,100
"8","Carroll",2020-09-17,594,6358,512,9,6952,73,27887,12,7,0,68,2.13002474271166,24.929178470255,4.30308028830638,26.1770717538638,8.54430379746835,17.6470588235294,521,1.72744721689059,98.2725527831094
"9","Chicot",2020-09-17,991,4474,965,17,5466,9,10826,5,6,0,11,9.15388878625531,50.489562165158,4.61851099205616,8.31331978570109,18.130259787779,45.4545454545455,982,1.73116089613035,98.2688391038697
"10","Clark",2020-09-17,294,5402,265,4,5696,25,22385,5,6,0,61,1.31337949519768,25.4456109001564,2.23363859727496,11.1681929863748,5.16151685393258,8.19672131147541,269,1.48698884758364,98.5130111524164
