"","Date","Cases_Male","Cases_Female","Cases_Gender_Unknown","New_Cases_Male","New_Cases_Female","New_Cases_Gender_Unknown"
"1",2021-02-14,145895,164433,2700,231,236,-1
"2",2021-02-13,145664,164197,2701,462,485,1701
"3",2021-02-12,145202,163712,1000,308,308,-1745
"4",2021-02-11,144894,163404,2745,529,572,1787
"5",2021-02-10,144365,162832,958,514,545,-1752
"6",2021-02-09,143851,162287,2710,630,777,1760
"7",2021-02-08,143221,161510,950,320,339,-1714
"8",2021-02-07,142901,161171,2664,330,383,-41
"9",2021-02-06,142571,160788,2705,576,746,1766
"10",2021-02-05,141995,160042,939,951,1080,-1954
"11",2021-02-04,141044,158962,2893,1148,1267,1962
"12",2021-02-03,139896,157695,931,1109,1268,-1859
"13",2021-02-02,138787,156427,2790,715,751,1873
"14",2021-02-01,138072,155676,917,542,617,-1762
"15",2021-01-31,137530,155059,2679,389,496,-4
"16",2021-01-30,137141,154563,2683,879,982,1788
"17",2021-01-29,136262,153581,895,757,957,-1832
"18",2021-01-28,135505,152624,2727,915,1059,1845
"19",2021-01-27,134590,151565,882,814,957,-1921
"20",2021-01-26,133776,150608,2803,1154,1313,1936
"21",2021-01-25,132622,149295,867,287,392,-1961
"22",2021-01-24,132335,148903,2828,509,558,4
"23",2021-01-23,131826,148345,2824,733,868,12
"24",2021-01-22,131093,147477,2812,969,1111,82
"25",2021-01-21,130124,146366,2730,1413,1597,1899
"26",2021-01-20,128711,144769,831,1124,1305,-1712
"27",2021-01-19,127587,143464,2543,606,692,1732
"28",2021-01-18,126981,142772,811,463,593,6
"29",2021-01-17,126518,142179,805,489,542,-1707
"30",2021-01-16,126029,141637,2512,1167,1358,1720
"31",2021-01-15,124862,140279,792,1398,1557,-1533
"32",2021-01-14,123464,138722,2325,1016,1307,1551
"33",2021-01-13,122448,137415,774,1130,1284,-1330
"34",2021-01-12,121318,136131,2104,1458,1764,1350
"35",2021-01-11,119860,134367,754,587,684,-1366
"36",2021-01-10,119273,133683,2120,1533,1813,-16
"37",2021-01-09,117740,131870,2136,1341,1586,-41
"38",2021-01-08,116399,130284,2177,1267,1641,1458
"39",2021-01-07,115132,128643,719,1490,1823,10
"40",2021-01-06,113642,126820,709,1678,2033,16
"41",2021-01-05,111964,124787,693,1763,2187,-1287
"42",2021-01-04,110201,122600,1980,544,720,42
"43",2021-01-03,109657,121880,1938,997,1065,-29
"44",2021-01-02,108660,120815,1967,986,1080,-66
"45",2021-01-01,107674,119735,2033,1924,2281,1382
"46",2020-12-31,105750,117454,651,1200,1499,-1274
"47",2020-12-30,104550,115955,1925,1327,1732,125
"48",2020-12-29,103223,114223,1800,1133,1453,132
"49",2020-12-28,102090,112770,1668,799,874,-22
"50",2020-12-27,101291,111896,1690,418,524,-34
"51",2020-12-26,100873,111372,1724,340,377,-15
"52",2020-12-25,100533,110995,1739,964,1070,88
"53",2020-12-24,99569,109925,1651,1508,1630,66
"54",2020-12-23,98061,108295,1585,1354,1484,55
"55",2020-12-22,96707,106811,1530,826,1095,20
"56",2020-12-21,95881,105716,1510,660,786,11
"57",2020-12-20,95221,104930,1499,727,842,-33
"58",2020-12-19,94494,104088,1532,1381,1313,-1
"59",2020-12-18,93113,102775,1533,1270,1480,128
"60",2020-12-17,91843,101295,1405,1420,1545,74
"61",2020-12-16,90423,99750,1331,1024,1223,59
"62",2020-12-15,89399,98527,1272,953,1115,73
"63",2020-12-14,88446,97412,1199,658,703,-6
"64",2020-12-13,87788,96709,1205,630,805,15
"65",2020-12-12,87158,95904,1190,1158,1401,69
"66",2020-12-11,86000,94503,1121,1301,1443,26
"67",2020-12-10,84699,93060,1095,1058,1150,-6
"68",2020-12-09,83641,91910,1101,1073,1278,-24
"69",2020-12-08,82568,90632,1125,972,1265,46
"70",2020-12-07,81596,89367,1079,535,588,-5
"71",2020-12-06,81061,88779,1084,763,794,-15
"72",2020-12-05,80298,87985,1099,985,1252,8
"73",2020-12-04,79313,86733,1091,1247,1521,59
"74",2020-12-03,78066,85212,1032,1273,1448,68
"75",2020-12-02,76793,83764,964,973,1237,2
"76",2020-12-01,75820,82527,962,845,1097,8
"77",2020-11-30,74975,81430,954,481,642,-11
"78",2020-11-29,74494,80788,965,561,709,-49
"79",2020-11-28,73933,80079,1014,585,783,-19
"80",2020-11-27,73348,79296,1033,459,582,11
"81",2020-11-26,72889,78714,1022,999,1218,131
"82",2020-11-25,71890,77496,891,900,1134,-69
"83",2020-11-24,70990,76362,960,938,1103,81
"84",2020-11-23,70052,75259,879,456,567,-6
"85",2020-11-22,69596,74692,885,623,734,-5
"86",2020-11-21,68973,73958,890,855,1029,21
"87",2020-11-20,68118,72929,869,893,1133,35
"88",2020-11-19,67225,71796,834,1037,1156,45
"89",2020-11-18,66188,70640,789,746,979,-10
"90",2020-11-17,65442,69661,799,688,921,-55
"91",2020-11-16,64754,68740,854,559,719,30
"92",2020-11-15,64195,68021,824,347,494,33
"93",2020-11-14,63848,67527,791,808,1056,-16
"94",2020-11-13,63040,66471,807,956,1261,95
"95",2020-11-12,62084,65210,712,787,1018,4
"96",2020-11-11,61297,64192,708,846,1136,-20
"97",2020-11-10,60451,63056,728,651,792,-19
"98",2020-11-09,59800,62264,747,447,466,32
"99",2020-11-08,59353,61798,715,472,539,27
"100",2020-11-07,58881,61259,688,1695,1723,0
"101",2020-11-05,57186,59536,688,650,852,50
"102",2020-11-04,56536,58684,638,652,658,46
"103",2020-11-03,55884,58026,592,397,498,-17
"104",2020-11-02,55487,57528,609,240,321,-17
"105",2020-11-01,55247,57207,626,387,420,23
"106",2020-10-31,54860,56787,603,559,739,60
"107",2020-10-30,54301,56048,543,509,650,18
"108",2020-10-29,53792,55398,525,472,659,3
"109",2020-10-28,53320,54739,522,482,525,-59
"110",2020-10-27,52838,54214,581,370,518,-46
"111",2020-10-26,52468,53696,627,327,286,64
"112",2020-10-25,52141,53410,563,326,439,-1
"113",2020-10-24,51815,52971,564,476,636,32
"114",2020-10-23,51339,52335,532,542,766,71
"115",2020-10-22,50797,51569,461,562,648,29
"116",2020-10-21,50235,50921,432,531,590,-8
"117",2020-10-20,49704,50331,440,398,431,34
"118",2020-10-19,49306,49900,406,245,279,15
"119",2020-10-18,49061,49621,391,293,336,7
"120",2020-10-17,48768,49285,384,389,521,15
"121",2020-10-16,48379,48764,369,449,543,-27
"122",2020-10-15,47930,48221,396,605,736,23
"123",2020-10-14,47325,47485,373,502,517,-63
"124",2020-10-13,46823,46968,436,299,348,60
"125",2020-10-12,46524,46620,376,304,380,33
"126",2020-10-11,46220,46240,343,231,364,-30
"127",2020-10-10,45989,45876,373,417,421,18
"128",2020-10-09,45572,45455,355,514,629,70
"129",2020-10-08,45058,44826,285,518,740,24
"130",2020-10-07,44540,44086,261,389,408,7
"131",2020-10-06,44151,43678,254,345,329,12
"132",2020-10-05,43806,43349,242,197,202,-33
"133",2020-10-04,43609,43147,275,182,287,18
"134",2020-10-03,43427,42860,257,360,407,19
"135",2020-10-02,43067,42453,238,487,578,-21
"136",2020-10-01,42580,41875,259,518,655,-107
"137",2020-09-30,42062,41220,366,467,482,-49
"138",2020-09-29,41595,40738,415,326,371,-7
"139",2020-09-28,41269,40367,422,398,414,9
"140",2020-09-27,40871,39953,413,249,252,-5
"141",2020-09-26,40622,39701,418,420,384,-14
"142",2020-09-25,40202,39317,432,418,470,5
"143",2020-09-24,39784,38847,427,484,617,9
"144",2020-09-23,39300,38230,418,401,498,35
"145",2020-09-22,38899,37732,383,288,309,33
"146",2020-09-21,38611,37423,350,298,345,20
"147",2020-09-20,38313,37078,330,265,297,-2
"148",2020-09-19,38048,36781,332,489,588,1
"149",2020-09-18,37559,36193,331,478,383,1
"150",2020-09-17,37081,35810,330,486,512,10
"151",2020-09-16,36595,35298,320,306,394,-6
"152",2020-09-15,36289,34904,326,404,455,22
"153",2020-09-14,35885,34449,304,190,221,11
"154",2020-09-13,35695,34228,293,248,261,-3
"155",2020-09-12,35447,33967,296,838,950,0
"156",2020-09-11,34609,33017,296,534,563,11
"157",2020-09-10,34075,32454,285,195,205,10
"158",2020-09-09,33880,32249,275,167,212,-2
"159",2020-09-08,33713,32037,277,120,175,6
"160",2020-09-07,33593,31862,271,158,182,-1
"161",2020-09-06,33435,31680,272,301,372,10
"162",2020-09-05,33134,31308,262,223,291,14
"163",2020-09-04,32911,31017,248,530,542,1
"164",2020-09-03,32381,30475,247,399,549,22
"165",2020-09-02,31982,29926,225,247,362,21
"166",2020-09-01,31735,29564,204,123,166,6
"167",2020-08-31,31612,29398,198,160,205,-16
"168",2020-08-30,31452,29193,214,234,232,3
"169",2020-08-29,31218,28961,211,435,324,12
"170",2020-08-28,30783,28637,199,458,372,36
"171",2020-08-27,30325,28265,163,353,357,8
"172",2020-08-26,29972,27908,155,324,324,12
"173",2020-08-25,29648,27584,143,228,251,1
"174",2020-08-24,29420,27333,142,117,183,1
"175",2020-08-23,29303,27150,141,182,194,20
"176",2020-08-22,29121,26956,121,256,288,-1
"177",2020-08-21,28865,26668,122,416,460,3
"178",2020-08-20,28449,26208,119,259,288,11
"179",2020-08-19,28190,25920,108,350,376,2
"180",2020-08-18,27840,25544,106,174,225,3
"181",2020-08-17,27666,25319,103,209,200,11
"182",2020-08-16,27457,25119,92,383,275,3
"183",2020-08-15,27074,24844,89,-185,-209,15
"184",2020-08-14,27259,25053,74,372,251,-6
"185",2020-08-13,26887,24802,80,299,354,3
"186",2020-08-12,26588,24448,77,306,402,-1
"187",2020-08-11,26282,24046,78,205,209,-5
"188",2020-08-10,26077,23837,83,308,330,-31
"189",2020-08-09,25769,23507,114,304,261,7
"190",2020-08-08,25465,23246,107,394,399,7
"191",2020-08-07,25071,22847,100,556,454,-21
"192",2020-08-06,24515,22393,121,321,417,1
"193",2020-08-05,24194,21976,120,496,403,-3
"194",2020-08-04,23698,21573,123,357,419,13
"195",2020-08-03,23341,21154,110,342,433,8
"196",2020-08-02,22999,20721,102,274,353,12
"197",2020-08-01,22725,20368,90,329,304,10
"198",2020-07-31,22396,20064,80,342,446,29
"199",2020-07-30,22054,19618,51,377,407,-36
"200",2020-07-29,21677,19211,87,461,339,7
"201",2020-07-28,21216,18872,80,352,226,-13
"202",2020-07-27,20864,18646,93,366,612,-26
"203",2020-07-26,20498,18034,119,298,337,NA
"204",2020-07-25,20200,17697,NA,353,369,NA
"205",2020-07-24,19847,17328,NA,494,472,NA
"206",2020-07-23,19353,16856,NA,474,538,NA
"207",2020-07-22,18879,16318,NA,269,330,NA
"208",2020-07-21,18610,15988,NA,365,428,NA
"209",2020-07-20,18245,15560,NA,293,371,NA
"210",2020-07-19,17952,15189,NA,301,366,NA
"211",2020-07-18,17651,14823,NA,376,387,NA
"212",2020-07-17,17275,14436,NA,316,340,NA
"213",2020-07-16,16959,14096,NA,452,445,NA
"214",2020-07-15,16507,13651,NA,339,259,NA
"215",2020-07-14,16168,13392,NA,443,430,NA
"216",2020-07-13,15725,12962,NA,265,302,NA
"217",2020-07-12,15460,12660,NA,271,235,NA
"218",2020-07-11,15189,12425,NA,664,373,NA
"219",2020-07-10,14525,12052,NA,423,325,NA
"220",2020-07-09,14102,11727,NA,409,373,NA
"221",2020-07-08,13693,11354,NA,399,352,NA
"222",2020-07-07,13294,11002,NA,181,173,NA
"223",2020-07-06,13113,10829,NA,211,248,NA
"224",2020-07-05,12902,10581,NA,297,270,NA
"225",2020-07-04,12605,10311,NA,298,267,NA
"226",2020-07-03,12307,10044,NA,274,270,NA
"227",2020-07-02,12033,9774,NA,508,373,NA
"228",2020-07-01,11525,9401,NA,287,222,NA
"229",2020-06-30,11238,9179,NA,285,260,NA
"230",2020-06-29,10953,8919,NA,225,213,NA
"231",2020-06-28,10728,8706,NA,215,252,NA
"232",2020-06-27,10513,8454,NA,267,315,NA
"233",2020-06-26,10246,8139,NA,354,366,NA
"234",2020-06-25,9892,7773,NA,216,236,NA
"235",2020-06-24,9676,7537,NA,409,244,NA
"236",2020-06-23,9267,7293,NA,380,192,NA
"237",2020-06-22,8887,7101,NA,295,225,NA
"238",2020-06-21,8592,6876,NA,204,218,NA
"239",2020-06-20,8388,6658,NA,266,248,NA
"240",2020-06-19,8122,6410,NA,367,311,NA
"241",2020-06-18,7755,6099,NA,226,103,NA
"242",2020-06-17,7529,5996,NA,233,182,NA
"243",2020-06-16,7296,5814,NA,140,126,NA
"244",2020-06-15,7156,5688,NA,198,288,NA
"245",2020-06-14,6958,5400,NA,228,100,NA
