index,date,Hospitalized,Vent,Ever_Hospitalized,Ever_on_a_Vent,confirmed_active,active_cases,New_Admits,Hosp_Change_from_Yesterday,New_Discharges_Deaths,Pct_Vent,New_on_Vent,Pct_Hospitalized
1,10/20/20,637,101,6428,782,7159,8422,67,24,43,15.855573,6,7.563524104
2,10/19/20,613,99,6361,776,7450,8658,46,41,5,16.15008157,7,7.08015708
3,10/18/20,572,97,6315,769,7621,8904,37,-4,41,16.95804196,3,6.424079066
4,10/17/20,576,94,6278,766,7555,8810,35,-14,49,16.31944444,2,6.538024972
5,10/16/20,590,102,6243,764,7420,8609,44,-4,48,17.28813559,4,6.853293065
6,10/15/20,594,106,6199,760,7272,8424,51,7,44,17.84511785,5,7.051282051
7,10/14/20,587,113,6148,755,6924,8007,79,-18,97,19.25042589,8,7.3310853
8,10/13/20,605,110,6069,747,6744,7744,109,-3,112,18.18181818,10,7.8125
9,10/12/20,608,104,5960,737,6929,7839,50,32,18,17.10526316,6,7.756091338
10,10/11/20,576,99,5910,731,6867,7801,10,22,-12,17.1875,1,7.38366876
11,10/10/20,554,98,5900,730,6793,7735,39,-6,45,17.68953069,6,7.162249515
12,10/9/20,560,101,5861,724,6554,7468,56,13,43,18.03571429,1,7.498660953
13,10/8/20,547,103,5805,723,6207,7070,65,9,56,18.82998172,8,7.736916549
14,10/7/20,538,98,5740,715,5908,6686,82,9,73,18.21561338,14,8.046664672
15,10/6/20,529,99,5658,701,5970,6708,72,5,67,18.71455577,5,7.886106142
16,10/5/20,524,93,5586,696,6186,6922,36,15,21,17.7480916,5,7.570066455
17,10/4/20,509,89,5550,691,6405,7222,23,28,-5,17.48526523,3,7.047909166
18,10/3/20,481,95,5527,688,6491,7338,39,6,33,19.75051975,7,6.554919597
19,10/2/20,475,89,5488,681,6583,7330,43,-10,53,18.73684211,3,6.480218281
20,10/1/20,485,92,5445,678,6552,7244,39,-5,44,18.96907216,2,6.695196024
21,9/30/20,490,93,5406,676,6373,7009,52,0,52,18.97959184,5,6.991011557
22,9/29/20,490,97,5354,671,6529,6960,65,-6,71,19.79591837,8,7.040229885
23,9/28/20,496,99,5289,663,6824,7142,41,35,6,19.95967742,2,6.94483338
24,9/27/20,461,86,5248,661,6965,7327,13,7,6,18.65509761,0,6.291797461
25,9/26/20,454,92,5235,661,7027,7414,33,-30,63,20.26431718,4,6.12355004
26,9/25/20,484,95,5202,657,6830,7249,42,27,15,19.62809917,7,6.676783005
27,9/24/20,457,97,5160,650,6672,7061,62,-11,73,21.22538293,10,6.472171081
28,9/23/20,468,90,5098,640,6383,6777,43,9,34,19.23076923,2,6.905710491
29,9/22/20,459,88,5055,638,6188,6583,69,12,57,19.17211329,6,6.972504937
30,9/21/20,447,97,4986,632,6299,6706,19,35,-16,21.70022371,4,6.665672532
31,9/20/20,412,85,4967,628,6256,6685,4,5,-1,20.63106796,0,6.163051608
32,9/19/20,407,81,4963,628,6101,6557,31,26,5,19.9017199,4,6.207106909
33,9/18/20,381,77,4932,624,5767,6158,36,-8,44,20.20997375,5,6.187073725
34,9/17/20,389,72,4896,619,5726,6100,56,2,54,18.50899743,3,6.37704918
35,9/16/20,387,65,4840,616,5572,5911,38,-2,40,16.79586563,10,6.547115547
36,9/15/20,389,68,4802,606,5703,6001,66,11,55,17.48071979,3,6.482252958
37,9/14/20,378,76,4736,603,5719,6030,11,5,6,20.10582011,1,6.268656716
38,9/13/20,373,80,4725,602,5827,6171,6,-8,14,21.44772118,1,6.044401232
39,9/11/20,392,76,4678,597,5713,0,72,0,72,19.3877551,8,6.861543847
40,9/10/20,392,79,4606,589,5196,0,32,-19,51,20.15306122,3,7.544264819
41,9/9/20,411,82,4574,586,5558,0,50,2,48,19.9513382,7,7.394746312
42,9/8/20,409,84,4524,579,5844,0,38,10,28,20.53789731,8,6.998631075
43,9/7/20,399,74,4486,571,6062,0,24,10,14,18.54636591,3,6.581986143
44,9/6/20,389,78,4462,568,6188,0,6,4,2,20.05141388,2,6.286360698
45,9/5/20,385,78,4456,566,5840,0,34,-16,50,20.25974026,2,6.592465753
46,9/4/20,401,86,4422,564,5755,0,36,-24,60,21.44638404,2,6.96785404
47,9/3/20,425,91,4386,562,5331,0,45,-10,55,21.41176471,6,7.972237854
48,9/2/20,435,90,4341,556,5010,0,35,12,23,20.68965517,2,8.682634731
