"","county_nam","mydate","deaths","fhwa_numbe","fips","positive","negative","recoveries","total_tests","active_cases","pop_5yr_est_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1","Arkansas",2020-10-01,10,1,1,432,6137,359,6579,63,18124,404,28,5899,238,339,20,9,1,56,7,6303,276,404,5899,38,238,442,6137,6,5,1,103,2.383579784,36.24475833,3.310527477,30.89825646,6.576343431,5.825242718,369,2.7100271,97.2899729,5288,1281
"2","Arkansas_all_counties",2020-10-01,1384,5630,5630,84821,969560,76186,1054699,7244,2990671,81531,3290,961085,8475,73734,2452,1238,146,6552,692,1042616,12083,81531,961085,3608,8475,85139,969560,1124,874,15,13260,2.836186261,35.2556667,3.758353894,21.90812697,8.044625235,8.476621418,77570,1.784194921,98.21580508,855742,198639
"3","Ashley",2020-10-01,11,3,3,443,5233,411,5678,21,20537,437,6,5208,25,407,4,11,0,19,2,5645,33,437,5208,8,25,445,5233,7,1,1,56,2.157082339,27.6379218,3.408482252,9.251594683,7.804792107,12.5,422,2.606635071,97.39336493,4951,725
"4","Baxter",2020-10-01,2,5,5,383,4169,310,4553,71,41219,337,46,4152,17,279,31,2,0,56,15,4489,64,337,4152,47,17,384,4169,17,5,0,73,0.929183144,11.04345084,4.124311604,13.58596764,8.413884007,23.28767123,312,0.641025641,99.35897436,2784,1768
"5","Benton",2020-10-01,93,7,7,6767,73192,6277,79994,396,258980,6519,248,72734,458,6089,188,76,17,353,43,79253,741,6519,72734,283,458,6802,73192,68,44,0,777,2.612943084,30.87458491,2.625685381,13.63039617,8.463087332,8.751608752,6370,1.459968603,98.5400314,70890,9069
"6","Boone",2020-10-01,14,9,9,774,10683,643,11457,117,37288,714,60,10668,15,608,35,12,2,94,23,11382,75,714,10668,60,15,774,10683,22,12,1,362,2.075734821,30.72570264,5.900021455,25.20918258,6.755695208,6.077348066,657,2.130898021,97.86910198,9354,2103
"7","Bradley",2020-10-01,8,11,11,344,3563,327,3906,9,10948,342,2,3558,5,326,1,7,1,9,0,3900,6,342,3558,1,5,343,3563,2,2,0,26,3.142126416,35.68688345,1.826817684,8.220679576,8.804709496,7.692307692,335,2.388059701,97.6119403,2581,1326
"8","Calhoun",2020-10-01,0,13,13,36,1728,34,1764,2,5202,35,1,1723,5,33,1,0,0,2,0,1758,6,35,1723,1,5,36,1728,0,0,0,17,0.692041522,33.9100346,0,3.844675125,2.040816327,0,34,0,100,1570,194
"9","Carroll",2020-10-01,10,15,15,725,7322,622,8051,93,27887,714,11,7318,4,615,7,10,0,89,4,8032,19,714,7318,15,4,729,7322,15,13,0,67,2.599777674,28.85573923,5.37885036,31.91451214,9.009568783,22.3880597,632,1.582278481,98.41772152,5705,2342
"10","Chicot",2020-10-01,22,17,17,1009,4956,980,5966,7,10826,1000,9,4939,17,972,8,21,1,7,0,5939,27,1000,4939,10,17,1010,4956,2,2,0,32,9.320155182,55.09883614,1.847404397,6.465915389,16.91533948,6.25,1002,2.195608782,97.80439122,4010,1955
"11","Clark",2020-10-01,4,19,19,367,6463,317,6830,46,22385,347,20,6418,45,305,12,4,0,38,8,6765,65,347,6418,20,45,367,6463,10,2,0,82,1.63949073,30.51150324,4.467277195,16.97565334,5.373352855,12.19512195,321,1.246105919,98.75389408,5586,1244
"12","Clay",2020-10-01,8,21,21,324,4328,259,4652,56,15061,309,15,4322,6,253,6,6,2,49,7,4631,21,309,4322,15,6,324,4328,10,1,0,48,2.151251577,30.88772326,6.639665361,32.53436027,6.964746346,20.83333333,267,2.996254682,97.00374532,4129,523
"13","Cleburne",2020-10-01,9,23,23,343,6613,313,6957,21,25230,325,18,6521,92,298,15,9,0,18,3,6846,111,325,6521,19,92,344,6613,5,1,0,68,1.359492667,27.57035275,1.981767737,7.134363853,4.930994825,7.352941176,322,2.795031056,97.20496894,6394,562
"14","Cleveland",2020-10-01,12,25,25,187,2731,169,2918,6,8226,184,3,2701,30,167,2,11,1,6,0,2885,33,184,2701,3,30,187,2731,1,1,0,54,2.273279844,35.47289083,1.215657671,7.293946025,6.408498972,1.851851852,181,6.629834254,93.37016575,1881,1037
"15","Columbia",2020-10-01,18,27,27,520,5065,400,5596,102,23892,480,40,5033,32,385,15,18,0,77,25,5513,83,480,5033,51,32,531,5065,20,13,0,53,2.17646074,23.37602545,8.371002846,32.22836096,9.310653536,37.73584906,418,4.306220096,95.6937799,3923,1662
"16","Conway",2020-10-01,3,29,29,279,6462,253,6741,23,20906,269,10,6394,68,246,7,3,0,20,3,6663,78,269,6394,10,68,279,6462,6,2,0,109,1.334545107,32.24433177,2.869989477,9.566631589,4.138851802,5.504587156,256,1.171875,98.828125,5167,1574
"17","Craighead",2020-10-01,23,31,31,3124,33373,2710,36504,390,105701,3033,91,33282,91,2644,66,20,3,368,22,36315,189,3033,33282,98,91,3131,33373,48,77,1,364,2.95550657,34.52852859,4.541111248,34.81518623,8.559607639,13.18681319,2733,0.841566045,99.15843396,32967,3530
"18","Crawford",2020-10-01,16,33,33,1503,20471,1278,21974,209,62472,1462,41,20461,10,1244,34,13,3,205,4,21923,51,1462,20461,41,10,1503,20471,38,22,0,343,2.405877833,35.17415802,6.082725061,32.81470099,6.839901702,11.0787172,1294,1.236476043,98.76352396,19446,2528
"19","Crittenden",2020-10-01,46,35,35,1983,13696,1875,15669,62,49013,1963,20,13688,8,1862,13,39,7,62,0,15651,18,1963,13688,10,8,1973,13696,13,11,0,43,4.045865383,31.98947218,2.652357538,12.64970518,12.64749027,30.23255814,1921,2.394586153,97.60541385,13583,2096
"20","Cross",2020-10-01,13,37,37,461,4917,408,5373,40,16998,442,19,4894,23,397,11,11,2,34,6,5336,37,442,4894,14,23,456,4917,8,3,0,29,2.712083775,31.63901635,4.706436051,20.00235322,8.571959836,27.5862069,421,3.087885986,96.91211401,4537,841
"21","Dallas",2020-10-01,5,39,39,167,1988,153,2155,9,7432,165,2,1979,9,152,1,5,0,8,1,2144,11,165,1979,2,9,167,1988,1,1,0,28,2.247039828,28.99623251,1.345532831,10.76426265,7.749419954,3.571428571,158,3.164556962,96.83544304,1565,590
"22","Desha",2020-10-01,6,41,41,307,3985,273,4291,28,11887,303,4,3953,32,270,3,6,0,27,1,4256,35,303,3953,3,32,306,3985,7,2,0,50,2.582653319,36.10667115,5.888786069,22.71388912,7.152842498,14,279,2.150537634,97.84946237,3639,653
"23","Drew",2020-10-01,7,43,43,359,5836,341,6198,11,18502,347,12,5787,49,331,10,6,1,10,1,6134,64,347,5787,15,49,362,5836,0,0,0,67,1.940330775,33.48286672,0,5.4048211,5.794995964,0,348,2.011494253,97.98850575,5239,956
"24","Faulkner",2020-10-01,20,45,45,2596,37632,2293,40243,283,122416,2492,104,36942,690,2205,88,17,3,270,13,39434,809,2492,36942,119,690,2611,37632,30,27,0,383,2.120637825,32.86171742,2.450660044,22.0559404,6.453216665,7.832898172,2313,0.864677907,99.13532209,32078,8150
"25","Franklin",2020-10-01,2,47,47,304,6437,258,6742,44,17780,292,12,6428,9,248,10,2,0,42,2,6720,22,292,6428,13,9,305,6437,11,8,0,126,1.709786277,37.91338583,6.186726659,23.62204724,4.509716659,8.73015873,260,0.769230769,99.23076923,5409,1332
"26","Fulton",2020-10-01,4,49,49,186,1329,130,1517,52,12139,166,20,1328,1,120,10,3,1,43,9,1494,23,166,1328,22,1,188,1329,9,5,0,28,1.532251421,12.48043496,7.414119779,35.42301672,12.27722772,32.14285714,134,2.985074627,97.01492537,1104,411
"27","Garland",2020-10-01,53,51,51,1977,31357,1748,33335,176,98296,1947,30,31265,92,1730,18,48,5,169,7,33212,123,1947,31265,31,92,1978,31357,28,26,0,659,2.011272076,33.91185806,2.848539106,17.19296818,5.930881382,4.248861912,1801,2.94280955,97.05719045,26416,6918
"28","Grant",2020-10-01,2,53,53,274,5177,249,5457,23,18086,264,10,5123,54,240,9,2,0,22,1,5387,70,264,5123,16,54,280,5177,2,6,0,73,1.514983965,30.13933429,1.105827712,12.16410483,5.026600624,2.739726027,251,0.796812749,99.20318725,4482,969
"29","Greene",2020-10-01,11,55,55,928,14050,818,14979,99,44623,891,37,13948,102,789,29,11,0,91,8,14839,140,891,13948,38,102,929,14050,19,19,1,166,2.079645026,33.56565,4.257893911,20.39307084,6.195753772,11.44578313,829,1.326899879,98.67310012,12792,2186
