"","Date","Cases_African_American","Cases_Asian","Cases_Hispanic","Cases_Multi_Racial","Cases_Native_American","Cases_Pacific_Islander","Cases_White","Cases_Other","Cases_Race_Or_Ethnicity_Unknown","New_Cases_African_American","New_Cases_Asian","New_Cases_Hispanic","New_Cases_Multi_Racial","New_Cases_Native_American","New_Cases_Pacific_Islander","New_Cases_White","New_Cases_Other","New_Cases_Race_Or_Ethnicity_Unknown","Deaths_African_American","Deaths_Asian","Deaths_Hispanic","Deaths_Multi_Racial","Deaths_Native_American","Deaths_Pacific_Islander","Deaths_White","Deaths_Other","Deaths_Race_Or_Ethnicity_Unknown","New_Deaths_African_American","New_Deaths_Asian","New_Deaths_Hispanic","New_Deaths_Multi_Racial","New_Deaths_Native_American","New_Deaths_Pacific_Islander","New_Deaths_White","New_Deaths_Other","New_Deaths_Race_Or_Ethnicity_Unknown","Total_State_Population_African_American","Total_State_Population_Asian","Total_State_Population_Hispanic","Total_State_Population_Multi_Racial","Total_State_Population_Native_American","Total_State_Population_Pacific_Islander","Total_State_Population_White","Total_State_Population_Other","Total_State_Population_Race_Or_Ethnicity_Unknown","Pct_State_Population_African_American","Pct_State_Population_Asian","Pct_State_Population_Hispanic","Pct_State_Population_Multi_Racial","Pct_State_Population_Native_American","Pct_State_Population_Pacific_Islander","Pct_State_Population_White","Pct_State_Population_Other","Pct_State_Population_Race_Or_Ethnicity_Unknown","Cases_Per_10_000_African_American","Cases_Per_10_000_Asian","Cases_Per_10_000_Hispanic","Cases_Per_10_000_Multi_Racial","Cases_Per_10_000_Native_American","Cases_Per_10_000_Pacific_Islander","Cases_Per_10_000_White","Cases_Per_10_000_Other","Cases_Per_10_000_Race_Or_Ethnicity_Unknown","Deaths_Per_10_000_African_American","Deaths_Per_10_000_Asian","Deaths_Per_10_000_Hispanic","Deaths_Per_10_000_Multi_Racial","Deaths_Per_10_000_Native_American","Deaths_Per_10_000_Pacific_Islander","Deaths_Per_10_000_White","Deaths_Per_10_000_Other","Deaths_Per_10_000_Race_Or_Ethnicity_Unknown","Cases_Other_Race","Cases_Unknown_Race","Deaths_Other_Race","Deaths_Unknown_Race","Na","Deaths_Na","Objectid","Fips","Nonhispanic","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Male","Female","Unk_Gender","Diabetes","Cardiac_Disease","Hypertension","Cpd","Ckd","Immunocompromised","Healthcare","Nursing_Home","Jailed","Positives","Deaths_Nursing_Home","Deaths_Jailed","Deaths","Deaths_Nonhispanic","Cases_45_54","Deaths_45_54","Cases_55_64","Deaths_55_64","Cases_65","Deaths_65","Noncovid_Death","Pos_24Hr","Cases_Unknown","Deaths_Unknown"
"2","2020-12-01",28704,1491,21167,1088,417,2722,98509,8495,17883,251,20,159,11,14,18,1518,NA,NA,409,20,110,9,7,48,1770,NA,149,1,0,0,0,0,0,17,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,605.831636045125,290.626279164961,910.914012505863,163.875165682612,138.18013122142,2254.99130146632,412.675219085386,NA,NA,8.63242541605547,3.89840750053603,4.73380929634077,1.3555850102422,2.31957054808138,39.7647253748654,7.41490765088604,NA,NA,NA,NA,100,NA,NA,NA,1,5,138142,8978,12172,22452,26289,24325,0,0,4,26,50,75820,82527,962,11100,5567,20245,3652,1364,1336,12770,9394,12158,159309,1061,54,2512,2402,22827,134,19054,313,23212,1985,21,73724,0,0
"1:1","2020-11-30",28453,1471,21008,1077,403,2704,96991,8380,17880,177,6,82,4,-1,2,756,NA,NA,408,20,110,9,7,48,1753,NA,159,3,0,0,0,0,0,26,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,600.533986217668,286.727871664425,904.071506341153,162.218339558983,133.540990125257,2240.07952945075,406.315993201745,NA,NA,8.61131924144408,3.89840750053603,4.73380929634077,1.3555850102422,2.31957054808138,39.7647253748654,7.34369102373064,NA,NA,NA,NA,98,NA,NA,NA,1,5,136351,8865,12003,22219,25983,24041,0,0,4,26,50,74975,81430,954,10942,5497,19932,3606,1345,1318,12605,9303,12131,157359,1059,54,2502,2392,22542,134,18818,313,22888,1975,21,71768,0,0
"1:2","2020-11-29",28276,1465,20926,1073,404,2702,96235,8351,17741,178,3,96,6,2,27,787,NA,NA,405,20,110,9,7,48,1727,NA,156,1,0,1,0,0,0,12,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,596.7981933,285.5583494,900.5426667,161.6158573,133.8723573,2238.422666,403.1489479,NA,NA,8.548000718,3.898407501,4.733809296,1.35558501,2.319570548,39.76472537,7.234771476,NA,NA,NA,NA,98,NA,NA,NA,1,5,135321,8824,11926,22082,25786,23871,0,0,4,26,50,74494,80788,965,10851,5440,19746,3573,1328,1301,12480,9227,12126,156247,1043,54,2470,2360,22392,134,18664,311,22702,1945,21,70658,0,0
"1:3","2020-11-28",28098,1462,20830,1067,402,2675,95448,8285,17589,201,4,107,13,5,6,936,NA,NA,404,20,109,9,7,48,1715,NA,149,1,0,0,0,0,0,12,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,593.0412942,284.9735883,896.4113422,160.712134,133.2096229,2216.055008,399.852037,NA,NA,8.526894543,3.898407501,4.690774666,1.35558501,2.319570548,39.76472537,7.184500916,NA,NA,NA,NA,97,NA,NA,NA,1,5,134196,8788,11833,21956,25563,23677,0,0,4,25,51,73933,80079,1014,10776,5403,19597,3548,1322,1290,12390,9160,12083,155026,1035,54,2449,2340,22221,134,18492,313,22496,1922,21,69439,0,0
"1:4","2020-11-27",27897,1458,20723,1054,397,2669,94512,8214,17476,85,5,83,6,4,4,492,NA,NA,403,20,109,9,7,48,1703,NA,149,0,0,0,0,0,0,0,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,588.7989531,284.1939068,891.8066368,158.7540668,131.5527868,2211.084417,395.9309333,NA,NA,8.505788368,3.898407501,4.690774666,1.35558501,2.319570548,39.76472537,7.134230356,NA,NA,NA,NA,97,NA,NA,NA,1,5,132954,8728,11747,21814,25336,23464,0,0,4,25,51,73348,79296,1033,10695,5367,19426,3528,1316,1277,12295,9067,12042,153677,1029,54,2436,2327,22001,134,18320,311,22267,1911,21,68090,0,0
"1:5","2020-11-26",27812,1453,20640,1048,393,2665,94020,8169,17065,326,24,189,7,4,14,1557,NA,NA,403,20,109,9,7,48,1703,NA,149,1,0,0,0,0,0,16,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,587.0049283,283.2193049,888.2347625,157.8503434,130.2273179,2207.77069,393.8698403,NA,NA,8.505788368,3.898407501,4.690774666,1.35558501,2.319570548,39.76472537,7.134230356,NA,NA,NA,NA,97,NA,NA,NA,1,5,131985,8685,11670,21703,25148,23325,0,0,4,25,51,72889,78714,1022,10643,5344,19323,3514,1311,1264,12251,9005,12020,152625,1029,54,2436,2327,21845,134,18166,311,22083,1911,21,67038,0,0
"1:6","2020-11-25",27486,1429,20451,1041,389,2651,92463,8055,16763,310,18,208,15,8,19,1565,NA,NA,402,20,109,9,7,48,1687,NA,156,4,0,1,0,0,0,8,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,580.1243154,278.5412159,880.1012174,156.7959995,128.901849,2196.172645,387.3472351,NA,NA,8.484682194,3.898407501,4.690774666,1.35558501,2.319570548,39.76472537,7.067202942,NA,NA,NA,NA,96,NA,NA,NA,1,5,129826,8557,11467,21458,24811,22948,0,0,4,25,51,71890,77496,891,10483,5263,19041,3458,1301,1247,12082,8915,11971,150277,1026,53,2425,2316,21476,132,17897,311,21663,1902,20,64681,0,0
"1:7","2020-11-24",27176,1411,20243,1026,381,2632,90898,7958,16830,300,20,158,10,5,13,1529,NA,NA,398,20,108,9,7,48,1679,NA,148,0,0,1,0,0,0,35,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,573.5814012,275.0326492,871.1500144,154.5366912,126.2509113,2180.432441,380.7911162,NA,NA,8.400257495,3.898407501,4.647740036,1.35558501,2.319570548,39.76472537,7.033689235,NA,NA,NA,NA,96,NA,NA,NA,1,5,128069,8465,11304,21203,24482,22674,0,0,4,25,51,70990,76362,960,10293,5174,18702,3410,1272,1222,11906,8813,11886,148312,1015,53,2405,2297,21189,130,17614,310,21381,1885,19,62709,0,0
"1:8","2020-11-23",26876,1391,20085,1016,376,2619,89369,7848,16695,159,10,99,10,4,3,693,NA,NA,398,20,107,9,7,48,1644,NA,169,2,0,0,0,0,0,20,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,567.2495489,271.1342417,864.3505429,153.0304856,124.5940752,2169.662828,374.385809,NA,NA,8.400257495,3.898407501,4.604705406,1.35558501,2.319570548,39.76472537,6.887066767,NA,NA,NA,NA,92,NA,NA,NA,1,5,126105,8379,11146,20970,24139,22345,0,0,4,25,51,70052,75259,879,10154,5072,18412,3351,1254,1209,11739,8717,11823,146190,1007,53,2387,2280,20817,129,17334,307,21060,1871,17,60567,0,0
"1:9","2020-11-22",26717,1381,19986,1006,372,2616,88676,7797,16608,182,8,87,7,3,5,843,NA,NA,396,20,107,9,7,48,1624,NA,161,1,0,0,0,0,0,10,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,563.8936671,269.1850379,860.0901145,151.52428,123.2686063,2167.177533,371.4826841,NA,NA,8.358045146,3.898407501,4.604705406,1.35558501,2.319570548,39.76472537,6.8032825,NA,NA,NA,NA,92,NA,NA,NA,1,5,125187,8305,11063,20867,23985,22188,0,0,4,25,51,69596,74692,885,10064,5022,18249,3330,1249,1199,11635,8883,11571,145173,988,52,2357,2250,20678,128,17182,304,20905,1845,17,59542,0,0
"1:10","2020-11-21",26535,1373,19899,999,369,2611,87833,7758,16343,230,14,130,11,2,6,1113,NA,NA,395,20,107,9,7,48,1614,NA,152,1,0,1,0,1,0,13,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,560.0523433,267.6256749,856.3461017,150.4699361,122.2745046,2163.035374,367.9511772,NA,NA,8.336938971,3.898407501,4.604705406,1.35558501,2.319570548,39.76472537,6.761390366,NA,NA,NA,NA,92,NA,NA,NA,1,5,123922,8249,10937,20682,23775,21992,0,0,4,25,51,68973,73958,890,9966,4987,18087,3304,1239,1185,11531,8812,11553,143821,973,52,2337,2230,20490,128,16991,304,20705,1825,17,58190,0,0
"1:11","2020-11-20",26305,1359,19769,988,367,2605,86720,7700,15872,297,23,185,14,4,23,1355,NA,NA,394,20,106,9,6,48,1601,NA,152,5,0,0,0,0,1,15,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,555.1979232,264.8967897,850.7515998,148.81311,121.6117702,2158.064783,363.2885828,NA,NA,8.315832797,3.898407501,4.561670776,1.35558501,1.988203327,39.76472537,6.706930593,NA,NA,NA,NA,91,NA,NA,NA,1,5,122147,8125,10766,20466,23483,21744,0,0,4,25,51,68118,72929,869,9849,4906,17891,3260,1220,1167,11409,8717,11515,141916,967,52,2321,2215,20220,128,16746,302,20366,1811,16,56285,0,0
"1:12","2020-11-19",26008,1336,19584,974,363,2582,85365,7551,15676,351,15,185,13,4,5,1628,NA,NA,389,20,106,9,6,47,1586,NA,149,3,0,0,0,0,0,17,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,548.9293893,260.413621,842.7901933,146.7044222,120.2863013,2139.010852,357.6121987,NA,NA,8.210301924,3.898407501,4.561670776,1.35558501,1.988203327,38.9362936,6.644092392,NA,NA,NA,NA,91,NA,NA,NA,1,5,120271,7974,10569,20229,23158,21446,0,0,4,25,50,67225,71796,834,9731,4834,17668,3220,1205,1143,11238,8670,11476,139855,954,51,2297,2191,19916,127,16532,299,20031,1792,15,54199,0,0
"1:13","2020-11-18",25657,1321,19399,961,359,2577,83737,7451,15554,274,10,149,7,1,15,1208,NA,NA,386,20,106,9,6,47,1569,NA,148,7,0,2,0,0,0,23,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,541.521122,257.4898154,834.8287867,144.746355,118.9608324,2134.868694,350.7921593,NA,NA,8.1469834,3.898407501,4.561670776,1.35558501,1.988203327,38.9362936,6.572875765,NA,NA,NA,NA,90,NA,NA,NA,1,5,118218,7833,10348,19954,22850,21060,0,0,4,25,50,66188,70640,789,9568,4745,17362,3168,1185,1118,11062,8592,11357,137617,939,51,2275,2169,19600,125,16250,298,19722,1773,14,51931,0,0
