,Date,Doses_Given,Doses_Received,Long_Term_Care_Doses,Long_Term_Care_Given,All_Doses_Received,All_Doses_Given,New_Doses_Today,Pct_Doses_Total
1,12/30/20,25679,97025,24700,84,121725,25763,NA,21.20%
2,12/31/20,28841,124325,24700,178,149025,29019,3256,19.50%
3,1/1/21,31574,124325,24700,580,149025,32154,3135,21.60%
4,1/2/21,32537,124325,24700,1017,149025,33554,1400,22.50%
5,1/3/21,33835,124325,24700,1017,149025,34852,1298,23.40%
6,1/4/21,34962,124325,24700,1324,149025,36286,1434,24.30%
7,1/5/21,37884,134425,24700,1324,159125,39208,2922,24.60%
8,1/6/21,50679,152075,24700,1533,176775,52212,13004,29.50%
9,1/7/21,58914,169625,24700,2374,194325,61288,9076,31.50%
10,1/8/21,65991,190100,24700,2474,214800,68465,7177,31.90%
11,1/9/21,74663,202400,24700,2931,227100,77594,9129,34.20%
12,1/10/21,77854,203375,24700,3423,228075,81277,3683,35.60%
13,1/11/21,80796,203375,24700,3774,228075,84570,3293,37.10%
14,1/12/21,89449,227500,24700,3884,252200,93333,8763,37.00%
15,1/13/21,102657,251600,24700,4169,276300,106826,13493,38.70%
16,1/14/21,112238,275000,49400,4534,324400,116772,9946,36.00%
17,1/15/21,119065,275000,49400,5091,324400,124156,7384,38.30%
18,1/16/21,125789,275000,49400,5601,324400,131390,7234,40.50%
19,1/17/21,131022,275000,49400,6285,324400,137307,5917,42.30%
20,1/18/21,133962,275000,49400,6597,324400,140559,3252,43.30%
21,1/19/21,147609,310275,49400,6626,359675,154235,13676,42.90%
22,1/20/21,164699,312225,49400,6816,361625,171515,17280,47.40%
23,1/21/21,179127,330750,49400,6978,380150,186105,14590,49.00%
24,1/22/21,193831,332250,49400,6982,381650,200813,14708,52.60%
25,1/23/21,205089,337350,49400,6983,386750,212072,11259,54.80%
26,1/24/21,211968,337350,49400,6983,386750,218951,6879,56.60%
27,1/25/21,214617,337350,49400,6985,386750,221602,2651,57.30%
28,1/26/21,227074,410175,49400,7046,459575,234120,12518,50.90%
29,1/27/21,241466,422875,49400,9630,472275,251096,16976,53.20%
30,1/28/21,255274,470200,49400,12408,519600,267682,16586,51.50%
31,1/29/21,270332,470400,49400,14596,519800,284928,17246,54.80%
32,1/30/21,284022,470600,49400,15916,520000,299938,15010,57.70%
33,1/31/21,290886,470600,49400,16672,520000,307558,7620,59.10%
34,2/1/21,293570,470600,49400,16943,520000,310513,2955,59.70%
35,2/2/21,301291,486500,49400,17117,535900,318408,7895,59.40%
36,2/3/21,316484,519225,49400,17539,568625,334023,15615,58.70%
37,2/4/21,329521,536825,49400,18285,586225,347806,13783,59.30%
38,2/5/21,351485,555850,49400,18777,605250,370262,22456,61.20%
39,2/6/21,369898,559750,49400,19026,609150,388924,18662,63.80%
40,2/7/21,377678,561150,49400,19441,610550,397119,8195,65.00%
