"","County_Name","Date","County_Vax_Total","Partial_Vax","Fully_Vax","Unk_Dose","Population","Full_Pct"
"1","Missing",2021-05-21,269041,66403,104496,70,0,Inf
"2","Howard",2021-05-21,7153,520,3514,0,10888,32.3%
"3","Pulaski",2021-05-21,251556,22642,118160,16,330989,35.7%
"4","Lonoke",2021-05-21,38713,3536,18121,6,61242,29.6%
"5","Prairie",2021-05-21,3761,680,1618,6,6949,23.3%
"6","Desha",2021-05-21,7403,797,3446,6,9520,36.2%
"7","Phillips",2021-05-21,9439,772,4503,3,14714,30.6%
"8","Searcy",2021-05-21,3804,239,1796,0,6887,26.1%
"9","Independence",2021-05-21,15836,1730,7247,4,31722,22.8%
"10","Jackson",2021-05-21,8324,701,3856,3,14500,26.6%
"11","Mississippi",2021-05-21,17855,1923,8263,3,33683,24.5%
"12","Greene",2021-05-21,23981,2277,10978,4,38118,28.8%
"13","Clay",2021-05-21,8470,604,4007,6,12543,31.9%
"14","Randolph",2021-05-21,6814,1162,2943,2,15146,19.4%
"15","Lawrence",2021-05-21,8778,975,3949,9,14051,28.1%
"16","Baxter",2021-05-21,23068,2082,10674,3,37221,28.7%
"17","Marion",2021-05-21,6776,601,3238,0,14723,22.0%
"18","Perry",2021-05-21,6503,472,3084,3,8917,34.6%
"19","Jefferson",2021-05-21,31602,6219,13123,0,57304,22.9%
"20","Washington",2021-05-21,143750,18732,66147,9,200760,32.9%
"21","Crawford",2021-05-21,27268,2523,13044,6,53333,24.5%
"22","Little River",2021-05-21,4241,310,2051,0,10486,19.6%
"23","Miller",2021-05-21,6327,666,2902,0,36531,7.9%
"24","Lafayette",2021-05-21,2668,173,1272,0,5854,21.7%
"25","Columbia",2021-05-21,11701,1522,5212,3,20211,25.8%
"26","Union",2021-05-21,15737,1767,7310,0,32555,22.5%
"27","Ashley",2021-05-21,11054,936,5152,3,16780,30.7%
"28","Chicot",2021-05-21,6032,532,2891,18,8680,33.3%
"29","Benton",2021-05-21,164851,21186,74873,6,231247,32.4%
"30","Carroll",2021-05-21,14423,1354,7061,6,24422,28.9%
"31","Madison",2021-05-21,7637,834,3560,3,14093,25.3%
"32","Sebastian",2021-05-21,47603,5463,22511,1,107538,20.9%
"33","Polk",2021-05-21,7804,872,3709,0,17073,21.7%
"34","Sevier",2021-05-21,7971,522,3850,0,13767,28.0%
"35","Garland",2021-05-21,60864,6802,27290,6,86444,31.6%
"36","Saline",2021-05-21,69919,6064,32725,24,104254,31.4%
"37","Franklin",2021-05-21,10153,750,4854,0,15200,31.9%
"38","Scott",2021-05-21,4127,408,2064,0,8746,23.6%
"39","Logan",2021-05-21,11275,847,5362,3,18547,28.9%
"40","Yell",2021-05-21,10704,860,5269,0,18012,29.3%
"41","Montgomery",2021-05-21,4037,239,2117,0,7929,26.7%
"42","Pike",2021-05-21,4394,470,1989,3,9246,21.5%
"43","Hempstead",2021-05-21,7320,882,3382,17,17816,19.0%
"44","Drew",2021-05-21,10699,891,5051,0,15607,32.4%
"45","Bradley",2021-05-21,6833,715,3392,0,9068,37.4%
"46","Calhoun",2021-05-21,2170,124,1030,0,4546,22.7%
"47","Ouachita",2021-05-21,14327,1049,6781,6,20023,33.9%
"48","Nevada",2021-05-21,3316,530,1468,107,7050,20.8%
"49","Clark",2021-05-21,13729,1060,6435,0,19472,33.0%
"50","Dallas",2021-05-21,4912,286,2334,0,6069,38.5%
"51","Cleveland",2021-05-21,5084,354,2433,3,6927,35.1%
"52","Lincoln",2021-05-21,5220,395,2521,3,11689,21.6%
"53","Arkansas",2021-05-21,11522,965,5524,0,14786,37.4%
"54","Grant",2021-05-21,9746,881,4516,0,15720,28.7%
"55","Monroe",2021-05-21,4315,468,2003,3,5758,34.8%
"56","Lee",2021-05-21,3732,356,1796,2,7777,23.1%
"57","Hot Spring",2021-05-21,17504,1341,8153,6,29427,27.7%
"58","St. Francis",2021-05-21,11090,982,5553,6,21496,25.8%
"59","Crittenden",2021-05-21,17726,2866,8424,0,39319,21.4%
"60","Cross",2021-05-21,9727,930,4583,6,13912,32.9%
"61","Woodruff",2021-05-21,4316,288,2038,3,5426,37.6%
"62","White",2021-05-21,42442,3436,19709,22,67007,29.4%
"63","Faulkner",2021-05-21,78237,6547,36561,3,107247,34.1%
"64","Conway",2021-05-21,13736,991,6616,0,17726,37.3%
"65","Newton",2021-05-21,3170,431,1384,4,6827,20.3%
"66","Pope",2021-05-21,34718,2962,17087,0,54387,31.4%
"67","Johnson",2021-05-21,12242,1053,5968,0,22287,26.8%
"68","Van Buren",2021-05-21,9035,643,4254,0,14547,29.2%
"69","Cleburne",2021-05-21,13785,1095,6505,3,21965,29.6%
"70","Poinsett",2021-05-21,11732,1549,5190,9,19810,26.2%
"71","Craighead",2021-05-21,59163,7826,26244,35,91830,28.6%
"72","Sharp",2021-05-21,7934,1131,3432,4,15166,22.6%
"73","Izard",2021-05-21,5869,625,2661,3,12084,22.0%
"74","Fulton",2021-05-21,4329,439,1973,0,10804,18.3%
"75","Stone",2021-05-21,6329,368,3018,0,10998,27.4%
"76","Boone",2021-05-21,17339,1989,7787,7,31850,24.4%
"77","Out of State",2021-05-21,29931,5510,13319,0,0,Inf
