"","V1","date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct"
"1:1",1,"2021-05-18","Missing",265011,168888,96057,66,66551,102337,176090,0,31869,0,952,5787,0,688,35951,13674,16429,0,0,0,0,0,0,0,0,0,0
"1:2",2,"2021-05-18","Howard",7109,4006,3103,0,518,3488,4870,28.4,1263,28.2,33,33,12.4,4,520,386,344,4,13.7,10888,36.8,28.5,3.4,4.1,1.4,0,3.4
"1:3",3,"2021-05-18","Pulaski",247005,138195,108797,13,22152,116043,149821,36,57554,22.1,778,6227,21.2,189,18940,13496,9577,6,26.4,330989,41.8,32.9,5.6,4.4,5,0,1
"1:4",4,"2021-05-18","Lonoke",37995,21247,16742,6,3491,17756,30890,26,2130,25.2,65,372,6,27,3427,1084,1176,6,21.6,61242,34.7,27.3,4.5,4.9,2.1,0,1.7
"1:5",5,"2021-05-18","Prairie",3681,2235,1440,6,636,1599,2968,21.1,408,22.8,8,9,21.4,1,220,67,89,13,36.6,6949,32.2,20.7,7.8,8.4,0,6,0
"1:6",6,"2021-05-18","Desha",7349,4219,3124,6,801,3418,3981,38,2751,28.3,15,59,17.5,1,280,262,347,12,27.4,9520,44.3,32.8,7.7,7.1,5,1,0
"1:7",7,"2021-05-18","Phillips",9289,5230,4056,3,829,4401,3756,32.3,4812,25.1,6,26,4.5,4,433,252,202,5,37.5,14714,35.5,27.6,4.9,4.9,0,0,2.7
"1:8",8,"2021-05-18","Searcy",3753,2015,1738,0,250,1765,3228,23,9,8.3,4,2,0.8,0,472,38,60,3,15,6887,29.3,25.2,2.6,2.1,1.7,0,0
"1:9",9,"2021-05-18","Independence",15524,8790,6728,6,1684,7106,14216,21.6,210,10.9,30,217,5.7,8,409,434,552,4,14.2,31722,27.7,21.2,4.9,3.9,1.2,0,0.8
"1:10",10,"2021-05-18","Jackson",8227,4510,3714,3,709,3801,6729,26.6,934,16.8,15,17,7.1,8,369,155,172,7,19.4,14500,31.1,25.6,4.8,3.3,0,0,3.8
