,objectid,Health_Region,objectid2,haa_regions,All_Doses_Given_Region,White,Black,Native_American,Asian,Pacific_Islander,Unk_Race,Other_Race,Population,Dose_1_Total,Dose_2_Total,Unknown_Dose_Total,Hispanic,Dose_1_Pct,Dose_2_Pct,All_Doses_Pct_Population,Hispanic_Pct,shape_area,shape_length,date
1,1,Northwest,6,Northwest,109005,59980,822,274,872,226,6063,3362,587367,71599,37385,21,4139,12.2,6.4,18.6,3.797073529,12261508138,492506.4632,3/9/21
2,2,Arkansas Valley,1,Arkansas Valley,71879,37194,898,154,537,15,3973,1174,371803,43945,27931,3,1116,11.8,7.5,19.3,1.552609246,17402684265,659994.2166,3/9/21
3,3,Southwest,8,Southwest,84377,41731,6869,73,240,16,4249,1081,397074,54259,30068,50,1158,13.7,7.6,21.2,1.372411913,30548583490,989459.9016,3/9/21
4,4,Metro,2,Metro,197552,86771,15754,281,1552,72,12455,3180,739747,120065,77425,62,1645,16.2,10.5,26.7,0.832692152,10692848059,561040.2767,3/9/21
5,5,Southeast,7,Southeast,44278,18787,7191,41,146,14,1164,571,198790,27914,16355,9,289,14,8.2,22.3,0.65269434,19904413569,979932.7842,3/9/21
6,6,North Central,4,North Central,69670,38908,919,71,132,9,3199,548,302717,43786,25878,6,411,14.5,8.5,23,0.589923927,22471992818,774539.6537,3/9/21
7,7,Northeast,5,Northeast,87692,43532,6560,51,240,27,5130,591,401872,56131,31547,14,593,14,7.9,21.8,0.676230443,24401164053,1400326.104,3/9/21
8,8,Missing,3,Missing,92598,40299,6106,186,663,39,16913,1626,0,65832,26742,24,1336,NA,NA,NA,1.442795741,435.4689941,99.69347781,3/9/21
1,1,Northwest,6,Northwest,105038,57067,806,255,827,203,5927,3196,587367,68281,36737,20,3947,11.6,6.3,17.9,3.757687694,12261508138,492506.4632,3/8/21
2,2,Arkansas Valley,1,Arkansas Valley,70641,36729,885,151,525,16,3836,1127,371803,43269,27369,3,1085,11.6,7.4,19,1.535935222,17402684265,659994.2166,3/8/21
3,3,Southwest,8,Southwest,82988,41033,6756,76,242,14,4179,1089,397074,53389,29549,50,1130,13.4,7.4,20.9,1.361642647,30548583490,989459.9016,3/8/21
4,4,Metro,2,Metro,194405,85327,15431,263,1526,68,12149,2993,739747,117757,76588,60,1610,15.9,10.4,26.3,0.828168,10692848059,561040.2767,3/8/21
5,5,Southeast,7,Southeast,43775,18611,7093,49,142,11,1169,580,198790,27655,16113,7,283,13.9,8.1,22,0.646487721,19904413569,979932.7842,3/8/21
6,6,North Central,4,North Central,68722,38466,904,66,129,11,3141,535,302717,43252,25464,6,403,14.3,8.4,22.7,0.586420651,22471992818,774539.6537,3/8/21
7,7,Northeast,5,Northeast,86374,42946,6454,52,242,23,4994,565,401872,55276,31085,13,579,13.8,7.7,21.5,0.670340612,24401164053,1400326.104,3/8/21
8,8,Missing,3,Missing,90261,38994,6022,187,603,41,16637,1439,0,63923,26313,25,1255,NA,NA,NA,1.390412249,435.4689941,99.69347781,3/8/21
